,sent_clean
0,one may as well begin with helen s letters to her sister 
1,howards end 
2,tuesday 
3,dearest meg 
4,it isn t going to be what we expected 
5,it is old and little  and altogether delightful  red brick 
6,we can scarcely pack in as it is  and the dear knows what will happen when paul  younger son  arrives to morrow 
7,from hall you go right or left into dining room or drawing room 
8,hall itself is practically a room 
9,you open another door in it  and there are the stairs going up in a sort of tunnel to the first floor 
10,three bed rooms in a row there  and three attics in a row above 
11,that isn t all the house really  but it s all that one notices  nine windows as you look up from the front garden 
12,then there s a very big wych elm  to the left as you look up  leaning a little over the house  and standing on the boundary between the garden and meadow 
13,quite love that tree already 
14,also ordinary elms  oaks  no nastier than ordinary oaks  pear trees  apple trees  and a vine 
15,no silver birches  though 
16,however  must get on to my host and hostess 
17,only wanted to show that it isn t the least what we expected 
18,why did we settle that their house would be all gables and wiggles  and their garden all gamboge coloured paths 
19,believe simply because we associate them with expensive hotels  mrs 
20,wilcox trailing in beautiful dresses down long corridors  mr  wilcox bullying porters  etc 
21,we females are that unjust 
22,shall be back saturday  will let you know train later 
23,they are as angry as am that you did not come too  really tibby is too tiresome  he starts a new mortal disease every month 
24,how could he have got hay fever in london 
25,and even if he could  it seems hard that you should give up a visit to hear a schoolboy sneeze 
26,tell him that charles wilcox  the son who is here  has hay fever too  but he s brave  and gets quite cross when we inquire after it 
27,men like the wilcoxes would do tibby a power of good 
28,but you won t agree  and d better change the subject 
29,this long letter is because m writing before breakfast 
30,oh  the beautiful vine leaves 
31,the house is covered with a vine 
32,looked out earlier  and mrs  wilcox was already in the garden 
33,she evidently loves it 
34,no wonder she sometimes looks tired 
35,she was watching the large red poppies come out 
36,then she walked off the lawn to the meadow  whose corner to the right can just see 
37,trail  trail  went her long dress over the sopping grass  and she came back with her hands full of the hay that was cut yesterday  suppose for rabbits or something  as she kept on smelling it 
38,the air here is delicious 
39,later on heard the noise of croquet balls  and looked out again  and it was charles wilcox practising  they are keen on all games 
40,presently he started sneezing and had to stop 
41,then hear more clicketing  and it is mr  wilcox practising  and then  a tissue  a tissue   he has to stop too 
42,then evie comes out  and does some calisthenic exercises on a machine that is tacked on to a green gage tree  they put everything to use  and then she says a tissue  and in she goes 
43,and finally mrs  wilcox reappears  trail  trail  still smelling hay and looking at the flowers 
44,inflict all this on you because once you said that life is sometimes life and sometimes only a drama  and one must learn to distinguish tother from which  and up to now have always put that down as meg s clever nonsense 
45,but this morning  it really does seem not life but a play  and it did amuse me enormously to watch the w s 
46,now mrs  wilcox has come in 
47,am going to wear   
48,last night mrs  wilcox wore an    and evie   
49,so it isn t exactly a go as you please place  and if you shut your eyes it still seems the wiggly hotel that we expected 
50,not if you open them 
51,the dog roses are too sweet 
52,there is a great hedge of them over the lawn  magnificently tall  so that they fall down in garlands  and nice and thin at the bottom  so that you can see ducks through it and a cow 
53,these belong to the farm  which is the only house near us 
54,there goes the breakfast gong 
55,much love 
56,modified love to tibby 
57,love to aunt juley  how good of her to come and keep you company  but what a bore 
58,burn this 
59,will write again thursday 
60,helen 
61,howards end
62,friday
63,dearest meg 
64,am having a glorious time 
65,like them all 
66,mrs  wilcox  if quieter than in germany  is sweeter than ever  and never saw anything like her steady unselfishness  and the best of it is that the others do not take advantage of her 
67,they are the very happiest  jolliest family that you can imagine 
68,do really feel that we are making friends 
69,the fun of it is that they think me a noodle  and say so  at least  mr  wilcox does  and when that happens  and one doesn t mind  it s a pretty sure test  isn t it 
70,he says the most horrid things about woman s suffrage so nicely  and when said believed in equality he just folded his arms and gave me such a setting down as ve never had 
71,meg  shall we ever learn to talk less 
72,never felt so ashamed of myself in my life 
73,couldn t point to a time when men had been equal  nor even to a time when the wish to be equal had made them happier in other ways 
74,couldn t say a word 
75,had just picked up the notion that equality is good from some book  probably from poetry  or you 
76,anyhow  it s been knocked into pieces  and  like all people who are really strong  mr  wilcox did it without hurting me 
77,on the other hand  laugh at them for catching hay fever 
78,we live like fighting cocks  and charles takes us out every day in the motor  a tomb with trees in it  a hermit s house  a wonderful road that was made by the kings of mercia  tennis  a cricket match  bridge and at night we squeeze up in this lovely house 
79,the whole clan s here now  it s like a rabbit warren  evie is a dear  they want me to stop over sunday  suppose it won t matter if do 
80,marvellous weather and the views marvellous  views westward to the high ground 
81,thank you for your letter 
82,burn this 
83,your affectionate
84,helen 
85,howards end 
86,sunday 
87,dearest  dearest meg   do not know what you will say  paul and are in love  the younger son who only came here wednesday 
88,margaret glanced at her sister s note and pushed it over the breakfast table to her aunt 
89,there was a moment s hush  and then the flood gates opened 
90,i can tell you nothing  aunt juley 
91,i know no more than you do 
92,we met  we only met the father and mother abroad last spring  i know so little that i didn t even know their son s name  it s all so   she waved her hand and laughed a little 
93,in that case it is far too sudden 
94,who knows  aunt juley  who knows 
95,but  margaret  dear  i mean  we mustn t be unpractical now that we ve come to facts 
96,it is too sudden  surely 
97,who knows 
98,but  margaret  dear  
99,i ll go for her other letters  said margaret 
100,no  i won t  i ll finish my breakfast 
101,in fact  i haven t them 
102,we met the wilcoxes on an awful expedition that we made from heidelberg to speyer 
103,helen and i had got it into our heads that there was a grand old cathedral at speyer  the archbishop of speyer was one of the seven electors  you know   speyer  maintz  and koln 
104,those three sees once commanded the rhine valley and got it the name of priest street 
105,i still feel quite uneasy about this business  margaret 
106,the train crossed by a bridge of boats  and at first sight it looked quite fine 
107,but oh  in five minutes we had seen the whole thing 
108,the cathedral had been ruined  absolutely ruined  by restoration  not an inch left of the original structure 
109,we wasted a whole day  and came across the wilcoxes as we were eating our sandwiches in the public gardens 
110,they too  poor things  had been taken in  they were actually stopping at speyer  and they rather liked helen s insisting that they must fly with us to heidelberg 
111,as a matter of fact  they did come on next day 
112,we all took some drives together 
