,sent_clean
0,the cyclone
1,dorothy lived in the midst of the great kansas prairies with uncle henry who was a farmer and aunt them who was the farmers wife
2,their house was small for the lumber to build it had to be carried by wagon many miles
3,there were four walls a floor and a roof which made one room and this room contained a rusty looking cookstove a cupboard for the dishes a table three or four chairs and the beds
4,uncle henry and aunt them had a big bed in one corner and dorothy a little bed in another corner
5,there was no garret at all and no cellarexcept a small hole dug in the ground called a cyclone cellar where the family could go in case one of those great whirlwinds arose mighty enough to crush any building in its path
6,it was reached by a trap door in the middle of the floor from which a ladder led down into the small dark hole
7,when dorothy stood in the doorway and looked around she could see nothing but the great gray prairie on every side
8,not a tree nor a house broke the broad sweep of flat country that reached to the edge of the sky in all directions
9,the sun had baked the plowed land into a gray mass with little cracks running through it
10,even the grass was not green for the sun had burned the tops of the long blades until they were the same gray color to be seen everywhere
11,once the house had been painted but the sun blistered the paint and the rains washed it away and now the house was as dull and gray as everything else
12,when aunt them came there to live she was a young pretty wife
13,the sun and wind had changed her too
14,they had taken the sparkle from her eyes and left them a sober gray they had taken the red from her cheeks and lips and they were gray also
15,she was thin and gaunt and never smiled now
16,when dorothy who was an orphan first came to her aunt them had been so startled by the childs laughter that she would scream and press her hand upon her heart whenever dorothys merry voice reached her ears and she still looked at the little girl with wonder that she could find anything to laugh at
17,uncle henry never laughed
18,he worked hard from morning till night and did not know what joy was
19,he was gray also from his long beard to his rough boots and he looked stern and solemn and rarely spoke
20,it was toto that made dorothy laugh and saved her from growing as gray as her other surroundings
21,toto was not gray he was a little black dog with long silky hair and small black eyes that twinkled merrily on either side of his funny wee nose
22,toto played all day long and dorothy played with him and loved him dearly
23,today however they were not playing
24,uncle henry sat upon the doorstep and looked anxiously at the sky which was even grayer than usual
25,dorothy stood in the door with toto in her arms and looked at the sky too
26,aunt them was washing the dishes
27,from the far north they heard a low wail of the wind and uncle henry and dorothy could see where the long grass bowed in waves before the coming storm
28,there now came a sharp whistling in the air from the south and as they turned their eyes that way they saw ripples in the grass coming from that direction also
29,suddenly uncle henry stood up
30,there is a cyclone coming them he called to his wife
31,ill go look after the stock
32,then he ran toward the sheds where the cows and horses were kept
33,aunt them dropped her work and came to the door
34,one glance told her of the danger close at hand
35,quick dorothy she screamed
36,run for the cellar
37,toto jumped out of dorothys arms and hid under the bed and the girl started to get him
38,aunt them badly frightened threw open the trap door in the floor and climbed down the ladder into the small dark hole
39,dorothy caught toto at last and started to follow her aunt
40,when she was halfway across the room there came a great shriek from the wind and the house shook so hard that she lost her footing and sat down suddenly upon the floor
41,then a strange thing happened
42,the house whirled around two or three times and rose slowly through the air
43,dorothy felt as if she were going up in a balloon
44,the north and south winds met where the house stood and made it the exact center of the cyclone
45,in the middle of a cyclone the air is generally still but the great pressure of the wind on every side of the house raised it up higher and higher until it was at the very top of the cyclone and there it remained and was carried miles and miles away as easily as you could carry a feather
46,it was very dark and the wind howled horribly around her but dorothy found she was riding quite easily
47,after the first few whirls around and one other time when the house tipped badly she felt as if she were being rocked gently like a baby in a cradle
48,toto did not like it
49,he ran about the room now here now there barking loudly but dorothy sat quite still on the floor and waited to see what would happen
50,once toto got too near the open trap door and fell in and at first the little girl thought she had lost him
51,but soon she saw one of his ears sticking up through the hole for the strong pressure of the air was keeping him up so that he could not fall
52,she crept to the hole caught toto by the ear and dragged him into the room again afterward closing the trap door so that no more accidents could happen
53,hour after hour passed away and slowly dorothy got over her fright but she felt quite lonely and the wind shrieked so loudly all about her that she nearly became deaf
54,at first she had wondered if she would be dashed to pieces when the house fell again but as the hours passed and nothing terrible happened she stopped worrying and resolved to wait calmly and see what the future would bring
55,at last she crawled over the swaying floor to her bed and lay down upon it and toto followed and lay down beside her
56,in spite of the swaying of the house and the wailing of the wind dorothy soon closed her eyes and fell fast asleep
57,the council with the munchkins
58,she was awakened by a shock so sudden and severe that if dorothy had not been lying on the soft bed she might have been hurt
59,as it was the jar made her catch her breath and wonder what had happened and toto put his cold little nose into her face and whined dismally
60,dorothy sat up and noticed that the house was not moving nor was it dark for the bright sunshine came in at the window flooding the little room
61,she sprang from her bed and with toto at her heels ran and opened the door
62,the little girl gave a cry of amazement and looked about her her eyes growing bigger and bigger at the wonderful sights she saw
63,the cyclone had set the house down very gentlyfor a cyclonein the midst of a country of marvelous beauty
64,there were lovely patches of greensward all about with stately trees bearing rich and luscious fruits
65,banks of gorgeous flowers were on every hand and birds with rare and brilliant plumage sang and fluttered in the trees and bushes
66,a little way off was a small brook rushing and sparkling along between green banks and murmuring in a voice very grateful to a little girl who had lived so long on the dry gray prairies
67,while she stood looking eagerly at the strange and beautiful sights she noticed coming toward her a group of the queerest people she had ever seen
68,they were not as big as the grown folk she had always been used to but neither were they very small
69,in fact they seemed about as tall as dorothy who was a well grown child for her age although they were so far as looks go many years older
70,three were men and one a woman and all were oddly dressed
71,they wore round hats that rose to a small point a foot above their heads with little bells around the brims that tinkled sweetly as they moved
72,the hats of the men were blue the little womans hat was white and she wore a white gown that hung in pleats from her shoulders
73,over it were sprinkled little stars that glistened in the sun like diamonds
74,the men were dressed in blue of the same shade as their hats and wore well polished boots with a deep roll of blue at the tops
75,the men dorothy thought were about as old as uncle henry for two of them had beards
76,but the little woman was doubtless much older
77,her face was covered with wrinkles her hair was nearly white and she walked rather stiffly
78,when these people drew near the house where dorothy was standing in the doorway they paused and whispered among themselves as if afraid to come farther
79,but the little old woman walked up to dorothy made a low bow and said in a sweet voice
80,you are welcome most noble sorceress to the land of the munchkins
81,we are so grateful to you for having killed the wicked witch of the east and for setting our people free from bondage
82,dorothy listened to this speech with wonder
83,what could the little woman possibly mean by calling her a sorceress and saying she had killed the wicked witch of the east
