,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,I do not remember to have ever met a slave who could tell of his birthday.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,A want of information concerning my own was a source of unhappiness to me even during childhood.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,The white children could tell their ages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,I could not tell why I ought to be deprived of the same privilege.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,I was not allowed to make any inquiries of my master concerning it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
