,sent_no,parag_no,chap_no,sect_no,sent_raw,sent_clean,token_len,char_len,sentimentr,sentimentr_lnorm_meanstd,sentimentr_medianiqr,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_lnorm_meanstd,syuzhet_medianiqr,syuzhet_lnorm_medianiqr,bing,bing_lnorm_meanstd,bing_medianiqr,bing_lnorm_medianiqr,sentiword,sentiword_lnorm_meanstd,sentiword_medianiqr,sentiword_lnorm_medianiqr,senticnet,senticnet_lnorm_meanstd,senticnet_medianiqr,senticnet_lnorm_medianiqr,nrc,nrc_lnorm_meanstd,nrc_medianiqr,nrc_lnorm_medianiqr,afinn,afinn_lnorm_meanstd,afinn_medianiqr,afinn_lnorm_medianiqr,scores,vader,vader_lnorm_meanstd,vader_medianiqr,vader_lnorm_medianiqr,textblob,textblob_lnorm_meanstd,textblob_medianiqr,textblob_lnorm_medianiqr,flair,flair_lnorm_meanstd,flair_medianiqr,flair_lnorm_medianiqr,pattern,pattern_lnorm_meanstd,pattern_medianiqr,pattern_lnorm_medianiqr,stanza,stanza_lnorm_meanstd,stanza_medianiqr,stanza_lnorm_medianiqr,sentimentr_roll100,sentimentr_lnorm_medianiqr_roll100,syuzhet_roll100,syuzhet_lnorm_medianiqr_roll100,bing_roll100,bing_lnorm_medianiqr_roll100,sentiword_roll100,sentiword_lnorm_medianiqr_roll100,senticnet_roll100,senticnet_lnorm_medianiqr_roll100,nrc_roll100,nrc_lnorm_medianiqr_roll100,afinn_roll100,afinn_lnorm_medianiqr_roll100,vader_roll100,vader_lnorm_medianiqr_roll100,textblob_roll100,textblob_lnorm_medianiqr_roll100,flair_roll100,flair_lnorm_medianiqr_roll100,pattern_roll100,pattern_lnorm_medianiqr_roll100,stanza_roll100,stanza_lnorm_medianiqr_roll100,mean_lnorm_medianiqr_roll100,mean_subset_roll100,stanza_lnorm_medianiqr_roll100_stdscale,col_roll,sentimentr_roll100_stdscale,syuzhet_roll100_stdscale,bing_roll100_stdscale,sentiword_roll100_stdscale,senticnet_roll100_stdscale,nrc_roll100_stdscale,afinn_roll100_stdscale,vader_roll100_stdscale,textblob_roll100_stdscale,flair_roll100_stdscale,pattern_roll100_stdscale,stanza_roll100_stdscale
0,0,0,0,0,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",i was born in tuckahoe near hillsborough and about twelve miles from easton in talbot county maryland,17,106,0.0,-0.029827801688260835,0.0,0.0,0.0,0.026836284022304282,0.0,0.0,0.0,0.041997404434118826,0.0,0.0,0.25,0.2546721118150339,0.2801363593320917,0.31188891955597026,0.7249999999999999,0.2576598950753275,0.13379022646007147,0.21106260864556342,0.0,-0.11980133759796854,0.0,0.0,0.0,0.11409228201171913,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0034178523175449425,0.0,0.0,0.1,0.0883194261838744,0.5303867403314918,0.7638378847566267,0.6886,0.5343713147160346,0.7021644245907304,0.5990565706064588,0.03517147252036209,-0.08102805690082918,0.2445044522393485,0.34970708559527725,5.795691620743625,-0.08399732710469218,-0.060983794477459746,0.018059156760073566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,0,0,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",i have no accurate knowledge of my age never having seen any authentic record containing it,16,93,1.6,1.412050150324761,1.1851851851851851,1.3897537828739501,1.6,1.5368115201780463,1.28,1.5,53.01399509068676,1.3560272001528921,1.132785985021635,1.9524351867336214,0.666666666666667,0.9457429359431966,0.8062140294393066,0.9289551615552566,1.3639999999999999,0.7955081187950456,0.5146007151370678,0.6820694018877206,23.48779926481438,2.0257153447211627,1.533015413407843,2.1938239622983806,-0.3481180554173769,-0.20067576318232183,-0.3559908068959643,-0.544473251068709,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.296}",-0.296,-0.6564245847506517,-0.4654088050314465,-0.6698843677765954,0.14999999999999997,0.24583692862869383,0.7955801104972374,1.2173666288308735,-1.0,-0.6847422296483499,-0.16237664315793518,-0.4071419714247661,0.26283171455184773,1.2425081761341428,2.2484835224073403,3.4169317806087083,5.918006942095407,-0.001109276061435198,-0.02762799692580461,0.291559255134509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0,0,0,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",by far the larger part of the slaves know as little of their ages as horses know of theirs and it is the wish of most masters within my knowledge to keep their slaves thus ignorant,36,182,-1.5,-0.6306102816936866,-1.111111111111111,-0.5790640761974791,-1.5,-0.6023200643759214,-1.2,-0.625,-43.634596624436995,-0.43869042560101706,-0.9323700172696088,-0.714224164667335,-0.375,-0.3892802470316625,-0.5089801458287301,-0.26310462412518254,1.8569999999999998,0.37047744332536153,0.8084028605482716,0.309859684250264,0.0,-0.11980133759796854,0.0,0.0,-1.9003567287029999,-0.6495970129227013,-1.9433336326955335,-1.3209993821418122,"{'neg': 0.054, 'neu': 0.876, 'pos': 0.07, 'compound': 0.1531}",0.1531,0.14669525689493051,0.2407232704402516,0.15399293799789304,0.103125,-0.04778122285836002,0.5469613259668508,0.37197313658721143,-0.943,-0.25505225949891586,-0.13319339024920962,-0.052496234373899886,0.11478998916232876,0.0006405184561165981,0.7979951196654361,0.538969657249234,9.501783643515,-0.3043971626352297,0.9496799053204806,-0.7091792803923846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0,0,0,I do not remember to have ever met a slave who could tell of his birthday.,i do not remember to have ever met a slave who could tell of his birthday,16,74,0.050000000000000044,0.015230884312146139,0.03703703703703707,0.043429805714810976,0.050000000000000044,0.07402301015217126,0.040000000000000036,0.04687500000000004,-26.50699754534338,-0.6150174934252679,-0.5663929925108175,-0.9762175933668107,-0.45833333333333304,-0.8565383610728625,-0.6141956798501725,-0.6803255491133358,1.92,1.2342155239209323,0.8459475566150177,1.0662561648946993,0.0,-0.11980133759796854,0.0,0.0,-1.0443541662521307,-0.8302118535704038,-1.0679724206878929,-1.6334197532061272,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0034178523175449425,0.0,0.0,0.0,-0.17697320951266374,0.0,0.0,-0.9819,-0.6713534583902506,-0.15310968039218198,-0.39609151416279476,0.0,-0.23192994533661754,0.0,0.0,5.2217708312606534,-0.12568802329399756,-0.21749391482144054,-0.11950481495308832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0,0,0,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",they seldom come nearer to it than planting time harvest time cherry time spring time or fall time,18,103,0.0,-0.029827801688260835,0.0,0.0,0.0,0.026836284022304282,0.0,0.0,-25.704484358604844,-0.5243345323479037,-0.5492451490182194,-0.8414774188125544,0.208333333333333,0.17439620800216618,0.22752859232136985,0.24020950760655785,0.11199999999999999,-0.20219177535615163,-0.2315256257449344,-0.19164070263254673,7.757728161621382,0.510098656200635,0.5063359368286757,0.64408247749128,0.0,0.11409228201171913,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0034178523175449425,0.0,0.0,0.0,-0.17697320951266374,0.0,0.0,-0.9925,-0.5976206978276919,-0.15853674145941868,-0.33523598801353466,0.0,-0.23192994533661754,0.0,0.0,6.019318485225281,-0.10265333562390423,0.0,-0.043498813309894545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,0,0,0,A want of information concerning my own was a source of unhappiness to me even during childhood.,a want of information concerning my own was a source of unhappiness to me even during childhood,17,96,0.5,0.39425394890380444,0.37037037037037035,0.4087511126099853,0.5,0.47094664759752247,0.4,0.4411764705882353,-26.087773109487912,-0.5665897051959129,-0.5574351396890613,-0.9042617533525765,-0.6458333333333333,-1.0960572262536463,-0.8509306313984193,-0.8941950988971795,1.1369999999999998,0.563622571185129,0.3793206197854587,0.4790015783601216,7.792280648580944,0.550122168047504,0.5085911287469723,0.6850071368372446,-0.34092303651433087,-0.17603695592996232,-0.3486330713661133,-0.5018540217918694,"{'neg': 0.192, 'neu': 0.734, 'pos': 0.073, 'compound': -0.4767}",-0.4767,-0.9932057993791094,-0.7495283018867924,-1.0153700417141591,0.6,1.4147826046665652,3.18232044198895,4.58302730853976,-0.9953,-0.6379576769778647,-0.15997030476019813,-0.3685282189123463,0.21102883512217252,0.6734813852781125,1.4670267134360908,2.0982425135716634,5.795691620743625,-0.08399732710469218,-0.060983794477459746,0.018059156760073566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,0,0,0,The white children could tell their ages.,the white children could tell their ages,7,41,0.4,0.7941024566048946,0.2962962962962963,0.7941450187851145,0.4,0.8896792761112997,0.32,0.8571428571428572,0.0,0.041997404434118826,0.0,0.0,-0.541666666666667,-2.1057386251421963,-0.7194112138716161,-1.7957529200000333,-0.406,-1.012976364205912,-0.5402264600715136,-0.9016645204360119,8.371065808485763,1.628000806792328,0.5463676169220479,1.7871547013912195,0.0,0.11409228201171913,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0034178523175449425,0.0,0.0,0.0,-0.17697320951266374,0.0,0.0,-0.8805,-1.433752574379268,-0.10119420942823863,-1.0253396120944802,0.0,-0.23192994533661754,0.0,0.0,3.9102401460269176,0.5392082198138171,-0.5751527226957386,2.074408368068645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,0,0,0,I could not tell why I ought to be deprived of the same privilege.,i could not tell why i ought to be deprived of the same privilege,14,66,-0.5,-0.5447842131214828,-0.37037037037037035,-0.49634063674069645,-0.5,-0.5124405860333178,-0.4,-0.5357142857142857,0.0,0.041997404434118826,0.0,0.0,-0.625,-1.2665811958437123,-0.8246267478930587,-1.0464581975723282,0.06099999999999994,-0.2257377934455849,-0.26191895113230035,-0.21226052433099143,0.0,-0.11980133759796854,0.0,0.0,0.0,0.11409228201171913,0.0,0.0,"{'neg': 0.199, 'neu': 0.641, 'pos': 0.16, 'compound': -0.1531}",-0.1531,-0.3894229902924818,-0.2407232704402516,-0.39598184056601066,0.0,-0.17697320951266374,0.0,0.0,-0.9681,-0.7634474927346349,-0.14604426126691156,-0.47210156549513904,0.0,-0.23192994533661754,0.0,0.0,4.381069308135138,-0.16412873306603634,-0.44675603420951393,-0.2463450262007747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,0,0,0,I was not allowed to make any inquiries of my master concerning it.,i was not allowed to make any inquiries of my master concerning it,13,67,1.0,1.0793090844756021,0.7407407407407407,1.0690413714415001,0.0,0.026836284022304282,0.0,0.0,28.050889359956056,0.8977297440193704,0.5993823759178057,1.2714794867480335,0.925,1.701571445688962,1.1323821849057794,1.6038443940635663,0.159,-0.1263358309907828,-0.20351609058402853,-0.1252118040544477,7.958647277843286,0.7749563880313544,0.5194496431637717,0.9149036011295083,0.0,0.11409228201171913,0.0,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.0034178523175449425,0.0,0.0,0.0,-0.17697320951266374,0.0,0.0,-0.9984,-0.8539881337286317,-0.16155746412891828,-0.5468295195760942,0.0,-0.23192994533661754,0.0,0.0,4.502899826745843,-0.06838338959925802,-0.41353244398810285,0.0695794107653212,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07758875877916657,,,,,,,,,,,,,
9,9,0,0,0,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",he deemed all such inquiries on the part of a slave improper and impertinent and evidence of a restless spirit,20,112,-2.05,-1.5077527025016082,-1.5185185185185184,-1.4244976274457988,-2.05,-1.520888333037331,-1.64,-1.5374999999999999,-100.10680711703974,-1.9430380878888698,-2.139050036003949,-2.9494408382167014,0.0,-0.12227561043669082,-0.03551024273223698,-0.024692666989094805,0.7129999999999997,0.16932431176644167,0.12663885578069117,0.13370498620006166,0.0,-0.11980133759796854,0.0,0.0,-1.938152097730281,-1.287888080908205,-1.981983750687319,-2.4250898964757774,"{'neg': 0.106, 'neu': 0.808, 'pos': 0.086, 'compound': -0.1027}",-0.1027,-0.1846713426442478,-0.16147798742138364,-0.18593817451528744,0.0,-0.17697320951266374,0.0,0.0,-0.9944,-0.5334860999877902,-0.15950951655637616,-0.2823023304895232,0.0,-0.23192994533661754,0.0,0.0,6.46050699243427,-0.1352367587111833,0.12031358268074897,-0.15101213166619135,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12956921838432758,,,,,,,,,,,,,
