,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang,sent_clean,char_len,token_len,roberta15lg_stdscaler,roberta15lg_medianiqr,roberta15lg_lnorm_stdscaler,roberta15lg_lnorm_medianiqr,nlptown_stdscaler,nlptown_medianiqr,nlptown_lnorm_stdscaler,nlptown_lnorm_medianiqr,yelp_stdscaler,yelp_medianiqr,yelp_lnorm_stdscaler,yelp_lnorm_medianiqr,hinglish_stdscaler,hinglish_medianiqr,hinglish_lnorm_stdscaler,hinglish_lnorm_medianiqr,imdb2way_stdscaler,imdb2way_medianiqr,imdb2way_lnorm_stdscaler,imdb2way_lnorm_medianiqr,huggingface_stdscaler,huggingface_medianiqr,huggingface_lnorm_stdscaler,huggingface_lnorm_medianiqr,t5imdb50k_stdscaler,t5imdb50k_medianiqr,t5imdb50k_lnorm_stdscaler,t5imdb50k_lnorm_medianiqr,robertaxml8lang_stdscaler,robertaxml8lang_medianiqr,robertaxml8lang_lnorm_stdscaler,robertaxml8lang_lnorm_medianiqr,roberta15lg_roll10,roberta15lg_roll10_stdscale,nlptown_roll10,nlptown_roll10_stdscale,yelp_roll10,yelp_roll10_stdscale,hinglish_roll10,hinglish_roll10_stdscale,imdb2way_roll10,imdb2way_roll10_stdscale,huggingface_roll10,huggingface_roll10_stdscale,t5imdb50k_roll10,t5imdb50k_roll10_stdscale,robertaxml8lang_roll10,robertaxml8lang_roll10_stdscale,mean_lnorm_medianiqr_roll10,roberta15lg_roll100,roberta15lg_stdscaler_roll10,nlptown_roll100,nlptown_stdscaler_roll10,yelp_roll100,yelp_stdscaler_roll10,hinglish_roll100,hinglish_stdscaler_roll10,imdb2way_roll100,imdb2way_stdscaler_roll10,huggingface_roll100,huggingface_stdscaler_roll10,t5imdb50k_roll100,t5imdb50k_stdscaler_roll10,robertaxml8lang_roll100,robertaxml8lang_stdscaler_roll10
0,0,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",0.9925077557563782,4.3594612181186685,2.247566029429436,0.6766218543052673,0.8818763494491577,0.9299007058143616,1,0.7508149743080139,i was born in tuckahoe  near hillsborough  and about twelve miles from easton  in talbot county  maryland ,106,17,1.0121853465570108,0.8683020676117026,0.44357894952621046,0.6187684031490498,-0.1427208530076332,-0.02844722752410689,-0.20127127497009578,0.061829445478748885,1.53545298711481,1.1081308283819282,0.3908974070187715,1.0936022566622243,0.3629391306943469,0.04326218384201296,0.0151070853554077,0.05940075079285874,0.43299566123750927,-0.21540749431976935,0.08429328617697256,0.18243497105374482,0.8532720001634235,0.7743748171787087,0.351989597080421,0.5880621889738414,1.081407128000056,1.0,0.6484936951011724,0.6901260504201682,0.7930954390720523,0.503921880700586,0.46453011135012456,0.4428471481959231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",-0.9990002512931824,0.544323742389679,1.4573456048965454,-0.9995265007019044,-0.4561706781387329,0.9029298424720764,-1,0.5420477390289307,i have no accurate knowledge of my age  never having seen any authentic record containing it ,93,16,-1.0013176158785888,-0.13076455808995407,-0.6012512471352132,-0.4118107167578396,-0.6538993642576093,-0.2910256755587147,-0.3177241900975927,-0.15220011682756923,-0.914866628002331,-0.2915743664869816,-0.49349382375838446,-0.29508084264908907,-0.6845604618710699,-0.6287539854711746,-0.4693519935267081,-0.6171350922433425,0.39409623128974614,-0.344146872871514,0.10231918302910221,0.21633817851707868,-0.9254405525330284,-0.07159815369128555,-0.5508257805718639,-0.35243585397044175,-0.9524817099543668,0.0,-0.6942802288893088,-0.4017857142857143,0.6378170928208448,0.41596074597120136,0.3869074438905054,0.3707458216959742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",-0.9961696267127992,0.6715612411499023,2.346543163061142,-0.6809160709381104,1.539682149887085,0.9854679107666016,-1,-1.620375394821167,by far the larger part of the slaves know as little of their ages as horses know of theirs  and it is the wish of most masters within my knowledge to keep their slaves thus ignorant ,182,36,-0.9984557288271837,-0.12934453741308957,-0.30060059094033725,-0.11526081836210166,-0.07869443424282763,0.0044413961219977715,-0.39107020386702,-0.2870032276539211,-0.8331467578864985,-0.24489322088480875,-0.5545918398997532,-0.39101777583465513,0.8779070606243253,0.3736363224544573,-0.03977264025927406,-0.01723751042003223,0.5131389094902926,0.049830119419987724,-0.19992686313302302,-0.35212787296797027,-0.5873342213434799,0.08920850224239475,-0.1663294456431374,0.04810899658370158,-0.9524817099543668,0.0,-0.3099846614172856,-0.08928571428571429,-0.9705650255260514,-0.4951457902831675,-0.2083263436021164,-0.18214867498095402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,I do not remember to have ever met a slave who could tell of his birthday.,-0.996809184551239,4.465884983539581,1.2685458660125732,-0.9650383591651917,1.4960456490516665,-0.8195992708206177,-1,-1.4961040318012238,i do not remember to have ever met a slave who could tell of his birthday ,74,16,-0.9991023501803438,-0.12966538015604082,-0.6000670027327375,-0.4106426249875616,-0.776030312093008,-0.3537610097596712,-0.35113744822318615,-0.2136105590137452,1.6038049774649505,1.147175790264645,0.48107434888434863,1.2351993132118047,0.8437459168800119,0.3517204753063096,0.2659843080981424,0.40974496103757363,-2.090266235167158,-8.56625399522366,-1.017444696148801,-1.8897199786519945,-0.8888420676272812,-0.05419155870317491,-0.5317977729400406,-0.33261363518480735,-0.9524817099543668,0.0,-0.6942802288893088,-0.4017857142857143,-0.8781336068203135,-0.442785801461221,-0.5742419645641771,-0.5220365263246616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",0.9962097406387328,3.3783366680145264,2.4334148168563843,-0.9899072647094728,0.8930291533470154,0.9947249293327332,1,0.7253572940826416,they seldom come nearer to it than planting time  harvest time  cherry time  spring time  or fall time ,103,18,1.0159282175377584,0.8701592178374212,0.417308454038941,0.5928562269836807,-0.02249881935078685,0.03330754956929461,-0.19283315381809402,0.07733792265918994,0.9053135110704258,0.7481739098355566,0.11751650447922453,0.6643358575624331,0.37167018221802034,0.04886352998158069,0.0014726366957536429,0.04036056015471941,0.5264900855601302,0.09401642529835086,0.0901434402567839,0.19343797351666417,-0.9152327115886542,-0.06674320536543635,-0.4848344116294847,-0.28369006731479424,1.081407128000056,1.0,0.6123247005155702,0.6607142857142857,0.7741603486135165,0.493195645632099,0.43534534250402174,0.4157383072314835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,A want of information concerning my own was a source of unhappiness to me even during childhood.,-0.9942503571510316,1.3632003664970398,0.4309325814247131,-0.9866891503334044,1.9701759219169617,0.7846252918243408,-1,-1.8638715147972107,a want of information concerning my own was a source of unhappiness to me even during childhood ,96,17,-0.9965152621382967,-0.1283817101695638,-0.5670734007089565,-0.3780990428391172,-1.3178663600183973,-0.6320873975523676,-0.5038621337303129,-0.49430424157783415,-0.38893290551497245,0.008856711557139851,-0.30991842407479825,-0.006828261530777465,1.2149221591266273,0.5898460442564062,0.4009207325695669,0.5981805413898195,0.22346841259444472,-0.9088471621037998,-0.004590606487620734,0.015261649366819438,-0.9118176794886459,-0.06511898292045454,-0.5117205999051112,-0.3116984598182692,-0.9524817099543668,0.0,-0.6535901099805064,-0.36869747899159666,-1.151674263179753,-0.5977394515282523,-0.6959696792890393,-0.6351056849958157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,The white children could tell their ages.,0.9957501888275146,0.5762622356414795,3.3840444684028625,-0.6359898447990417,0.9074008464813232,-0.9888880848884584,1,0.5483657121658325,the white children could tell their ages ,41,7,1.0154635902653575,0.8699286775253845,1.1688460084998884,1.3341431020454677,0.5924453594394012,0.34918758861827864,0.793270511678375,1.889704196906547,-0.8943537324671001,-0.2798567088127221,-0.301429459068891,0.006501226397307772,0.38292116397895387,0.0560815200578135,0.48370313923945407,0.7137842481346891,-2.3344274353556393,-9.374316252714936,-1.9540106551311405,-3.6512184644664805,-0.5396589412048678,0.11188332865815223,-0.8014002266990066,-0.6134690419598365,1.081407128000056,1.0,1.5785535558738,1.4464285714285714,0.6425163188226941,0.418622734982881,0.7223696363872992,0.6823464128787332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,I could not tell why I ought to be deprived of the same privilege.,-0.9963852763175964,0.8537445068359375,1.3844336867332458,-0.997553825378418,-1.607613444328308,0.9737589955329896,-1,-1.924061179161072,i could not tell why i ought to be deprived of the same privilege ,66,14,-0.9986737601464505,-0.12945272092138382,-0.676771297820587,-0.4863007033789639,-0.7010646925913169,-0.31525321729286115,-0.2956260459316688,-0.11158579542190576,-0.7161372838383082,-0.17805346346552972,-0.38628821114460044,-0.12674513645121718,-1.5859755867342735,-1.207050667847887,-0.9895680666372171,-1.343604746594561,0.4962514216070222,-0.006059766326715307,0.2387932305590859,0.47301932923737045,-0.92334716840638,-0.07060251986270084,-0.6283626149760524,-0.4332090029644991,-0.9524817099543668,0.0,-0.7930990890964005,-0.48214285714285715,-1.1964425503649596,-0.6230995190184812,-0.9056784892107467,-0.829897797518187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,I was not allowed to make any inquiries of my master concerning it.,-0.998844563961029,0.8215959668159485,1.398001194000244,-0.996916115283966,-1.7079361081123352,0.9397987127304076,-1,-1.5305749773979187,i was not allowed to make any inquiries of my master concerning it ,67,13,-1.0011602090776144,-0.13068645545765317,-0.7257508923918107,-0.5346122353655965,-0.6922881310765763,-0.31074493720889285,-0.2711311690452819,-0.06656650352182142,-0.7367850845295023,-0.1898481835142041,-0.3774691398192792,-0.11289731110549017,-1.6645138946353708,-1.2574363798754924,-1.08931061922718,-1.4828929029002313,0.44727131944566006,-0.16816157404272597,0.26727142623820815,0.526581278704347,-0.922670436572593,-0.07028065962786796,-0.6763143246722769,-0.4831621719528335,-0.9524817099543668,0.0,-0.8539106953776878,-0.5315934065934067,-0.9037726464848217,-0.4573096489693168,-0.7570639418949281,-0.6918542807293026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",-0.9987067580223083,0.7395594120025635,0.6378947496414185,-0.9958999752998352,1.5798768401145935,0.9640535712242126,-1,-1.8766206502914429,he deemed all such inquiries on the part of a slave improper and impertinent  and evidence of a restless spirit ,112,20,-1.0010208811588346,-0.13061732326550934,-0.4931348941237069,-0.3051690286728549,-1.1839864832781586,-0.563316959273272,-0.4853269183655084,-0.46023824994989476,-0.7894740847803936,-0.21994591725825538,-0.48173313611639546,-0.27661405148658735,0.9093737585568409,0.39382356639767985,0.17854315818460806,0.2876354276393924,0.4822535206788497,-0.05238643663889668,0.01671347188342314,0.05533047893760951,-0.9215921185706866,-0.06976780110992896,-0.43893213112638063,-0.23587186876780844,-0.9524817099543668,0.0,-0.5559338245993806,-0.2892857142857143,-1.1611569038490634,-0.603111120235711,-0.57669063264483,-0.5243110193632446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
