,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang,sent_clean,char_len,token_len,nlptown_medianiqr,nlptown_lnorm_medianiqr,roberta15lg_medianiqr,roberta15lg_lnorm_medianiqr,yelp_medianiqr,yelp_lnorm_medianiqr,hinglish_medianiqr,hinglish_lnorm_medianiqr,imdb2way_medianiqr,imdb2way_lnorm_medianiqr,huggingface_medianiqr,huggingface_lnorm_medianiqr,t5imdb50k_medianiqr,t5imdb50k_lnorm_medianiqr,robertaxml8lang_medianiqr,robertaxml8lang_lnorm_medianiqr,nlptown_roll100,nlptown_roll100_stdscale,roberta15lg_roll100,roberta15lg_roll100_stdscale,yelp_roll100,yelp_roll100_stdscale,hinglish_roll100,hinglish_roll100_stdscale,imdb2way_roll100,imdb2way_roll100_stdscale,huggingface_roll100,huggingface_roll100_stdscale,t5imdb50k_roll100,t5imdb50k_roll100_stdscale,robertaxml8lang_roll100,robertaxml8lang_roll100_stdscale,mean_lnorm_medianiqr_roll100,robertaxml8lang_roll100_stdscale_stand
0,0,"I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.",0.9925077557563782,4.3594612181186685,2.247566029429436,0.6766218543052673,0.8818763494491577,0.9299007058143616,1,0.7508149743080139,i was born in tuckahoe near hillsborough and about twelve miles from easton in talbot county maryland,106,17,-0.03204787609308403,0.07269552080002316,0.9700154705038986,0.668079732705244,1.1042412971465738,1.173050316016497,0.04460734390196531,0.09260719365858827,-0.2178576218854469,0.2385582764044187,0.7755258980331697,0.6219342524766068,1.0,0.6916306594267038,0.5048959467724354,0.4535148648777405,,,,,,,,,,,,,,,,,,
1,1,"I have no accurate knowledge of my age, never having seen any authentic record containing it.",-0.9990002512931824,0.544323742389679,1.4573456048965454,-0.9995265007019044,-0.4561706781387329,0.9029298424720764,-1,0.5420477390289307,i have no accurate knowledge of my age never having seen any authentic record containing it,93,16,-0.29345026285383097,-0.1539340109475669,-0.029056502593248525,-0.40007163916039523,-0.2905509425582964,-0.2884994936066846,-0.6333923415876859,-0.6291059606968267,-0.34719667276995153,0.275089439262575,-0.0712604656126041,-0.36936719807820245,0.0,-0.4002247763110278,0.41678575319012656,0.3778901584213904,,,,,,,,,,,,,,,,,,
2,2,"By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.",-0.9961696267127992,0.6715612411499023,2.346543163061142,-0.6809160709381104,1.539682149887085,0.9854679107666016,-1,-1.620375394821167,by far the larger part of the slaves know as little of their ages as horses know of theirs and it is the wish of most masters within my knowledge to keep their slaves thus ignorant,182,36,0.0006934428640399432,-0.296531482458318,-0.027636474315877735,-0.09280067337318894,-0.2440336474413473,-0.38942358422505446,0.3779230769178496,0.010969341905519394,0.048615477533643967,-0.3379510384681793,0.08970080397510255,0.05274443152463611,0.0,-0.08783323957189249,-0.4958647433099098,-0.20204604262002243,,,,,,,,,,,,,,,,,,
3,3,I do not remember to have ever met a slave who could tell of his birthday.,-0.996809184551239,4.465884983539581,1.2685458660125732,-0.9650383591651917,1.4960456490516665,-0.8195992708206177,-1,-1.4961040318012238,i do not remember to have ever met a slave who could tell of his birthday,74,16,-0.35590461208588114,-0.21895201997787792,-0.02795731877610487,-0.3988609832774195,1.1431492114939845,1.3220089996269475,0.35581209484301424,0.46632050885621695,-8.607602645199906,-1.9968513763309892,-0.05383713439402064,-0.3484745301913639,0.0,-0.4002247763110278,-0.44341602530209107,-0.5583721522411441,,,,,,,,,,,,,,,,,,
4,4,"They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.",0.9962097406387328,3.3783366680145264,2.4334148168563843,-0.9899072647094728,0.8930291533470154,0.9947249293327332,1,0.7253572940826416,they seldom come nearer to it than planting time harvest time cherry time spring time or fall time,103,18,0.029430307843647238,0.08913997980617704,0.971872630669812,0.641238337064632,0.7455478247946488,0.7213023543451967,0.05025856346239183,0.0723098323319159,0.09300760470320958,0.250466453236286,-0.06640084931268124,-0.29694596466051854,1.0,0.6622361855877855,0.4941515350364871,0.4250944085560574,,,,,,,,,,,,,,,,,,
5,5,A want of information concerning my own was a source of unhappiness to me even during childhood.,-0.9942503571510316,1.3632003664970398,0.4309325814247131,-0.9866891503334044,1.9701759219169617,0.7846252918243408,-1,-1.8638715147972107,a want of information concerning my own was a source of unhappiness to me even during childhood,96,17,-0.6329844052375223,-0.516129968521782,-0.026673641918923827,-0.3651505430632848,0.008825624563292455,0.01488472978719912,0.5960578928276276,0.6673727931401735,-0.914527354843679,0.058211002117420696,-0.0647750651974706,-0.3264505538623097,0.0,-0.36715828825113284,-0.5986322596730481,-0.6769775731373445,,,,,,,,,,,,,,,,,,
6,6,The white children could tell their ages.,0.9957501888275146,0.5762622356414795,3.3840444684028625,-0.6359898447990417,0.9074008464813232,-0.9888880848884584,1,0.5483657121658325,the white children could tell their ages,41,7,0.34389555339418615,2.0057848738736603,0.9716420891238333,1.4084938977650288,-0.2788744137781728,0.02845962464631673,0.057540821278531606,0.7897212034979102,-9.419428883723375,-3.894701207583656,0.11239743196210841,-0.6437901831564261,1.0,1.4468296235335774,0.4194522532057831,0.7042041919714455,,,,,,,,,,,,,,,,,,
7,7,I could not tell why I ought to be deprived of the same privilege.,-0.9963852763175964,0.8537445068359375,1.3844336867332458,-0.997553825378418,-1.607613444328308,0.9737589955329896,-1,-1.924061179161072,i could not tell why i ought to be deprived of the same privilege,66,14,-0.3175692919746702,-0.11098240911371594,-0.02774465840321244,-0.4772198295582509,-0.17742849708974223,-0.1113741656015754,-1.2168380779779837,-1.4039770200163728,-0.007534745170876082,0.5518569953035616,-0.07026387449413972,-0.45444067758988815,0.0,-0.48051898928730397,-0.6240353023088547,-0.8811366469122821,,,,,,,,,,,,,,,,,,
8,8,I was not allowed to make any inquiries of my master concerning it.,-0.998844563961029,0.8215959668159485,1.398001194000244,-0.996916115283966,-1.7079361081123352,0.9397987127304076,-1,-1.5305749773979187,i was not allowed to make any inquiries of my master concerning it,67,13,-0.313081204003414,-0.06335523307055305,-0.028978399542911766,-0.5272500283560635,-0.18918181775590096,-0.09682443544989533,-1.2676724157035213,-1.5524849454001153,-0.17039162853096096,0.6095488181521049,-0.06994170479458534,-0.5070459391259036,0.0,-0.5299236914298934,-0.45796448490797603,-0.7363355951359317,,,,,,,,,,,,,,,,,,
9,9,"He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.",-0.9987067580223083,0.7395594120025635,0.6378947496414185,-0.9958999752998352,1.5798768401145935,0.9640535712242126,-1,-1.8766206502914429,he deemed all such inquiries on the part of a slave improper and impertinent and evidence of a restless spirit,112,20,-0.5645219825242579,-0.48004593990136407,-0.028909266980745384,-0.2895991882222403,-0.21917390867104386,-0.269034182805373,0.39829006460267874,0.33614851139214313,-0.05407720666340669,0.10152713653604248,-0.06942835316938659,-0.24656876859838817,0.0,-0.2877888019184615,-0.6040130312050473,-0.5608435797381199,,,,,,,,,,,,,,,,,,
