"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,""I was born in Tuckahoe, near Hillsborough, and about twelve miles from Easton, in Talbot county, Maryland.""",0,0,0,0
"2","1,""I have no accurate knowledge of my age, never having seen any authentic record containing it.""",1.6,2,-1,3
"3","2,""By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.""",-0.5,-1,-4,0
"4","3,I do not remember to have ever met a slave who could tell of his birthday.",0.05,-1,-3,0
"5","4,""They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.""",0,-1,0,1
"6","5,A want of information concerning my own was a source of unhappiness to me even during childhood.",0.5,-1,-1,1
"7","6,The white children could tell their ages.",0.4,0,0,1
"8","7,I could not tell why I ought to be deprived of the same privilege.",-0.5,0,0,0
"9","8,I was not allowed to make any inquiries of my master concerning it.",0,1,0,1
"10","9,""He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.""",-2.05,-4,-6,0
"11","10,The nearest estimate I can give makes me now between twenty-seven and twenty-eight years of age.",0,0,0,0
"12","11,""I come to this, from hearing my master say, some time during , I was about seventeen years old.""",0,1,0,0
"13","12,My mother was named Harriet Bailey.",0,0,0,0
"14","13,""She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.""",0,-1,0,1
"15","14,My mother was of a darker complexion than either my grandmother or grandfather.",0,-1,0,1
"16","15,My father was a white man.",0.4,0,0,1
"17","16,He was admitted to be such by all I ever heard speak of my parentage.",0.6,0,-1,1
"18","17,""The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.""",0.6,1,0,2
"19","18,My mother and I were separated when I was but an infant before I knew her as my mother.",0.6,0,0,1
"20","19,""It is a common custom, in the part of Maryland from which I ran away, to part children from their mothers at a very early age.""",0,0,0,0
"21","20,""Frequently, before the child has reached its twelfth month, its mother is taken from it, and hired out on some farm a considerable distance off, and the child is placed under the care of an old woman, too old for field labor.""",1.3,0,3,3
"22","21,""For what this separation is done, I do not know, unless it be to hinder the development of the child s affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.""",-1.11022302462516e-16,-2,-1,2
"23","22,This is the inevitable result.",-0.6,-1,0,0
"24","23,""I never saw my mother, to know her as such, more than four or five times in my life; and each of these times was very short in duration, and at night.""",0,0,0,0
"25","24,""She was hired by a Mr. Stewart, who lived about twelve miles from my home.""",0,0,0,0
"26","25,""She made her journeys to see me in the night, travelling the whole distance on foot, after the performance of her day s work.""",0.65,1,0,0
"27","26,""She was a field hand, and a whipping is the penalty of not being in the field at sunrise, unless a slave has special permission from his or her master to the contrary a permission which they seldom get, and one that gives to him that gives it the proud name of being a kind master.""",1.35,0,-1,2
"28","27,I do not recollect of ever seeing my mother by the light of day.",0,0,0,0
"29","28,She was with me in the night.",0,0,0,0
"30","29,""She would lie down with me, and get me to sleep, but long before I waked she was gone.""",-0.5,-1,0,-1
"31","30,Very little communication ever took place between us.",0,0,0,0
"32","31,""Death soon ended what little we could have while she lived, and with it her hardships and suffering.""",-2.55,-3,-4,-2
"33","32,""She died when I was about seven years old, on one of my master s farms, near Lee s Mill.""",-0.5,0,-3,1
"34","33,""I was not allowed to be present during her illness, at her death, or burial.""",-1.75,-2,-4,-2
"35","34,She was gone long before I knew any thing about it.",0,0,0,0
"36","35,""Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.""",3.95,0,7,4
"37","36,""Called thus suddenly away, she left me without the slightest intimation of who my father was.""",0,0,0,0
"38","37,""The whisper that my master was my father, may or may not be true; and, true or false, it is of but little consequence to my purpose whilst the fact remains, in all its glaring odiousness, that slaveholders have ordained, and by law established, that the children of slave women shall in all cases follow the condition of their mothers; and this is done too obviously to administer to their own lusts, and make a gratification of their wicked desires profitable as well as pleasurable; for by this cunning arrangement, the slaveholder, in cases not a few, sustains to his slaves the double relation of master and father.""",-0.5,0,2,2
"39","38,""I know of such cases; and it is worthy of remark that such slaves invariably suffer greater hardships, and have more to contend with, than others.""",-1.8,-3,-1,2
"40","39,""They are, in the first place, a constant offence to their mistress.""",-1.3,-2,-2,0
"41","40,""She is ever disposed to find fault with them; they can seldom do any thing to please her; she is never better pleased than when she sees them under the lash, especially when she suspects her husband of showing to his mulatto children favors which he withholds from his black slaves.""",0.3,0,4,-1
"42","41,""The master is frequently compelled to sell this class of his slaves, out of deference to the feelings of his white wife; and, cruel as the deed may strike any one to be, for a man to sell his own children to human flesh-mongers, it is often the dictate of humanity for him to do so; for, unless he does this, he must not only whip them himself, but must stand by and see one white son tie up his brother, of but few shades darker complexion than himself, and ply the gory lash to his naked back; and if he lisp one word of disapproval, it is set down to his parental partiality, and only makes a bad matter worse, both for himself and the slave whom he would protect and defend.""",-4.65,-6,-15,0
"43","42,Every year brings with it multitudes of this class of slaves.",-1,-1,-3,0
"44","43,""It was doubtless in consequence of a knowledge of this fact, that one great statesman of the south predicted the downfall of slavery by the inevitable laws of population.""",-0.5,0,0,1
"45","44,""Whether this prophecy is ever fulfilled or not, it is nevertheless plain that a very different-looking class of people are springing up at the south, and are now held in slavery, from those originally brought to this country from Africa; and if their increase do no other good, it will do away the force of the argument, that God cursed Ham, and therefore American slavery is right.""",0.2,1,3,-1
"46","45,""If the lineal descendants of Ham are alone to be scripturally enslaved, it is certain that slavery at the south must soon become unscriptural; for thousands are ushered into the world, annually, who, like myself, owe their existence to white fathers, and those fathers most frequently their own masters.""",-0.0499999999999999,2,-4,0
"47","46,I have had two masters.",0.1,1,0,0
"48","47,My first master s name was Anthony.",0,1,0,1
"49","48,I do not remember his first name.",0,0,0,0
