"","sent_raw","jockers_rinker","jockers","huliu","lmcd","nrc","senticnet","sentiword"
"1","CHAPTER 1 THE WINDOW  SECTION 1  ""Yes, of course, if it's fine tomorrow,"" said Mrs. Ramsay.",0.280624304008046,0.280624304008046,0.267261241912424,0,0,-0.0465034560927619,0.0668153104781061
"2","""But you'll have to be up with the lark,"" she added.",0,0,0,0,0,0.483699574538877,-0.186089032981588
"3","To her son these words conveyed an extraordinary joy, as if it were settled, the expedition were bound to take place, and the wonder to which he had looked forward, for years and years it seemed, was, after a night's darkness and a day's sail, within touch.",0.393835477044315,0.247970485546421,0.291729982995789,0,0.145864991497895,0.439782949366152,-0.0334273938849342
"4","Since he belonged, even at the age of six, to that great clan which cannot keep this feeling separate from that, but must let future prospects, with their joys and sorrows, cloud what is actually at hand, since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests, James Ramsay, sitting on the floor cutting out pictures from the illustrated catalogue of the Army and Navy stores, endowed the picture of a refrigerator, as his mother spoke, with heavenly bliss.",0.365,0.365,0.1,-0.1,0.2,0.220725,0.196875
"5","It was fringed with joy.",0.335410196624968,0.335410196624968,0.447213595499958,0,0.447213595499958,0.397572886399463,0.0559016994374947
"6","The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing, brooms knocking, dresses rustlingâ€""all these were so coloured and distinguished in his mind that he had already his private code, his secret language, though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.",0.0575781043039635,0.0575781043039635,-0.175662013130736,-0.195180014589707,-0.117108008753824,0.651198600677097,-0.062213629650469
"7","""But,"" said his father, stopping in front of the drawing-room window, ""it won't be fine.""",-0.1625,-0.1625,-0.25,-0.25,0,-0.20875,0.03125
"8","Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it.",-0.724784450716211,-0.353553390593274,-0.371231060122937,-0.176776695296637,0.176776695296637,0.186145860147359,-0.0810226520109586
"9","Such were the extremes of emotion that Mr. Ramsay excited in his children's breasts by his mere presence; standing, as now, lean as a knife, narrow as the blade of one, grinning sarcastically, not only with the pleasure of disillusioning his son and casting ridicule upon his wife, who was ten thousand times better in every way than he was (James thought), but also with some secret conceit at his own accuracy of judgement.",0.0494052464661232,0.0494052464661232,-0.145309548429774,0.232495277487639,0.110435256806628,0.367098418389107,0.296673661377455
"10","What he said was true.",0,0,0,0,0,0,0
"11","It was always true.",0,0,0,0,0,0,-0.1125
"12","He was incapable of untruth; never tampered with a fact; never altered a disagreeable word to suit the pleasure or convenience of any mortal being, least of all of his own children, who, sprung from his loins, should be aware from childhood that life is difficult; facts uncompromising; and the passage to that fabled land where our brightest hopes are extinguished, our frail barks founder in darkness (here Mr. Ramsay would straighten his back and narrow his little blue eyes upon the horizon), one that needs, above all, courage, truth, and the power to endure.",0.260598501429629,0.260598501429629,-0.225715237458734,-0.205195670417031,0.512989176042577,0.197275117538933,-0.0158171662613128
"13","""But it may be fineâ€""I expect it will be fine,"" said Mrs. Ramsay, making some little twist of the reddish brown stocking she was knitting, impatiently.",0.0408956440675985,0.0793856620135735,0.394522683946244,0,0.192450089729875,-0.483020857708527,0.199666968094746
"14","If she finished it tonight, if they did go to the Lighthouse after all, it was to be given to the Lighthouse keeper for his little boy, who was threatened with a tuberculous hip; together with a pile of old magazines, and some tobacco, indeed, whatever she could find lying about, not really wanted, but only littering the room, to give those poor fellows, who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden, something to amuse them.",-0.0234798800687149,-0.0234798800687149,-0.330190572901453,-0.304603849540086,0.456804239693615,0.210605639937428,0.262035461566859
"15","For how would you like to be shut up for a whole month at a time, and possibly more in stormy weather, upon a rock the size of a tennis lawn?",-0.07184212081071,-0.07184212081071,-0.14368424162142,-0.179605302026775,-0.14368424162142,0.13355450258711,0.00449013255066936
"16","she would ask; and to have no letters or newspapers, and to see nobody; if you were married, not to see your wife, not to know how your children were,â€""if they were ill, if they had fallen down and broken their legs or arms; to see the same dreary waves breaking week after week, and then a dreadful storm coming, and the windows covered with spray, and birds dashed against the lamp, and the whole place rocking, and not be able to put your nose out of doors for fear of being swept into the sea?",-0.314757311191422,-0.314757311191422,-0.406138466053448,-0.406138466053448,-0.609207699080171,-0.506962340251216,-0.205396067988488
"17","How would you like that?",0.223606797749979,0.223606797749979,0.447213595499958,0,0,0,0.167705098312484
"18","she asked, addressing herself particularly to her daughters.",0,0,0,0,0,0,0
"19","So she added, rather differently, one must take them whatever comforts one can.",0.277350098112615,0.277350098112615,0,0,0,-0.216610426625952,-0.0260015716980576
"20","""It's due west,"" said the atheist Tansley, holding his bony fingers spread so that the wind blew through them, for he was sharing Mr. Ramsay's evening walk up and down, up and down the terrace.",0,0,0,0,0,0.237150283876822,0.221852991866236
"21","That is to say, the wind blew from the worst possible direction for landing at the Lighthouse.",0.0242535625036333,0.0242535625036333,-0.242535625036333,-0.242535625036333,0.242535625036333,0.398486031934695,-0.18190171877725
"22","Yes, he did say disagreeable things, Mrs. Ramsay admitted; it was odious of him to rub this in, and make James still more disappointed; but at the same time, she would not let them laugh at him.",-0.476757063185536,-0.476757063185536,-0.460317164455,-0.460317164455,-0.624716151760358,-0.393579395558391,-0.121713964530002
"23","""The atheist,"" they called him; ""the little atheist.""",0,0,0,0,0,0.220193051661491,0
"24","Rose mocked him; Prue mocked him; Andrew, Jasper, Roger mocked him; even old Badger without a tooth in his head had bit him, for being (as Nancy put it) the hundred and tenth young man to chase them all the way up to the Hebrides when it was ever so much nicer to be alone.",-0.118659175793531,-0.118659175793531,-0.161807966991178,0,-0.134839972492648,-0.0276421943609929,-0.162931633428617
"25","""Nonsense,"" said Mrs. Ramsay, with great severity.",-0.321269802057843,-0.321269802057843,-0.377964473009227,0,-0.377964473009227,-0.28838689290604,0
"26","Apart from the habit of exaggeration which they had from her, and from the implication (which was true) that she asked too many people to stay, and had to lodge some in the town, she could not bear incivility to her guests, to young men in particular, who were poor as churchmice, ""exceptionally able,"" her husband said, his great admirers, and come there for a holiday.",-0.292957748530812,0.371736302757585,-0.541602560309064,0.123091490979333,0.344656174742132,0.433848269105756,-0.169763681308996
"27","Indeed, she had the whole of the other sex under her protection; for reasons she could not explain, for their chivalry and valour, for the fact that they negotiated treaties, ruled India, controlled finance; finally for an attitude towards herself which no woman could fail to feel or to find agreeable, something trustful, childlike, reverential; which an old woman could take from a young man without loss of dignity, and woe betide the girlâ€""pray Heaven it was none of her daughters!â€""who did not feel the worth of it, and all that it implied, to the marrow of her bones!",0.298511157062997,0.199007438041998,0.298511157062997,0,0.199007438041998,0.298610660782018,-0.00621898243881243
"28","She turned with severity upon Nancy.",-0.244948974278318,-0.244948974278318,-0.408248290463863,-0.408248290463863,0,-0.309860452462072,-0.102062072615966
"29","He had not chased them, she said.",0,0,0,0,0,0,0
"30","He had been asked.",0,0,0,0,0,0,0
"31","They must find a way out of it all.",0,0,0,0,0,-0.282,0.166666666666667
"32","There might be some simpler way, some less laborious way, she sighed.",-0.115470053837925,-0.115470053837925,0.288675134594813,0,-0.288675134594813,-0.16916362887256,0.126295371385231
"33","When she looked in the glass and saw her hair grey, her cheek sunk, at fifty, she thought, possibly she might have managed things betterâ€""her husband; money; his books.",0.16431676725155,0.16431676725155,0,0.182574185835055,0,0.749101884481232,-0.102697979532219
"34","But for her own part she would never for a single second regret her decision, evade difficulties, or slur over duties.",-0.163663417676994,-0.163663417676994,-0.436435780471985,-0.436435780471985,-0.436435780471985,-0.849031256435687,0.231856508375742
"35","She was now formidable to behold, and it was only in silence, looking up from their plates, after she had spoken so severely about Charles Tansley, that her daughters, Prue, Nancy, Roseâ€""could sport with infidel ideas which they had brewed for themselves of a life different from hers; in Paris, perhaps; a wilder life; not always taking care of some man or other; for there was in all their minds a mute questioning of deference and chivalry, of the Bank of England and the Indian Empire, of ringed fingers and lace, though to them all there was something in this of the essence of beauty, which called out the manliness in their girlish hearts, and made them, as they sat at table beneath their mother's eyes, honour her strange severity, her extreme courtesy, like a queen's raising from the mud to wash a beggar's dirty foot, when she admonished them so very severely about that wretched atheist who had chased themâ€""or, speaking accurately, been invited to stay with themâ€""in the Isle of Skye.",-0.230656178601989,-0.30603401474643,-0.0452267016866646,-0.150755672288882,-0.0603022689155527,0.084272420809485,0.0956356296082594
"36","""There'll be no landing at the Lighthouse tomorrow,"" said Charles Tansley, clapping his hands together as he stood at the window with her husband.",-0.122474487139159,-0.122474487139159,0,0,-0.204124145231932,0.134109563417379,0
"37","Surely, he had said enough.",-0.111803398874989,-0.111803398874989,0.447213595499958,0,0,0.258936671794476,0.0559016994374947
"38","She wished they would both leave her and James alone and go on talking.",-0.227172055625561,-0.227172055625561,0,0,-0.267261241912424,-0.491493423876948,-0.0501114828585796
"39","She looked at him.",0,0,0,0,0,0,0
"40","He was such a miserable specimen, the children said, all humps and hollows.",-0.277350098112615,-0.277350098112615,-0.277350098112615,0,-0.277350098112615,0.0812635787469961,-0.0866719056601921
"41","He couldn't play cricket; he poked; he shuffled.",0,0,0,0,0,-0.243244732728172,-0.0110485434560398
