,sent_raw
0,"Then wear the gold hat, if that will move her; If you can bounce high, bounce for her too, Till she cry ""Lover, gold-hatted, high-bouncing lover, I must have you!"""
1,THOMAS PARKE D'INVILLIERS
2,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since.
3,"""Whenever you feel like criticizing any one,"" he told me, ""just remember that all the people in this world haven't had the advantages that you've had."""
4,"He didn't say any more but we've always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that."
5,"In consequence I' inclined to reserve all judgments, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores."
6,"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men."
7,"Most of the confidences were unsought frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon for the intimate revelations of young men or at least the terms in which they express them are usually plagiaristic and marred by obvious suppressions."
8,Reserving judgments is a matter of infinite hope.
9,"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth."
10,"And, after boasting this way of my tolerance, I come to the admission that it has a limit."
11,Conduct may be founded on the hard rock or the wet marshes but after a certain point I don't care what it's founded on.
12,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.
13,"Only Gatsby, the man who gives his name to this book, was exempt from my reaction Gatsby who represented everything for which I have an unaffected scorn."
14,"If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away."
15,"This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the ""creative temperament"" it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again."
16,"No Gatsby turned out all right at the end; it is what preyed on Gatsby, what foul dust floated in the wake of his dreams that temporarily closed out my interest in the abortive sorrows and short-winded elations of men."
17,"My family have been prominent, well-to-do people in this middle-western city for three generations."
18,"The Carraways are something of a clan and we have a tradition that we're descended from the Dukes of Buccleuch, but the actual founder of my line was my grandfather's brother who came here in fifty-one, sent a substitute to the Civil War and started the wholesale hardware business that my father carries on today."
19,I never saw this great-uncle but I' supposed to look like him with special reference to the rather hard-boiled painting that hangs in Father's office.
20,"I graduated from New Haven in , just a quarter of a century after my father, and a little later I participated in that delayed Teutonic migration known as the Great War."
21,I enjoyed the counter-raid so thoroughly that I came back restless.
22,Instead of being the warm center of the world the middle-west now seemed like the ragged edge of the universe so I decided to go east and learn the bond business.
23,Everybody I knew was in the bond business so I supposed it could support one more single man.
24,"All my aunts and uncles talked it over as if they were choosing a prep-school for me and finally said, ""Why ye-es"" with very grave, hesitant faces."
25,"Father agreed to finance me for a year and after various delays I came east, permanently, I thought, in the spring of twenty-two."
26,"The practical thing was to find rooms in the city but it was a warm season and I had just left a country of wide lawns and friendly trees, so when a young man at the office suggested that we take a house together in a commuting town it sounded like a great idea."
27,"He found the house, a weather beaten cardboard bungalow at eighty a month, but at the last minute the firm ordered him to Washington and I went out to the country alone."
28,"I had a dog, at least I had him for a few days until he ran away, and an old Dodge and a Finnish woman who made my bed and cooked breakfast and muttered Finnish wisdom to herself over the electric stove."
29,"It was lonely for a day or so until one morning some man, more recently arrived than I, stopped me on the road."
30,"""How do you get to West Egg village?"" he asked helplessly."
31,I told him.
32,And as I walked on I was lonely no longer.
33,"I was a guide, a pathfinder, an original settler."
34,He had casually conferred on me the freedom of the neighborhood.
35,And so with the sunshine and the great bursts of leaves growing on the trees just as things grow in fast movies I had that familiar conviction that life was beginning over again with the summer.
36,There was so much to read for one thing and so much fine health to be pulled down out of the young breath-giving air.
37,"I bought a dozen volumes on banking and credit and investment securities and they stood on my shelf in red and gold like new money from the mint, promising to unfold the shining secrets that only Midas and Morgan and Maecenas knew."
38,And I had the high intention of reading many other books besides.
39,"I was rather literary in college one year I wrote a series of very solemn and obvious editorials for the ""Yale News"" and now I was going to bring back all such things into my life and become again that most limited of all specialists, the ""well-rounded man."""
40,"This isn't just an epigram life is much more successfully looked at from a single window, after all."
41,It was a matter of chance that I should have rented a house in one of the strangest communities in North America.
42,"It was on that slender riotous island which extends itself due east of New York and where there are, among other natural curiosities, two unusual formations of land."
43,"Twenty miles from the city a pair of enormous eggs, identical in contour and separated only by a courtesy bay, jut out into the most domesticated body of salt water in the Western Hemisphere, the great wet barnyard of Long Island Sound."
44,They are not perfect ovals like the egg in the Columbus story they are both crushed flat at the contact end but their physical resemblance must be a source of perpetual confusion to the gulls that fly overhead.
45,To the wingless a more arresting phenomenon is their dissimilarity in every particular except shape and size.
46,"I lived at West Egg, the well, the less fashionable of the two, though this is a most superficial tag to express the bizarre and not a little sinister contrast between them."
47,"My house was at the very tip of the egg, only fifty yards from the Sound, and squeezed between two huge places that rented for twelve or fifteen thousand a season."
48,"The one on my right was a colossal affair by any standard it was a factual imitation of some H tel de Ville in Normandy, with a tower on one side, spanking new under a thin beard of raw ivy, and a marble swimming pool and more than forty acres of lawn and garden."
49,It was Gatsby's mansion.
50,"Or rather, as I didn't know Mr. Gatsby it was a mansion inhabited by a gentleman of that name."
51,"My own house was an eye-sore, but it was a small eye-sore, and it had been overlooked, so I had a view of the water, a partial view of my neighbor's lawn, and the consoling proximity of millionaires all for eighty dollars a month."
52,"Across the courtesy bay the white palaces of fashionable East Egg glittered along the water, and the history of the summer really begins on the evening I drove over there to have dinner with the Tom Buchanans."
53,Daisy was my second cousin once removed and I'd known Tom in college.
54,And just after the war I spent two days with them in Chicago.
55,"Her husband, among various physical accomplishments, had been one of the most powerful ends that ever played football at New Haven a national figure in a way, one of those men who reach such an acute limited excellence at twenty-one that everything afterward savors of anti-climax."
56,His family were enormously wealthy even in college his freedom with money was a matter for reproach but now he'd left Chicago and come east in a fashion that rather took your breath away: for instance he'd brought down a string of polo ponies from Lake Forest.
57,It was hard to realize that a man in my own generation was wealthy enough to do that.
58,Why they came east I don't know.
59,"They had spent a year in France, for no particular reason, and then drifted here and there unrestfully wherever people played polo and were rich together."
