"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,""Then wear the gold hat, if that will move her; If you can bounce high, bounce for her too, Till she cry """"Lover, gold-hatted, high-bouncing lover, I must have you!""""""",0.25,1,1,0
"2","1,THOMAS PARKE D'INVILLIERS",0,0,0,0
"3","2,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since.",-0.25,-1,-2,1
"4","3,""""""Whenever you feel like criticizing any one,"""" he told me, """"just remember that all the people in this world haven't had the advantages that you've had.""""""",0.75,1,2,0
"5","4,""He didn't say any more but we've always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.""",0.75,0,3,2
"6","5,""In consequence I' inclined to reserve all judgments, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.""",0.55,-1,-2,1
"7","6,""The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.""",-3.9,-4,0,-4
"8","7,""Most of the confidences were unsought frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon for the intimate revelations of young men or at least the terms in which they express them are usually plagiaristic and marred by obvious suppressions.""",1.05,2,-2,1
"9","8,Reserving judgments is a matter of infinite hope.",1.1,0,3,2
"10","9,""I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.""",-1.05,-1,-5,0
"11","10,""And, after boasting this way of my tolerance, I come to the admission that it has a limit.""",-0.25,-1,2,-1
"12","11,Conduct may be founded on the hard rock or the wet marshes but after a certain point I don't care what it's founded on.",1.3,-1,2,1
"13","12,When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever; I wanted no more riotous excursions with privileged glimpses into the human heart.",1.25,1,1,2
"14","13,""Only Gatsby, the man who gives his name to this book, was exempt from my reaction Gatsby who represented everything for which I have an unaffected scorn.""",-0.75,0,-3,0
"15","14,""If personality is an unbroken series of successful gestures, then there was something gorgeous about him, some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.""",2.4,4,6,3
"16","15,""This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the """"creative temperament"""" it was an extraordinary gift for hope, a romantic readiness such as I have never found in any other person and which it is not likely I shall ever find again.""",4.3,4,6,7
