,parag_no,sect_no,parag_raw,parag_clean,char_len,token_len,sentimentr,sentimentr_stdscaler,sentimentr_medianiqr,sentimentr_lnorm_stdscaler,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,sentiword,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,senticnet,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,nrc,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,afinn,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,scores,vader,vader_stdscaler,vader_medianiqr,vader_lnorm_stdscaler,vader_lnorm_medianiqr,textblob,textblob_stdscaler,textblob_medianiqr,textblob_lnorm_stdscaler,textblob_lnorm_medianiqr,pattern,pattern_stdscaler,pattern_medianiqr,pattern_lnorm_stdscaler,pattern_lnorm_medianiqr,stanza,flair,flair_stdscaler,flair_medianiqr,flair_lnorm_stdscaler,flair_lnorm_medianiqr
0,0,0,"It is a truth universally acknowledged, that a single man in
possession of a good fortune, must be in want of a wife.",it is a truth universally acknowledged that a single man in possession of a good fortune must be in want of a wife,117,23,2.25,0.33393157122349737,0.6666666666666666,0.33393157122349737,1.6215191568564742,2.25,0.30950105609183776,0.6666666666666666,0.30950105609183776,1.5398550724637683,48.361813499735405,0.6769238260873839,0.8535839566609762,0.6769238260873839,2.1098335616875934,0.71875,0.20517675137410404,0.3501945525291828,0.20517675137410404,0.7190511685448931,2.175,-0.11279940829310428,0.1525658807212205,-0.11279940829310428,0.7921284857108689,15.225921211054551,0.11959901605903565,0.3572311552322661,0.11959901605903565,1.1136777777182352,1.8544307606734372,1.0054173005084748,1.143668373241795,1.0054173005084748,2.784712058822623,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.6705}",0.6705,0.6782212693135381,0.3248712941594177,0.6782212693135381,1.4159251558210288,0.20952380952380956,0.4217477675908404,0.4967320261437908,0.4217477675908404,1.5872441362193883,0.19983232694826447,0.11006873365455384,0.3017150998573181,0.11006873365455384,1.13878266902869,7.726794836139322,0.9973,1.1606340237961308,0.847291650644723,1.1606340237961308,1.0536483642590455
1,1,0,"However little known the feelings or views of such a man may be
on his first entering a neighbourhood, this truth is so well
fixed in the minds of the surrounding families, that he is
considered as the rightful property of some one or other of their
daughters.",however little known the feelings or views of such a man may be on his first entering a neighbourhood this truth is so well fixed in the minds of the surrounding families that he is considered as the rightful property of some one or other of their daughters,260,48,2.55,0.4403025948448111,0.7999999999999999,0.4403025948448111,0.7048871936163021,2.55,0.4170949414844205,0.7999999999999999,0.4170949414844205,0.6458333333333333,41.05763641289854,0.534519240910387,0.7246655409367859,0.534519240910387,0.8582744055404545,0.7305999999999999,0.21347910106976195,0.3590474708171205,0.21347910106976195,0.24584133335830224,-0.8429999999999999,-0.9237540441045108,-0.6846047156726768,-0.9237540441045108,-0.947207279821676,14.418362176622347,0.08340038759483867,0.3195747204011629,0.08340038759483867,0.2840805550818496,0.5036259797745072,-0.014553575022452603,0.14898102754612672,-0.014553575022452603,0.2003068236680198,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.6147}",0.6147,0.5772400369093539,0.25883188354340503,0.5772400369093539,0.4154095299863081,0.0075000000000000015,-0.4483381541214982,-0.3351307189542484,-0.4483381541214982,-0.1568678459937565,0.009661957701909387,-0.5881254273983693,-0.3225803660565793,-0.5881254273983693,-0.3044362656730599,12.590649494362678,0.9990000000000001,1.162486850980008,0.8481632443795022,1.162486850980008,0.5646970940464551
2,2,0,"My dear Mr. Bennet, said his lady to him one day, have you
heard that Netherfield Park is let at last?",my dear mr bennet said his lady to him one day have you heard that netherfield park is let at last,102,21,0.5,-0.2865660665674996,-0.1111111111111111,-0.2865660665674996,0.10374963022923916,0.5,-0.31812994203156203,-0.1111111111111111,-0.31812994203156203,0.05952380952380953,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,-0.4166666666666661,-0.5903191319123929,-0.4980544747081706,-0.5903191319123929,-0.7892550262704494,2.168,-0.11468035012566885,0.15062413314840492,-0.11468035012566885,0.9266629877945448,7.666052971844354,-0.21927015630043328,0.004714901257468112,-0.21927015630043328,0.4324377919916396,0.6360266271300528,0.08542001562047369,0.2464764246225527,0.08542001562047369,0.9297223867978432,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.3818}",0.3818,0.1557610220897388,-0.016805728149594704,0.1557610220897388,0.7443890202225802,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,6.678279584865552,0.5362,0.6580818976280212,0.6108846676408008,0.6580818976280212,0.6670662453112072
3,3,0,Mr. Bennet replied that he had not.,mr bennet replied that he had not,35,7,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,0.0,-0.2983940371283577,-0.18677042801556412,-0.2983940371283577,-0.20350504770138486,0.0,-0.6972349062685215,-0.4507628294036061,-0.6972349062685215,-0.6747761174574068,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,2.932680109520188,-0.9715,-0.985157834802382,-0.16211643466892256,-0.985157834802382,-2.8961185260344475
4,4,0,"But it is, returned she; for Mrs. Long has just been here, and
she told me all about it.",but it is returned she for mrs long has just been here and she told me all about it,88,19,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,1.03125,0.4241205724621309,0.5836575875486381,0.4241205724621309,1.3988294331474138,1.378,-0.32695807122938353,-0.0685159500693481,-0.32695807122938353,0.4502589579888203,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,-0.05,-0.6959819373784573,-0.5718954248366014,-0.6959819373784573,-0.6999288022345144,-0.01692368681586611,-0.6857323355812817,-0.4098563039254543,-0.6857323355812817,-0.4901317915734686,6.5693548587647985,-0.9565,-0.9688093596505242,-0.15442590171498885,-0.9688093596505242,-0.9782585739573432
5,5,0,Mr. Bennet made no answer.,mr bennet made no answer,26,5,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,0.0,-0.2659536408689325,0.0,-0.2659536408689325,0.0,0.3125,-0.07945021604033084,0.04669260700389104,-0.07945021604033084,1.6416073847911712,0.627,-0.5287562592659529,-0.2768377253814147,-0.5287562592659529,1.2704405521784283,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,-0.5849876106796306,-0.8365481168477025,-0.6526375172568154,-0.8365481168477025,-4.497548866675617,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.29600000000000004,-1.0708533027051732,-0.8189833717971478,-1.0708533027051732,-3.9920120795853142,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,2.3399504427185223,-0.9978,-1.013822161235306,-0.175600502448153,-1.013822161235306,-4.213981625196243
6,6,0,"Do not you want to know who has taken it? cried his wife
impatiently.",do not you want to know who has taken it cried his wife impatiently,69,14,-1.8,-1.1020772476642384,-1.1333333333333333,-1.1020772476642384,-3.0209451154984395,-1.8,-1.1430163967080305,-1.1333333333333333,-1.1430163967080305,-2.988095238095239,-27.479644023792442,-0.8017056169638002,-0.4850145512759202,-0.8017056169638002,-1.9695024318746788,0.3125,-0.07945021604033084,0.04669260700389104,-0.07945021604033084,0.4554636781888138,0.6729999999999998,-0.516395784366243,-0.26407766990291265,-0.516395784366243,0.0709124327048833,0.0,-0.5628990323116562,-0.35275274115335625,-0.5628990323116562,-0.4050423918464316,-0.3650891090112615,-0.6705063094405912,-0.4907116342277337,-0.6705063094405912,-1.14725732262306,"{'neg': 0.372, 'neu': 0.628, 'pos': 0.0, 'compound': -0.6728}",-0.6728,-1.752748076359235,-1.2649269187525891,-1.752748076359235,-3.309970321212978,-0.2,-1.3420091980487854,-1.1895424836601307,-1.3420091980487854,-2.970120410286904,-0.07549855481196681,-0.90078492753552,-0.6021471673832567,-0.90078492753552,-1.2556986022509888,4.381069308135138,-0.9949,-1.01066145603928,-0.17411366607705914,-1.01066145603928,-1.427609753156706
7,7,0,"_You_ want to tell me, and I have no objection to hearing it.",you want to tell me and i have no objection to hearing it,61,13,-0.25,-0.552493625620784,-0.4444444444444444,-0.552493625620784,-0.7788264097299006,-0.25,-0.5871146555130191,-0.4444444444444444,-0.5871146555130191,-0.8012820512820513,-28.050889359956056,-0.8128427997242339,-0.4950970072257852,-0.8128427997242339,-2.165093905314244,-0.875,-0.9114367361748328,-0.8404669260700387,-0.9114367361748328,-2.1905492057702918,0.8119999999999999,-0.4790456536910324,-0.22552011095700414,-0.4790456536910324,0.2941331794045107,-15.917294555686572,-1.2763877151317289,-1.0949753398332356,-1.2763877151317289,-3.2140176856401736,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.163, 'neu': 0.741, 'pos': 0.096, 'compound': -0.2263}",-0.2263,-0.9447172471752155,-0.7364932836262502,-0.9447172471752155,-1.4339519106840974,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,4.878141478974664,0.988,1.150497969201979,0.8425235202132841,1.150497969201979,1.7614132533594655
8,8,0,This was invitation enough.,this was invitation enough,27,4,0.0,-0.4638511059363558,-0.3333333333333333,-0.4638511059363558,-0.3844839237907105,0.0,-0.4974530843525334,-0.3333333333333333,-0.4974530843525334,-0.4166666666666667,41.90597841964052,0.5510587894621363,0.7396387413673383,0.5510587894621363,10.512099144238762,0.125,-0.21081650869314691,-0.09338521400778207,-0.21081650869314691,0.7190511685448931,0.10299999999999992,-0.6695581907322143,-0.4221914008321776,-0.6695581907322143,-0.27533968011193066,8.78248856286942,-0.16922621469294788,0.0567742334970221,-0.16922621469294788,4.632046558204865,0.0,-0.3948334191527644,-0.22187225645832695,-0.3948334191527644,-0.1863194451694321,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.5351822490915793,-0.4686667850168649,-0.5351822490915793,-0.3684466351045916,0.0,-0.4806395171550146,-0.3660130718954249,-0.4806395171550146,-0.18730489073881373,0.0,-0.6235984744274493,-0.35429885305883085,-0.6235984744274493,-0.3386655850927765,2.6912569304145686,0.9518,1.1110436491688287,0.8239637006844575,1.1110436491688287,5.273226290745504
9,9,0,"Why, my dear, you must know, Mrs. Long says that Netherfield is
taken by a young man of large fortune from the north of England;
that he came down on Monday in a chaise and four to see the
place, and was so much delighted with it that he agreed with Mr.
Morris immediately; that he is to take possession before
Michaelmas, and some of his servants are to be in the house by
the end of next week.",why my dear you must know mrs long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week,395,79,2.65,0.4757596027185823,0.8444444444444444,0.4757596027185823,0.30336917193613,2.65,0.4529595699486148,0.8444444444444444,0.4529595699486148,0.2542194092827004,37.247777703643955,0.4602410104370182,0.6574216963406231,0.4602410104370182,0.4730932264451163,-0.8625,-0.9026789833313118,-0.8311284046692605,-0.9026789833313118,-0.5258158270481857,3.604000000000001,0.27118143152614715,0.5489597780859921,0.27118143152614715,0.032889567779460595,27.836838555444285,0.6848801807521226,0.9452775603762946,0.6848801807521226,0.4033362638735646,1.7899302697052846,0.9567140214149698,1.096172374512442,0.9567140214149698,0.6485786911025148,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.8062}",0.8062,0.923797492203284,0.4854725131664596,0.923797492203284,0.2561938159175516,0.13478835978835976,0.09987351514045638,0.18899782135076235,0.09987351514045638,0.14505434676933238,0.23033272520003245,0.22204832360626944,0.40184247728529177,0.22204832360626944,0.15713030728904662,17.675561413339683,0.9794,1.141124843448247,0.8381142813196955,1.141124843448247,0.38222091100892813
