,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
0,1,"0,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo...",1.6,1,3,1,189,38,  once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo   ,1.671367852109671,1.777777777777778,0.3451650150883258,0.8472728004345814,0.9738330750810936,1.0,0.3065640381943533,0.7894736842105263,1.316417168751245,3.0,0.30108597339597815,5.190562613430126,0.7308405238437365,1.0,0.15545330739193058,0.7368421052631579,,,,,,,,,,,,,,,,,
1,2,"1,His father told him that story: his father looked at him through a glass: he had a hairy face.",-0.1,0,0,-1,96,19,  his father told him that story  his father looked at him through a glass  he had a hairy face ,-0.06288227867609786,-0.11111111111111112,-0.06656138058518686,-0.10590910005432268,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-0.41198370898995645,-1.4736842105263157,,,,,,,,,,,,,,,,,
2,3,"2,He was baby tuckoo.",0.6,0,0,1,21,4,  he was baby tuckoo ,0.6512207163533364,0.6666666666666666,1.2829862496779934,3.0184093515481965,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,1.763191520473944,7.0,,,,,,,,,,,,,,,,,
3,4,"3,The moocow came down the road where Betty Byrne lived: she sold lemon platt.",0.0,-1,0,-1,78,14,  the moocow came down the road where betty byrne lived  she sold lemon platt ,0.03913243489953562,0.0,-0.020814003288129903,0.0,-0.6608832607832764,-1.0,-0.4646832390493036,-2.142857142857143,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-0.5470877605094533,-2.0,,,,,,,,,,,,,,,,,
4,5,"4,""O, the wild rose blossoms On the little green place.""",-0.25,-1,1,0,56,10,   o  the wild rose blossoms on the little green place  ,-0.21590434903954805,-0.2777777777777778,-0.2381140454491505,-0.5030682252580327,-0.6608832607832764,-1.0,-0.690124750858988,-3.0,0.47216846422535175,1.0,0.3757396797488151,6.574712643678161,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
5,6,"5,He sang that song.",0.0,0,0,0,20,4,  he sang that song ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
6,7,"6,That was his song.",0.0,0,0,0,20,4,  that was his song ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
7,8,"7,""O, the green wothe botheth.""",0.0,0,0,1,31,5,   o  the green wothe botheth  ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,1.4038147434320822,5.6000000000000005,,,,,,,,,,,,,,,,,
8,9,"8,When you wet the bed first it is warm then it gets cold.",0.0,0,1,-1,58,13,  when you wet the bed first it is warm then it gets cold ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.47216846422535175,1.0,0.2939077324005131,5.057471264367816,-0.8217611444626834,-1.0,-0.5865797140305371,-2.153846153846154,,,,,,,,,,,,,,,,,
9,10,"9,His mother put on the oilsheet.",0.0,0,0,0,33,6,  his mother put on the oilsheet ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
10,11,"10,That had the queer smell.",-0.5,-2,0,-1,28,5,  that had the queer smell ,-0.47094113297863177,-0.5555555555555556,-0.8900141719322122,-2.012272901032131,-1.4782414287154615,-2.0,-3.0572606248606733,-12.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-1.4711994729028124,-5.6000000000000005,,,,,,,,,,,,,,,,,
11,12,"11,His mother had a nicer smell than his father.",0.75,0,0,-1,48,9,  his mother had a nicer smell than his father ,0.8042427867167866,0.8333333333333333,0.7035194705819385,1.6768940841934423,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.8217611444626834,-1.0,-0.8323074248283913,-3.111111111111111,,,,,,,,,,,,,,,,,
12,13,"12,She played on the piano the sailor's hornpipe for him to dance.",0.6,0,0,1,66,12,  she played on the piano the sailor own hornpipe for him to dance ,0.6512207163533364,0.6666666666666666,0.4137860810339112,1.0061364505160655,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,0.5652689303344045,2.3333333333333335,,,,,,,,,,,,,,,,,
13,14,"13,He danced:",0.0,0,0,0,13,2,  he danced ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
14,15,"14,""Tralala lala, Tralala tralaladdy, Tralala lala, Tralala lala.""",0.0,0,0,0,66,8,   tralala lala  tralala tralaladdy  tralala lala  tralala lala  ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
15,16,"15,Uncle Charles and Dante clapped.",0.25,0,0,0,35,5,  uncle charles and dante clapped ,0.2941692188386193,0.2777777777777778,0.4137860810339113,1.0061364505160655,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
16,17,"16,They were older than his father and mother but uncle Charles was older than Dante.",0.0,0,0,0,85,15,  they were older than his father and mother but uncle charles was older than dante ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
17,18,"17,Dante had two brushes in her press.",0.0,0,0,0,38,7,  dante had two brushes in her press ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
18,19,"18,The brush with the maroon velvet back was for Michael Davitt and the brush with the green velvet back was for Parnell.",0.0,0,0,1,121,22,  the brush with the maroon velvet back was for michael davitt and the brush with the green velvet back was for parnell ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,0.29301379621178203,1.272727272727273,,,,,,,,,,,,,,,,,
19,20,"19,Dante gave him a cachou every time he brought her a piece of tissue paper.",0.0,0,0,0,77,15,  dante gave him a cachou every time he brought her a piece of tissue paper ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
20,21,"20,The Vances lived in number seven.",0.0,0,0,0,36,6,  the vances lived in number seven ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
21,22,"21,They had a different father and mother.",0.0,0,0,0,42,7,  they had a different father and mother ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
22,23,"22,They were Eileen's father and mother.",0.0,0,0,0,40,6,  they were eileen own father and mother ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
23,24,"23,When they were grown up he was going to marry Eileen.",0.6,0,0,1,56,11,  when they were grown up he was going to marry eileen ,0.6512207163533364,0.6666666666666666,0.45329517960864224,1.0976034005629804,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,0.6197199571589291,2.545454545454546,,,,,,,,,,,,,,,,,
24,25,"24,He hid under the table.",0.0,0,-1,0,26,5,  he hid under the table ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,-0.3720802403005414,-1.0,-0.6880756357791108,-13.149425287356323,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
25,26,"25,His mother said:",0.0,0,0,0,19,3,  his mother said ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
26,27,"26,""O, Stephen will apologize.""",0.8,0,-1,1,31,4,   o  stephen will apologize  ,0.8552501435046035,0.888888888888889,1.7175863340000346,4.024545802064262,0.15647490714890863,0.0,0.09892054047490724,0.0,-0.3720802403005414,-1.0,-0.8653781883670985,-16.436781609195403,0.7308405238437365,1.0,1.763191520473944,7.0,,,,,,,,,,,,,,,,,
27,28,"27,Dante said:",0.0,0,0,0,14,2,  dante said ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
28,29,"28,""O, if not, the eagles will come and pull out his eyes.""",0.0,0,0,1,59,12,   o  if not  the eagles will come and pull out his eyes  ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,0.7308405238437365,1.0,0.5652689303344045,2.3333333333333335,,,,,,,,,,,,,,,,,
29,30,"29,""Pull out his eyes, Apologize, Apologize, Pull out his eyes.""",0.8,0,-1,2,64,10,   pull out his eyes  apologize  apologize  pull out his eyes  ,0.8552501435046035,0.888888888888889,0.6745461316271358,1.6098183208257049,0.15647490714890863,0.0,0.09892054047490724,0.0,-0.3720802403005414,-1.0,-0.33347053060313553,-6.574712643678161,1.5071413579969466,2.0,1.4038147434320822,5.6000000000000005,,,,,,,,,,,,,,,,,
30,31,"30,""Apologize, Pull out his eyes, Pull out his eyes, Apologize.""",0.8,0,-1,2,64,10,   apologize  pull out his eyes  pull out his eyes  apologize  ,0.8552501435046035,0.888888888888889,0.6745461316271358,1.6098183208257049,0.15647490714890863,0.0,0.09892054047490724,0.0,-0.3720802403005414,-1.0,-0.33347053060313553,-6.574712643678161,1.5071413579969466,2.0,1.4038147434320822,5.6000000000000005,,,,,,,,,,,,,,,,,
31,32,"31,The wide playgrounds were swarming with boys.",0.0,0,0,0,48,7,  the wide playgrounds were swarming with boys ,0.03913243489953562,0.0,-0.020814003288129903,0.0,0.15647490714890863,0.0,0.09892054047490724,0.0,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
32,33,"32,All were shouting and the prefects urged them on with strong cries.",-0.5,1,0,0,70,12,  all were shouting and the prefects urged them on with strong cries ,-0.47094113297863177,-0.5555555555555556,-0.38298074022316414,-0.8384470420967212,0.9738330750810936,1.0,0.7564582832531531,2.5,0.0500441119624052,0.0,0.02113457457283976,0.0,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
33,34,"33,The evening air was pale and chilly and after every charge and thud of the footballers the greasy leather orb flew like a heavy bird through the grey light.",-1.1,-2,1,-1,159,29,  the evening air was pale and chilly and after every charge and thud of the footballers the greasy leather orb flew like a heavy bird through the grey light ,-1.0830294144324328,-1.2222222222222223,-0.35051061898071284,-0.7632759279777049,-1.4782414287154615,-2.0,-0.44524862596226183,-2.0689655172413794,0.47216846422535175,1.0,0.143412197047314,2.2671422909235037,-0.8217611444626834,-1.0,-0.2815384178676836,-0.9655172413793104,,,,,,,,,,,,,,,,,
34,35,"34,""He kept on the fringe of his line, out of sight of his prefect, out of the reach of the rude feet, feigning to run now and then.""",-0.5,-1,-1,0,133,28,   he kept on the fringe of his line  out of sight of his prefect  out of the reach of the rude feet  feigning to run now and then  ,-0.47094113297863177,-0.5555555555555556,-0.1760283191174303,-0.3593344466128805,-0.6608832607832764,-1.0,-0.18288134928719815,-1.0714285714285714,-0.3720802403005414,-1.0,-0.10551010584715141,-2.3481116584564856,-0.04546031030947344,0.0,-0.03369236473536507,0.0,,,,,,,,,,,,,,,,,
