"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo...",1.6,1,3,1
"2","1,His father told him that story: his father looked at him through a glass: he had a hairy face.",-0.1,0,0,-1
"3","2,He was baby tuckoo.",0.6,0,0,1
"4","3,The moocow came down the road where Betty Byrne lived: she sold lemon platt.",0,-1,0,-1
"5","4,""O, the wild rose blossoms On the little green place.""",-0.25,-1,1,0
"6","5,He sang that song.",0,0,0,0
"7","6,That was his song.",0,0,0,0
"8","7,""O, the green wothe botheth.""",0,0,0,1
"9","8,When you wet the bed first it is warm then it gets cold.",0,0,1,-1
"10","9,His mother put on the oilsheet.",0,0,0,0
"11","10,That had the queer smell.",-0.5,-2,0,-1
"12","11,His mother had a nicer smell than his father.",0.75,0,0,-1
"13","12,She played on the piano the sailor's hornpipe for him to dance.",0.6,0,0,1
"14","13,He danced:",0,0,0,0
"15","14,""Tralala lala, Tralala tralaladdy, Tralala lala, Tralala lala.""",0,0,0,0
"16","15,Uncle Charles and Dante clapped.",0.25,0,0,0
"17","16,They were older than his father and mother but uncle Charles was older than Dante.",0,0,0,0
"18","17,Dante had two brushes in her press.",0,0,0,0
"19","18,The brush with the maroon velvet back was for Michael Davitt and the brush with the green velvet back was for Parnell.",0,0,0,1
"20","19,Dante gave him a cachou every time he brought her a piece of tissue paper.",0,0,0,0
"21","20,The Vances lived in number seven.",0,0,0,0
"22","21,They had a different father and mother.",0,0,0,0
"23","22,They were Eileen's father and mother.",0,0,0,0
"24","23,When they were grown up he was going to marry Eileen.",0.6,0,0,1
"25","24,He hid under the table.",0,0,-1,0
"26","25,His mother said:",0,0,0,0
"27","26,""O, Stephen will apologize.""",0.8,0,-1,1
"28","27,Dante said:",0,0,0,0
"29","28,""O, if not, the eagles will come and pull out his eyes.""",0,0,0,1
"30","29,""Pull out his eyes, Apologize, Apologize, Pull out his eyes.""",0.8,0,-1,2
"31","30,""Apologize, Pull out his eyes, Pull out his eyes, Apologize.""",0.8,0,-1,2
"32","31,The wide playgrounds were swarming with boys.",0,0,0,0
"33","32,All were shouting and the prefects urged them on with strong cries.",-0.5,1,0,0
"34","33,The evening air was pale and chilly and after every charge and thud of the footballers the greasy leather orb flew like a heavy bird through the grey light.",-1.1,-2,1,-1
"35","34,""He kept on the fringe of his line, out of sight of his prefect, out of the reach of the rude feet, feigning to run now and then.""",-0.5,-1,-1,0
"36","35,He felt his body small and weak amid the throng of the players and his eyes were weak and watery.",-0.75,-1,-2,-2
"37","36,Rody Kickham was not like that: he would be captain of the third line all the fellows said.",0.5,1,2,1
"38","37,Rody Kickham was a decent fellow but Nasty Roche was a stink.",-0.6,-1,-5,0
"39","38,Rody Kickham had greaves in his number and a hamper in the refectory.",-0.5,-1,0,-1
"40","39,Nasty Roche had big hands.",-0.75,-1,-2,-1
"41","40,He called the Friday pudding dog-in-the-blanket.",0,0,0,0
"42","41,And one day he had asked:",0,0,0,0
"43","42,What is your name?",0,0,0,0
"44","43,Stephen had answered: Stephen Dedalus.",0,0,0,0
"45","44,Then Nasty Roche had said:",-1,-1,-3,-1
"46","45,What kind of a name is that?",0.5,0,2,1
"47","46,And when Stephen had not been able to answer Nasty Roche had asked:",-1,-1,-3,-1
"48","47,What is your father?",0,0,0,0
"49","48,Stephen had answered:",0,0,0,0
"50","49,A gentleman.",1,0,0,1
"51","50,Then Nasty Roche had asked:",-1,-1,-3,-1
"52","51,Is he a magistrate?",0,0,0,0
"53","52,""He crept about from point to point on the fringe of his line, making little runs now and then.""",-0.6,-1,0,0
"54","53,But his hands were bluish with cold.",-0.5,-1,0,-1
"55","54,He kept his hands in the side pockets of his belted grey suit.",0,0,-1,0
"56","55,That was a belt round his pocket.",0,0,0,-1
"57","56,And belt was also to give a fellow a belt.",0.4,0,0,0
"58","57,One day a fellow said to Cantwell:",0.4,0,0,1
"59","58,I'd give you such a belt in a second.",0,0,0,-1
"60","59,Cantwell had answered:",0,0,0,0
"61","60,Go and fight your match.",-0.5,0,-1,-1
"62","61,Give Cecil Thunder a belt.",0,0,0,-1
"63","62,I'd like to see you.",0.5,1,2,0
"64","63,He'd give you a toe in the rump for yourself.",0,0,0,0
"65","64,That was not a nice expression.",0.5,1,3,0
"66","65,His mother had told him not to speak with the rough boys in the college.",-0.25,-1,0,0
"67","66,Nice mother!",0.5,1,3,0
"68","67,The first day in the hall of the castle when she had said goodbye she had put up her veil double to her nose to kiss him: and her nose and eyes were red.",0.5,0,2,1
"69","68,But he had pretended not to see that she was going to cry.",-1,-1,-1,-2
"70","69,She was a nice mother but she was not so nice when she cried.",-0.5,1,1,0
"71","70,And his father had given him two five-shilling pieces for pocket money.",0.6,0,0,1
"72","71,""And his father had told him if he wanted anything to write home to him and, whatever he did, never to peach on a fellow.""",0.8,1,0,1
"73","72,""Then at the door of the castle the rector had shaken hands with his father and mother, his soutane fluttering in the breeze, and the car had driven off with his father and mother on it.""",0.1,1,0,0
"74","73,""They had cried to him from the car, waving their hands:""",-1,0,-2,0
"75","74,""Goodbye, Stephen, goodbye!""",0,0,0,0
"76","75,""Goodbye, Stephen, goodbye!""",0,0,0,0
"77","76,""He was caught in the whirl of a scrimmage and, fearful of the flashing eyes and muddy boots, bent down to look through the legs.""",-1.65,-3,-4,-3
"78","77,The fellows were struggling and groaning and their legs were rubbing and kicking and stamping.",-0.5,-1,-4,0
"79","78,Then Jack Lawton's yellow boots dodged out the ball and all the other boots and legs ran after.",0,0,0,0
"80","79,He ran after them a little way and then stopped.",-0.4,0,-1,0
