,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,THE BOY WHO LIVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"Mr. Dursley was the director of a firm called Grunnings, which made drills.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"He was a big, beefy man with hardly any neck, although he did have a very large mustache.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,"Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,They didn't think they could bear it if anyone found out about the Potters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
