,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
0,1,"0,THE BOY WHO LIVED",0.25,0,0,-1,19,4,  the boy who lived,0.3159461845230357,0.3846153846153846,0.7604694039796032,1.5077319587628863,0.0730502391329433,0.0,0.04966344822694688,0.0,-0.009075201545764772,0.0,0.00483091938123769,0.0,-0.7688056563506326,-1.0,-2.014541871886932,-4.0,,,,,,,,,,,,,,,,,
1,2,"1,""Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.""",1.75,3,7,1,127,22,   mr  and mrs  dursley  of number four  privet drive  were proud to say that they were perfectly normal  thank you very much  ,2.3462096332515237,2.692307692307692,0.9710771540253568,1.9189315838800372,3.3148268889571435,3.0,1.4939965229312149,0.13636363636363635,3.660745246686861,7.0,1.611529977509908,0.3181818181818182,1.1373183292162394,1.0,0.6125646431497883,0.7272727272727273,,,,,,,,,,,,,,,,,
2,3,"2,""They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.""",-1.25,-3,-3,0,142,23,   they were the last people you would expect to be involved in anything strange or mysterious  because they just did not hold with such nonsense  ,-1.7143172642054523,-1.923076923076923,-0.6832619840152012,-1.3110712684894663,-3.168726410691257,-3.0,-1.3318725362727877,-0.13043478260869565,-1.5818553936454616,-3.0,-0.6538158994789625,-0.13043478260869565,0.1842563364328035,0.0,0.208394410067216,0.0,,,,,,,,,,,,,,,,,
3,4,"3,""Mr. Dursley was the director of a firm called Grunnings, which made drills.""",0.25,0,0,1,79,13,   mr  dursley was the director of a firm called grunnings  which made drills  ,0.3159461845230357,0.3846153846153846,0.2258497307865361,0.46391752577319584,0.0730502391329433,0.0,0.04966344822694688,0.0,-0.009075201545764772,0.0,0.00483091938123769,0.0,1.1373183292162394,1.0,0.8923748045146463,1.2307692307692308,,,,,,,,,,,,,,,,,
4,5,"4,""He was a big, beefy man with hardly any neck, although he did have a very large mustache.""",0.25,0,1,0,93,18,   he was a big  beefy man with hardly any neck  although he did have a very large mustache  ,0.3159461845230357,0.3846153846153846,0.15984730199726851,0.3350515463917525,0.0730502391329433,0.0,0.04966344822694688,0.0,0.5151848624874675,1.0,0.28536567556243403,0.05555555555555555,0.1842563364328035,0.0,0.208394410067216,0.0,,,,,,,,,,,,,,,,,
5,6,"5,""Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors.""",1.25,1,2,1,195,36,   mrs  dursley was thin and blonde and had nearly twice the usual amount of neck  which came in very useful as she spent so much of her time craning over garden fences  spying on the neighbors  ,1.6694551503420276,1.923076923076923,0.41725677427541197,0.8376288659793814,1.1536424557410099,1.0,0.34387944492596445,0.027777777777777776,1.0394449265206998,2.0,0.28536567556243403,0.05555555555555555,1.1373183292162394,1.0,0.4553873302843436,0.4444444444444444,,,,,,,,,,,,,,,,,
6,7,"6,The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.",0.85,1,-1,-2,98,18,  the dursleys had a small son called dudley and in their opinion there was no finer boy anywhere ,1.1280515640144309,1.3076923076923077,0.571702457642298,1.1391752577319585,1.1536424557410099,1.0,0.638095441624982,0.05555555555555555,-0.533335265578997,-1.0,-0.2757038367999587,-0.05555555555555555,-1.7218676491340685,-2.0,-0.7795772708012941,-1.7777777777777777,,,,,,,,,,,,,,,,,
7,8,"7,""The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it.""",-0.25,0,1,-1,133,22,   the dursleys had everything they wanted  but they also had a secret  and their greatest fear was that somebody would discover it  ,-0.36080829838646034,-0.3846153846153846,-0.15216417955199624,-0.2741330834114339,0.0730502391329433,0.0,0.04966344822694688,0.0,0.5151848624874675,1.0,0.234359356256762,0.045454545454545456,-0.7688056563506326,-1.0,-0.19577582301535637,-0.7272727272727273,,,,,,,,,,,,,,,,,
8,9,"8,They didn't think they could bear it if anyone found out about the Potters.",0.6,0,0,1,77,14,  they did not think they could bear it if anyone found out about the potters ,0.7896743225596828,0.923076923076923,0.517769044403068,1.0338733431516935,0.0730502391329433,0.0,0.04966344822694688,0.0,-0.009075201545764772,0.0,0.00483091938123769,0.0,1.1373183292162394,1.0,0.8435190620541155,1.1428571428571428,,,,,,,,,,,,,,,,,
9,10,"9,""Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be.""",-0.25,1,3,0,238,39,   mrs  potter was mrs  dursley own sister  but they had not met for several years  in fact  mrs  dursley pretended she did not have a sister  because her sister and her good for nothing husband were as undursleyish as it was possible to be  ,-0.36080829838646034,-0.3846153846153846,-0.09096192740194814,-0.15463917525773194,1.1536424557410099,1.0,0.3212474451798862,0.02564102564102564,1.5637049905539322,3.0,0.39326365870904806,0.07692307692307693,0.1842563364328035,0.0,0.208394410067216,0.0,,,,,,,,,,,,,,,,,
