,sent_no,sent_raw,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang,roberta15lg
0,0,THE BOY WHO LIVED,4.433636575937272,4.466233968734741,0.994677484035492,0.7987411022186279,0.9848992228507996,0,1.6575095057487488,0.9836538434028625
1,1,"Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.",4.498112976551057,4.754548192024232,0.999847412109375,1.9703170657157896,0.9946492910385132,1,1.8879090547561648,0.9987731575965881
2,2,"They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.",0.8078318238258362,1.3504140079021454,-0.9973420500755309,-1.6179768443107605,-0.9750032424926758,-1,-1.8944856524467468,-0.9994634985923767
3,3,"Mr. Dursley was the director of a firm called Grunnings, which made drills.",0.312529057264328,3.2743223905563354,0.7347279787063599,0.9190590977668762,0.7831665873527527,1,0.6933610439300537,0.9843728542327881
4,4,"He was a big, beefy man with hardly any neck, although he did have a very large mustache.",2.401597499847412,2.368962049484253,-0.9909334778785706,0.5068579912185669,-0.987997591495514,1,-0.4228374660015106,-0.9964971542358398
5,5,"Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors.",3.428850919008255,3.3833168148994446,0.8940529823303223,0.6203529238700867,0.8593696355819702,-1,1.3937807977199554,0.9930134415626526
6,6,The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.,0.3579159677028656,1.3921870291233065,-0.999315857887268,0.7385475039482117,0.866257905960083,-1,-0.4232719242572784,0.9983771443367004
7,7,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it.",2.4684876203536987,3.3458290696144104,0.5141253471374512,1.683362066745758,0.9799770712852478,1,-1.7033739686012268,0.9867275953292847
8,8,They didn't think they could bear it if anyone found out about the Potters.,0.6841719746589661,1.3343888223171234,-0.9996169805526732,-0.4718837738037109,0.9239253401756288,-1,-1.7496390342712402,-0.9974281191825867
9,9,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be.",1.47098109126091,2.3879919648170467,-0.9986268877983092,-0.4140788614749909,0.80755215883255,-1,-1.5894195437431335,-0.9947877526283264
10,10,The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street.,1.5384867787361145,1.376621961593628,-0.9963616728782654,0.8109490275382996,0.9641314148902892,-1,-1.7044891715049744,-0.9987785220146179
11,11,"The Dursleys knew that the Potters had a small son, too, but they had never even seen him.",1.4851929247379303,1.3233509957790377,-0.9918199777603148,-1.5025813579559326,0.8010655641555786,1,0.5788291692733765,-0.9987534284591675
12,12,This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.,2.2773291766643524,2.3193725943565373,-0.8857269883155823,1.3788212537765503,0.9003947377204895,-1,-1.547704994678497,-0.9916296005249023
13,13,"When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country.",1.3440475761890411,2.356195777654648,-0.9978815913200378,1.770409107208252,0.6488618850708008,-1,-1.5235019326210022,-0.9915351271629333
14,14,"Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair.",0.6919160485267639,0.4776089787483215,0.9982950091362,-1.5254129767417908,0.9929353594779968,-1,1.4202731251716614,-0.9981845021247864
15,15,"None of them noticed a large, tawny owl flutter past the window.",0.3491353988647461,0.4193007051944733,-0.9362494349479676,0.8019258379936218,0.9228196144104004,-1,-1.4569952487945557,-0.9948820471763611
16,16,"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs. Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because Dudley was now having a tantrum and throwing his cereal at the walls.",0.7757614850997925,1.2701062560081482,-0.9972568154335022,0.5072378516197205,0.68366539478302,-1,-0.4461805522441864,-0.9989157319068909
17,17,"""Little tyke,"" chortled Mr. Dursley as he left the house.",1.3264320492744446,4.277793616056441,-0.9898344278335572,0.8904654383659363,0.8529337644577026,-1,-0.4516100883483887,-0.9927899837493896
18,18,He got into his car and backed out of number four's drive.,0.8441880345344543,0.4763402044773102,-0.9565011262893676,0.9463118314743042,-0.9749458432197572,1,0.7481468915939331,-0.9985264539718628
19,19,"It was on the corner of the street that he noticed the first sign of something peculiar -- a cat reading a map. For a second, Mr. Dursley didn't realize what he had seen -- then he jerked his head around to look again.",2.2722869217395782,1.34269118309021,-0.9602952003479004,-1.5182256698608398,-0.912247359752655,-1,0.5365784764289856,0.9927839636802673
