,sent_no,sent_raw,nlptown,robertaxml8lang,camembert
0,0,Le pépiement matinal des oiseaux semblait insipide à Françoise.,1.4574042558670044,-1.920089066028595,-0.9989892244338989
1,1,"Chaque parole des «bonnes» la faisait sursauter; incommodée par tous leurs pas, elle s'interrogeait sur eux; 'est que nous avions déménagé.",0.4769655168056488,-1.4121894836425781,-0.9962222576141357
2,2,"Certes les domestiques ne remuaient pas moins, dans le «sixième» de notre ancienne demeure; mais elle les connaissait; elle avait fait de leurs allées et venues des choses amicales.",2.427777022123337,1.4442852437496185,-0.6391013860702515
3,3,Maintenant elle portait au silence même une attention douloureuse.,0.3461456298828125,-1.8573880791664124,-0.9985965490341187
4,4,"Et comme notre nouveau quartier paraissait aussi calme que le boulevard sur lequel nous avions donné jusque-là était bruyant, la chanson (distincte de loin, quand elle est faible, comme un motif d'orchestre) d'un homme qui passait, faisait venir des larmes aux yeux de Françoise en exil.",4.402336269617081,-1.5130176544189453,-0.8577860593795776
5,5,"Aussi, si je 'étais moqué d'elle qui, navrée d'avoir eu à quitter un immeuble où 'on était «si bien estimé, de partout» et où elle avait fait ses malles en pleurant, selon les rites de Combray, et en déclarant supérieure à toutes les maisons possibles celle qui avait été la nôtre, en revanche, moi qui assimilais aussi difficilement les nouvelles choses que j'abandonnais aisément les anciennes, je me rapprochai de notre vieille servante quand je vis que 'installation dans une maison où elle n'avait pas reçu du concierge qui ne nous connaissait pas encore les marques de considération nécessaires à sa bonne nutrition morale, 'avait plongée dans un état voisin du dépérissement.",1.2953043282032013,-1.5334506630897522,-0.9664605855941772
6,6,"Elle seule pouvait me comprendre; ce n'était certes pas son jeune valet de pied qui 'eût fait; pour lui qui était aussi peu de Combray que possible, emménager, habiter un autre quartier, 'était comme prendre des vacances où la nouveauté des choses donnait le même repos que si 'on eût voyagé; il se croyait à la campagne; et un rhume de cerveau lui apporta, comme un «coup d'air» pris dans un wagon où la glace ferme mal, 'impression délicieuse qu'il avait vu du pays; à chaque éternuement, il se réjouissait d'avoir trouvé une si chic place, ayant toujours désiré des maîtres qui voyageraient beaucoup.",1.2547022104263306,-1.418954312801361,-0.5570826530456543
7,7,"Aussi, sans songer à lui, j'allai droit à Françoise; comme j'avais ri de ses larmes à un départ qui 'avait laissé indifférent, elle se montra glaciale à 'égard de ma tristesse, parce qu'elle la partageait.",2.266990602016449,-1.5378320217132568,-0.7842087149620056
8,8,Avec la «sensibilité» prétendue des nerveux grandit leur égoïsme; ils ne peuvent supporter de la part des autres 'exhibition des malaises auxquels ils prêtent chez eux-mêmes de plus en plus d'attention.,2.24518920481205,-1.9423456192016602,-0.9988402724266052
9,9,"Françoise, qui ne laissait pas passer le plus léger de ceux qu'elle éprouvait, si je souffrais détournait la tête pour que je n'eusse pas le plaisir de voir ma souffrance plainte, même remarquée.",1.420070856809616,-1.610548496246338,-0.6624383330345154
10,10,Elle fit de même dès que je voulus lui parler de notre nouvelle maison.,1.3128616511821747,1.4654090404510498,0.8947720527648926
11,11,"Du reste, ayant dû au bout de deux jours aller chercher des vêtements oubliés dans celle que nous venions de quitter, tandis que j'avais encore, à la suite de 'emménagement, de la «température» et que, pareil à un boa qui vient d'avaler un boeuf, je me sentais péniblement bossué par un long bahut que ma vue avait à «digérer», Françoise, avec 'infidélité des femmes, revint en disant qu'elle avait cru étouffer sur notre ancien boulevard, que pour s'y rendre elle s'était trouvée toute «déroutée», que jamais elle n'avait vu des escaliers si mal commodes, qu'elle ne retournerait pas habiter là-bas «pour un empire» et lui donnât-on des millions--hypothèse gratuite--que tout ('est-à-dire ce qui concernait la cuisine et les couloirs) était beaucoup mieux «agencé» dans notre nouvelle maison.",1.4710866808891296,-1.532746970653534,-0.9948025941848755
12,12,"Or, il est temps de dire que celle-ci--et nous étions venus y habiter parce que ma grand'mère ne se portant pas très bien, raison que nous nous étions gardés de lui donner, avait besoin d'un air plus pur--était un appartement qui dépendait de 'hôtel de Guermantes.",2.439576417207718,-1.4480103850364685,-0.8886204957962036
13,13,"A 'âge où les Noms, nous offrant 'image de 'inconnaissable que nous avons versé en eux, dans le même moment où ils désignent aussi pour nous un lieu réel, nous forcent par là à identifier 'un à 'autre au point que nous partons chercher dans une cité une âme qu'elle ne peut contenir mais que nous n'avons plus le pouvoir d'expulser de son nom, ce n'est pas seulement aux villes et aux fleuves qu'ils donnent une individualité, comme le font les peintures allégoriques, ce n'est pas seulement 'univers physique qu'ils diaprent de différences, qu'ils peuplent de merveilleux, 'est aussi 'univers social: alors chaque château, chaque hôtel ou palais fameux a sa dame, ou sa fée, comme les forêts leurs génies et leurs divinités les eaux.",4.473831236362457,-1.3572168946266174,-0.9877721667289734
14,14,"Parfois, cachée au fond de son nom, la fée se transforme au gré de la vie de notre imagination qui la nourrit; 'est ainsi que 'atmosphère où Mme de Guermantes existait en moi, après n'avoir été pendant des années que le reflet d'un verre de lanterne magique et d'un vitrail d'église, commençait à éteindre ses couleurs, quand des rêves tout autres 'imprégnèrent de 'écumeuse humidité des torrents.",2.4328825175762177,1.3976633846759796,-0.9573962688446045
