"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,Le pépiement matinal des oiseaux semblait insipide à Françoise.",0,0,0,0
"2","1,""Chaque parole des «bonnes» la faisait sursauter; incommodée par tous leurs pas, elle s'interrogeait sur eux; 'est que nous avions déménagé.""",-0.75,-1,0,-1
"3","2,""Certes les domestiques ne remuaient pas moins, dans le «sixième» de notre ancienne demeure; mais elle les connaissait; elle avait fait de leurs allées et venues des choses amicales.""",0,0,0,0
"4","3,Maintenant elle portait au silence même une attention douloureuse.",0.25,0,0,1
"5","4,""Et comme notre nouveau quartier paraissait aussi calme que le boulevard sur lequel nous avions donné jusque-là était bruyant, la chanson (distincte de loin, quand elle est faible, comme un motif d'orchestre) d'un homme qui passait, faisait venir des larmes aux yeux de Françoise en exil.""",0,0,0,0
"6","5,""Aussi, si je 'étais moqué d'elle qui, navrée d'avoir eu à quitter un immeuble où 'on était «si bien estimé, de partout» et où elle avait fait ses malles en pleurant, selon les rites de Combray, et en déclarant supérieure à toutes les maisons possibles celle qui avait été la nôtre, en revanche, moi qui assimilais aussi difficilement les nouvelles choses que j'abandonnais aisément les anciennes, je me rapprochai de notre vieille servante quand je vis que 'installation dans une maison où elle n'avait pas reçu du concierge qui ne nous connaissait pas encore les marques de considération nécessaires à sa bonne nutrition morale, 'avait plongée dans un état voisin du dépérissement.""",-0.4,-1,0,2
"7","6,""Elle seule pouvait me comprendre; ce n'était certes pas son jeune valet de pied qui 'eût fait; pour lui qui était aussi peu de Combray que possible, emménager, habiter un autre quartier, 'était comme prendre des vacances où la nouveauté des choses donnait le même repos que si 'on eût voyagé; il se croyait à la campagne; et un rhume de cerveau lui apporta, comme un «coup d'air» pris dans un wagon où la glace ferme mal, 'impression délicieuse qu'il avait vu du pays; à chaque éternuement, il se réjouissait d'avoir trouvé une si chic place, ayant toujours désiré des maîtres qui voyageraient beaucoup.""",0.75,1,2,1
"8","7,""Aussi, sans songer à lui, j'allai droit à Françoise; comme j'avais ri de ses larmes à un départ qui 'avait laissé indifférent, elle se montra glaciale à 'égard de ma tristesse, parce qu'elle la partageait.""",0,0,0,0
"9","8,Avec la «sensibilité» prétendue des nerveux grandit leur égoïsme; ils ne peuvent supporter de la part des autres 'exhibition des malaises auxquels ils prêtent chez eux-mêmes de plus en plus d'attention.",0.75,1,1,1
"10","9,""Françoise, qui ne laissait pas passer le plus léger de ceux qu'elle éprouvait, si je souffrais détournait la tête pour que je n'eusse pas le plaisir de voir ma souffrance plainte, même remarquée.""",0,0,0,0
"11","10,Elle fit de même dès que je voulus lui parler de notre nouvelle maison.",0.4,0,1,0
"12","11,""Du reste, ayant dû au bout de deux jours aller chercher des vêtements oubliés dans celle que nous venions de quitter, tandis que j'avais encore, à la suite de 'emménagement, de la «température» et que, pareil à un boa qui vient d'avaler un boeuf, je me sentais péniblement bossué par un long bahut que ma vue avait à «digérer», Françoise, avec 'infidélité des femmes, revint en disant qu'elle avait cru étouffer sur notre ancien boulevard, que pour s'y rendre elle s'était trouvée toute «déroutée», que jamais elle n'avait vu des escaliers si mal commodes, qu'elle ne retournerait pas habiter là-bas «pour un empire» et lui donnât-on des millions--hypothèse gratuite--que tout ('est-à-dire ce qui concernait la cuisine et les couloirs) était beaucoup mieux «agencé» dans notre nouvelle maison.""",-2.4,-3,-5,-2
"13","12,""Or, il est temps de dire que celle-ci--et nous étions venus y habiter parce que ma grand'mère ne se portant pas très bien, raison que nous nous étions gardés de lui donner, avait besoin d'un air plus pur--était un appartement qui dépendait de 'hôtel de Guermantes.""",-1,-1,-3,-1
"14","13,""A 'âge où les Noms, nous offrant 'image de 'inconnaissable que nous avons versé en eux, dans le même moment où ils désignent aussi pour nous un lieu réel, nous forcent par là à identifier 'un à 'autre au point que nous partons chercher dans une cité une âme qu'elle ne peut contenir mais que nous n'avons plus le pouvoir d'expulser de son nom, ce n'est pas seulement aux villes et aux fleuves qu'ils donnent une individualité, comme le font les peintures allégoriques, ce n'est pas seulement 'univers physique qu'ils diaprent de différences, qu'ils peuplent de merveilleux, 'est aussi 'univers social: alors chaque château, chaque hôtel ou palais fameux a sa dame, ou sa fée, comme les forêts leurs génies et leurs divinités les eaux.""",0.4,0,0,2
