"","sent_raw","jockers_rinker","jockers","huliu","lmcd","nrc","senticnet","sentiword"
"1","0,Letter",0,0,0,0,0,0,0
"2","1,""_To Mrs. Saville, England._""",0,0,0,0,0,0,0
"3","2,""St. Petersburgh, Dec. th, .""",0,0,0,0,0,0,0
"4","3,You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings.",0.0834057656228299,0.0834057656228299,0.208514414057075,0.208514414057075,0.208514414057075,0.259808959915115,0.0912250561499702
"5","4,""I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.""",0.500096144602369,0.500096144602369,0.588348405414552,0.392232270276368,0.784464540552736,0.616393012739312,0.408575281537883
"6","5,""I am already far north of London, and as I walk in the streets of Petersburgh, I feel a cold northern breeze play upon my cheeks, which braces my nerves and fills me with delight.""",0.0338061701891407,0.0338061701891407,0.169030850945703,0.169030850945703,0,0.460609068827042,-0.0581043550125855
"7","6,Do you understand this feeling?",0.559016994374947,0.111803398874989,0.447213595499958,0,0,-0.255806176625976,0.111803398874989
"8","7,""This breeze, which has travelled from the regions towards which I am advancing, gives me a foretaste of those icy climes.""",0.0218217890235992,0.0218217890235992,0.218217890235992,0.218217890235992,0,-0.0366606055596467,0.027277236279499
"9","8,""Inspirited by this wind of promise, my daydreams become more fervent and vivid.""",1.00678085614879,1.00678085614879,1.27581045131803,0,0.776580274715321,0.0031063210988613,0.100539410565823
"10","9,I try in vain to be persuaded that the pole is the seat of frost and desolation; it ever presents itself to my imagination as the region of beauty and delight.",-0.0449013255066937,-0.0449013255066937,-0.179605302026775,0.179605302026775,0.179605302026775,0.279645455255689,-0.314309278546856
"11","10,""There, Margaret, the sun is for ever visible, its broad disk just skirting the horizon and diffusing a perpetual splendour.""",0.100623058987491,0.100623058987491,0,0,0.447213595499958,0.383485658141214,0.202643660460918
"12","11,""Therefor with your leave, my sister, I will put some trust in preceding navigatorsthere snow and frost are banished; and, sailing over a calm sea, we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe.""",0.24327922765558,0.0958372715006831,0.442325868464691,0.147441956154897,0.294883912309794,0.123998685126268,0.17508732293394
"13","12,""Its productions and features may be without example, as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes.""",0.163663417676994,0.163663417676994,0.218217890235992,0,0.218217890235992,0.143150935994811,0.0818317088384971
"14","13,What may not be expected in a country of eternal light?",0,0,0,0,0,0.116684890351595,0.0471111475902756
"15","14,I may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent for ever.",0.529835640978986,0.529835640978986,0.35921060405355,0,0.754342268512455,-0.00862105449728521,0.0493914580573631
"16","15,""I shall satiate my ardent curiosity with the sight of a part of the world never before visited, and may tread a land never before imprinted by the foot of man.""",-0.224506627533469,-0.224506627533469,-0.179605302026775,0,-0.538815906080325,-0.288266509752974,0.0224506627533469
"17","16,""These are my enticements, and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat, with his holiday mates, on an expedition of discovery up his native river.""",0.26045209562921,0.26045209562921,-0.0280056016805602,-0.0560112033611204,0.364072821847283,0.212842572772257,0.0440504776433811
"18","17,""But supposing all these conjectures to be false, you cannot contest the inestimable benefit which I shall confer on all mankind, to the last generation, by discovering a passage near the pole to those countries, to reach which at present so many months are requisite; or by ascertaining the secret of the magnet, which, if at all possible, can only be effected by an undertaking such as mine.""",-0.103077640640442,-0.103077640640442,-0.515388203202208,-0.121267812518166,0.121267812518166,0.422121128594486,-0.217776779980541
"19","18,""These reflections have dispelled the agitation with which I began my letter, and I feel my heart glow with an enthusiasm which elevates me to heaven, for nothing contributes so much to tranquillise the mind as a steady purposea point on which the soul may fix its intellectual eye.""",0.474285714285714,0.474285714285714,0.685714285714286,0.142857142857143,0.4,0.413657142857143,0.0211309523809524
"20","19,This expedition has been the favourite dream of my early years.",0.256284642891099,0.256284642891099,0,0.301511344577764,0.301511344577764,0.603625711844683,0.0659556066263858
"21","20,I have read with ardour the accounts of the various voyages which have been made in the prospect of arriving at the North Pacific Ocean through the seas which surround the pole.",0.106066017177982,0.106066017177982,0,0,0.353553390593274,0.492146319705837,-0.0220970869120796
"22","21,You may remember that a history of all the voyages made for purposes of discovery composed the whole of our good Uncle Thomas library.",0.561341399387812,0.561341399387812,0.204124145231932,0.204124145231932,0.816496580927726,0.678916907041404,0.435890101797354
"23","22,""My education was neglected, yet I was passionately fond of reading.""",0.256284642891099,0.256284642891099,0.301511344577764,-0.301511344577764,0,0.583122940413395,-0.113066754216661
"24","23,""These volumes were my study day and night, and my familiarity with them increased that regret which I had felt, as a child, on learning that my fathers dying injunction had forbidden my uncle to allow me to embark in a seafaring life.""",0.0838742136829326,0.0838742136829326,-0.457495710997814,-0.304997140665209,0.152498570332605,0.224935391240592,-0.20333142711014
"25","24,""These visions faded when I perused, for the first time, those poets whose effusions entranced my soul and lifted it to heaven.""",0.298481002897855,0.298481002897855,0.426401432711221,0,0,0.213840318504677,0.159900537266708
"26","25,I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.",0.0811107105653813,0.0811107105653813,0.162221421130763,0,0,0.188501291353946,0
"27","26,You are well acquainted with my failure and how heavily I bore the disappointment.",-0.828509849928516,-0.828509849928516,-0.962140470884728,-0.748331477354788,-1.22940171279715,-0.101292010684809,-0.299172234196768
"28","27,""But just at that time I inherited the fortune of my cousin, and my thoughts were turned into the channel of their earlier bent.""",0.14799000529315,0.14799000529315,0.255155181539914,0,0.459279326771846,1.12273382981193,0.307780937732522
"29","28,Six years have passed since I resolved on my present undertaking.",0.256284642891099,0.256284642891099,0,0,0.301511344577764,0.559303544191752,-0.113066754216661
"30","29,""I can, even now, remember the hour from which I dedicated myself to this great enterprise.""",0.25,0.25,0.5,0.25,0,0.22475,0.0520833333333333
"31","30,I commenced by inuring my body to hardship.",-0.265165042944955,-0.265165042944955,-0.353553390593274,-0.353553390593274,-0.353553390593274,-0.11667261889578,-0.309359216769115
"32","31,""I accompanied the whale-fishers on several expeditions to the North Sea; I voluntarily endured cold, famine, thirst, and want of sleep; I often worked harder than the common sailors during the day and devoted my nights to the study of mathematics, the theory of medicine, and those branches of physical science from which a naval adventurer might derive the greatest practical advantage.""",0.289772762640408,0.289772762640408,0,0.251976315339485,0.125988157669742,0.385775738784751,0.154366990184852
"33","32,""Twice I actually hired myself as an under-mate in a Greenland whaler, and acquitted myself to admiration.""",0.259272486435067,0.259272486435067,0.235702260395516,-0.235702260395516,0.471404520791032,-0.245130350811336,0.274985970461435
"34","33,""I must own I felt a little proud when my captain offered me the second dignity in the vessel and entreated me to remain with the greatest earnestness, so valuable did he consider my services.""",0.169030850945703,0.169030850945703,0.304255531702266,0.202837021134844,0.304255531702266,0.0826222799422598,0.21340144931895
"35","34,""And now, dear Margaret, do I not deserve to accomplish some great purpose?""",-0.166410058867569,-0.166410058867569,-0.332820117735137,-0.332820117735137,-0.277350098112615,-0.169017149789827,0.0381356384904845
"36","35,""My life might have been passed in ease and luxury, but I preferred glory to every enticement that wealth placed in my path.""",1.2224157524096,1.2224157524096,0.886186259742568,0,1.35534369137099,1.52549145324156,-0.00325803771964179
"37","36,""Oh, that some encouraging voice would answer in the affirmative!""",0.474341649025257,0.474341649025257,0.632455532033676,0.316227766016838,0.316227766016838,0.468333321470937,0.237170824512628
"38","37,""My courage and my resolution is firm; but my hopes fluctuate, and my spirits are often depressed.""",0.327423093799049,0.327423093799049,0,-0.242535625036333,0.242535625036333,-0.0286192037542873,-0.212218671906791
"39","38,""I am about to proceed on a long and difficult voyage, the emergencies of which will demand all my fortitude: I am required not only to raise the spirits of others, but sometimes to sustain my own, when theirs are failing.""",-0.203025890455188,-0.203025890455188,-0.156173761888606,-0.312347523777212,-0.187408514266327,0.420669645023149,0.0562225542798982
"40","39,This is the most favourable period for travelling in Russia.",0,0,0,0,0,1.12811093248847,0.49805873147652
"41","40,""They fly quickly over the snow in their sledges; the motion is pleasant, and, in my opinion, far more agreeable than that of an English stagecoach.""",0.656989052712917,0.460872917574733,0.745241313525099,0.196116135138184,0.549125178386915,0.420865226006543,0.098058067569092
"42","41,""The cold is not excessive, if you are wrapped in fursa dress which I have already adopted, for there is a great difference between walking the deck and remaining seated motionless for hours, when no exercise prevents the blood from actually freezing in your veins.""",0.283235277149973,0.283235277149973,0.447213595499958,0.447213595499958,0.298142396999972,0.578098107782946,0.0493798345031203
"43","42,I have no ambition to lose my life on the post-road between St. Petersburgh and Archangel.",-0.0848874687627165,-0.0848874687627165,0.242535625036333,0.242535625036333,0,-0.123935704393566,0.111162161474986
"44","43,""I shall depart for the latter town in a fortnight or three weeks; and my intention is to hire a ship there, which can easily be done by paying the insurance for the owner, and to engage as many sailors as I think necessary among those who are accustomed to the whale-fishing.""",0.164832676738427,0.164832676738427,0,0.137360563948689,0.137360563948689,0.689687391586368,0.0114467136623908
"45","44,I do not intend to sail until the month of June; and when shall I return?",0,0,0,0,0,-0.16175,-0.0078125
"46","45,""Ah, dear sister, how can I answer this question?""",0.166666666666667,0.166666666666667,0,-0.333333333333333,0.666666666666667,0.532666666666667,0.229166666666667
"47","46,""If I succeed, many, many months, perhaps years, will pass before you and I may meet.""",0.125,0.125,0.25,0.25,0.25,0.40975,-0.0208333333333333
"48","47,""If I fail, you will see me again soon, or never.""",-0.226133508433323,-0.226133508433323,-0.301511344577764,-0.301511344577764,0,-0.216786656751412,-0.0527644853011086
"49","48,""Farewell, my dear, excellent Margaret.""",0.670820393249937,0.670820393249937,0.447213595499958,0.447213595499958,0.894427190999916,0.506693003701452,0.614918693812442
"50","49,""Heaven shower down blessings on you, and save me, that I may again and again testify my gratitude for all your love and kindness.""",0.77567175188134,0.77567175188134,0.816496580927726,-0.204124145231932,1.02062072615966,0.43008957400368,0.102062072615966
"51","50,""Your affectionate brother,""",0.519615242270663,0.519615242270663,0.577350269189626,0,0.577350269189626,0.599289579418832,0
"52","51,R. Walton",0,0,0,0,0,0,0
