,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang,char_len,sent_clean,token_len,nlptown_medianiqr,nlptown_lnorm_medianiqr,roberta15lg_medianiqr,roberta15lg_lnorm_medianiqr,yelp_medianiqr,yelp_lnorm_medianiqr,hinglish_medianiqr,hinglish_lnorm_medianiqr,imdb2way_medianiqr,imdb2way_lnorm_medianiqr,huggingface_medianiqr,huggingface_lnorm_medianiqr,t5imdb50k_medianiqr,t5imdb50k_lnorm_medianiqr,robertaxml8lang_medianiqr,robertaxml8lang_lnorm_medianiqr,nlptown_roll100,nlptown_roll100_stdscale,roberta15lg_roll100,roberta15lg_roll100_stdscale,yelp_roll100,yelp_roll100_stdscale,hinglish_roll100,hinglish_roll100_stdscale,imdb2way_roll100,imdb2way_roll100_stdscale,huggingface_roll100,huggingface_roll100_stdscale,t5imdb50k_roll100,t5imdb50k_roll100_stdscale,robertaxml8lang_roll100,robertaxml8lang_roll100_stdscale,mean_lnorm_medianiqr_roll100
0,0,"Great art Thou, O Lord, and greatly to be praised; great is Thy power, and Thy wisdom infinite.",0.998107612133026,4.919125139713287,4.94685697555542,0.9998466968536376,1.9712393283843996,0.9888567328453064,1,1.910792112350464,95,great art thou o lord and greatly to be praised great is thy power and thy wisdom infinite,18,0.7213557929153053,1.2663327469988828,0.005512189326190447,0.4609283948171113,0.695860443943089,1.400395126660074,0.6268506110629217,0.9793541793441353,-0.06301774353743322,0.4423097219830776,0.7975475240270342,0.8237091431519195,1.0,0.7848332195944547,0.7745703602698405,1.164337701951045,,,,,,,,,,,,,,,,,
1,1,"And Thee would man praise; man, but a particle of Thy creation; man, that bears about him his mortality, the witness of his sin, the witness that Thou resistest the proud: yet would man praise Thee; he, but a particle of Thy creation.",-0.9828660488128662,4.660896241664887,4.360444217920303,0.9874641895294191,1.963928461074829,0.9866580367088318,1,1.470470517873764,234,and thee would man praise man but a particle of thy creation man that bears about him his mortality the witness of his sin the witness that thou resistest the proud yet would man praise thee he but a particle of thy creation,43,0.5574560892954592,0.09688589802883227,-0.9919062743247603,-0.5320577251577104,0.6276550389920251,0.2308455936298017,0.6231677236546923,0.194438178002033,-0.12903121896223124,-0.3390056180885769,0.7912732833151418,0.4030374759013383,1.0,0.3584069703206504,0.6234015666149935,0.3891324835118878,,,,,,,,,,,,,,,,,
2,2,"Thou awakest us to delight in Thy praise; for Thou madest us for Thyself, and our heart is restless, until it repose in Thee.",0.998394012451172,4.538710594177246,4.694001913070679,0.984002411365509,1.9615433216094968,0.9926400780677797,1,1.6756282448768616,125,thou awakest us to delight in thy praise for thou madest us for thyself and our heart is restless until it repose in thee,24,0.6506839508374531,0.7320508014996713,0.0056563916298081034,0.285383945387363,0.595382424931067,0.8034384056006855,0.6219661972513552,0.6378326125946802,0.05057310820605385,0.11079459604304043,0.7895191935397162,0.635926288188059,1.0,0.6015036770911678,0.6938351916950594,0.7729204530188464,,,,,,,,,,,,,,,,,
3,3,"Grant me, Lord, to know and understand which is first, to call on Thee or to praise Thee?",0.9917855262756348,4.629786133766173,4.522350192070006,0.9818098545074464,0.8275718092918396,0.987289547920227,1,-0.4861931800842285,89,grant me lord to know and understand which is first to call on thee or to praise thee,18,0.6027080740654265,1.107267179018643,0.002329024760570907,0.45647506094488155,0.6194379977416482,1.286358002566481,0.050722153670020455,0.1979886470901686,-0.11007077729757782,0.44018281957129707,0.7884082206856894,0.8107689036181527,1.0,0.7848332195944547,-0.048349477437408826,-0.2704787421003078,,,,,,,,,,,,,,,,,
4,4,"and, again, to know Thee or to call on Thee?",-0.9974614977836608,2.28456449508667,4.265189677476884,0.968180537223816,0.8910186886787415,0.9960691928863524,1,0.7122627496719359,44,and again to know thee or to call on thee,10,0.5308328776687512,2.2881864891883947,-0.9992550698063695,-1.5063034616279887,0.0,1.0816486136532242,0.08268384895063186,0.7278522792094537,0.15352857487987212,1.5324686469455062,0.7815022189255291,1.3561199608644734,1.0,1.3711458823322398,0.3630978361222358,0.7876506389073311,,,,,,,,,,,,,,,,,
5,5,"for who can call on Thee, not knowing Thee?",-0.9969813227653505,3.303892105817795,2.256581813097,-0.994940221309662,0.8136274218559265,0.99189954996109,-1,-1.480616331100464,43,for who can call on thee not knowing thee,9,-0.030563901944285963,1.1028864460641812,-0.9990133021148101,-1.6459332312952135,0.26923265751103465,2.0645007450943873,0.043697596017884,0.7437234477641678,0.028339552071865597,1.7911000314222212,-0.21321491412724985,-1.3204297901505457,0.0,-1.4152237053947405,-0.3897493769818104,-1.7510341385513386,,,,,,,,,,,,,,,,,
6,6,"for he that knoweth Thee not, may call on Thee as other than Thou art.",-0.9864578843116759,0.37275755405426025,2.2968004941940308,-0.9453048110008241,0.7162442207336426,0.934387981891632,1,1.4874823987483978,70,for he that knoweth thee not may call on thee as other than thou art,15,-0.019322963158492936,0.4453492958192206,-0.9937147602807014,-1.0758986716728223,-0.5049611704454938,-0.3621004171600173,-0.005359697733958015,0.2197323779867494,-1.6983831279807475,0.6218391983291479,-0.18806455451453347,-0.707356557758029,1.0,0.9314602121162378,0.629241992208189,1.0889082546548348,,,,,,,,,,,,,,,,,
7,7,"Or, is it rather, that we call on Thee that we may know Thee?",-0.9246103167533876,0.2784477472305298,2.3711096644401546,-0.9315759539604188,0.8721351027488708,0.990106463432312,0,0.6238027811050415,61,or is it rather that we call on thee that we may know thee,14,0.001446112583809847,0.5548504027603806,-0.9625745654206237,-1.0794052973352595,-0.5298710028224399,-0.3973009125095316,0.07317114438378812,0.39855659777014296,-0.025495933213432475,0.8276521410519501,-0.18110811576467012,-0.752777800940617,0.5,0.05120950034380165,0.3327282451170626,0.5005666029079043,,,,,,,,,,,,,,,,,
8,8,but how shall they call on Him in whom they have not believed?,-0.9949719905853271,0.8111228346824646,2.3645436465740204,-0.9943372011184692,0.6695321202278137,0.9767255187034608,-1,-1.640606701374054,62,but how shall they call on him in whom they have not believed,13,-0.000389059602010219,0.6392337934834222,-0.9980016051622084,-1.2123718201362252,-0.38917675705218935,-0.09582870350397076,-0.028891161167805237,0.2658141746131225,-0.4272443382635817,0.9352853005368359,-0.21290936261537838,-0.8811482939637805,0.0,-0.9643603062437666,-0.4446763929947184,-1.3389243769861368,,,,,,,,,,,,,,,,,
9,9,or how shall they believe without a preacher?,-0.9917176365852356,0.5845345854759216,0.3068000376224518,-0.9977803826332092,0.7989371418952942,0.9794729351997375,-1,-1.7397220730781555,45,or how shall they believe without a preacher,8,-0.5755190567611954,-0.3288073607802719,-0.9963630408385425,-1.8128506387088836,-0.4490249901937341,-0.020377575092889937,0.0362972911293581,0.8598760270104283,-0.344756127023327,2.08911267297259,-0.21465402943224862,-1.5031405062847432,0.0,-1.598299011978828,-0.47870413853594607,-2.320935942477772,,,,,,,,,,,,,,,,,
