"","sent_raw","syuzhet","bing","afinn","nrc"
"1","BOOK I  Great art Thou, O Lord, and greatly to be praised; great is Thy power, and Thy wisdom infinite.",2.7,2,7,4
"2","And Thee would man praise; man, but a particle of Thy creation; man, that bears about him his mortality, the witness of his sin, the witness that Thou resistest the proud: yet would man praise Thee; he, but a particle of Thy creation.",0.25,1,3,0
"3","Thou awakest us to delight in Thy praise; for Thou madest us for Thyself, and our heart is restless, until it repose in Thee.",2.05,1,4,3
"4","Grant me, Lord, to know and understand which is first, to call on Thee or to praise Thee?",1.25,1,4,2
"5","and, again, to know Thee or to call on Thee?",0,0,0,0
"6","for who can call on Thee, not knowing Thee?",0.6,0,0,1
"7","for he that knoweth Thee not, may call on Thee as other than Thou art.",0.6,0,0,1
"8","Or, is it rather, that we call on Thee that we may know Thee?",0,0,0,0
"9","but how shall they call on Him in whom they have not believed?",0,0,0,0
"10","or how shall they believe without a preacher?",0,0,0,0
"11","and they that seek the Lord shall praise Him: for they that seek shall find Him, and they that find shall praise Him.",0.75,1,3,1
"12","I will seek Thee, Lord, by calling on Thee; and will call on Thee, believing in Thee; for to us hast Thou been preached.",0.8,0,0,1
"13","My faith, Lord, shall call on Thee, which Thou hast given me, wherewith Thou hast inspired me, through the Incarnation of Thy Son, through the ministry of the Preacher.",0.5,1,3,3
"14","And how shall I call upon my God, my God and Lord, since, when I call for Him, I shall be calling Him to myself?",0,0,1,1
"15","and what room is there within me, whither my God can come into me?",0,0,1,1
"16","whither can God come into me, God who made heaven and earth?",0.8,1,3,1
"17","is there, indeed, O Lord my God, aught in me that can contain Thee?",0,0,1,1
"18","do then heaven and earth, which Thou hast made, and wherein Thou hast made me, contain Thee?",0.8,1,2,0
"19","or, because nothing which exists could exist without Thee, doth therefore whatever exists contain Thee?",0,0,0,0
"20","Since, then, I too exist, why do I seek that Thou shouldest enter into me, who were not, wert Thou not in me?",0,0,0,0
"21","Why?",0,0,0,0
"22","because I am not gone down in hell, and yet Thou art there also.",-0.2,-1,-4,0
"23","For if I go down into hell, Thou art there.",-0.2,-1,-4,0
"24","I could not be then, O my God, could not be at all, wert Thou not in me; or, rather, unless I were in Thee, of whom are all things, by whom are all things, in whom are all things?",0,0,1,1
"25","Even so, Lord, even so.",0,0,0,0
"26","Whither do I call Thee, since I am in Thee?",0,0,0,0
"27","or whence canst Thou enter into me?",0,0,0,0
"28","for whither can I go beyond heaven and earth, that thence my God should come into me, who hath said, I fill the heaven and the earth.",0.8,1,3,1
"29","Do the heaven and earth then contain Thee, since Thou fillest them?",0.8,1,2,0
"30","or dost Thou fill them and yet overflow, since they do not contain Thee?",-0.25,0,0,-1
"31","And whither, when the heaven and the earth are filled, pourest Thou forth the remainder of Thyself?",0.8,1,2,0
"32","or hast Thou no need that aught contain Thee, who containest all things, since what Thou fillest Thou fillest by containing it?",0,0,-1,0
