"","sent_raw","jockers_rinker","jockers","huliu","lmcd","nrc","senticnet","sentiword"
"1","0,Sixty million and more",0,0,0,0,0,0.1098,0
"2","1,""I will call them my people, which were not my people; and her beloved, which was not beloved.""",0,0,0,0,0,0.0110780062385892,0.0147313912747197
"3","2,ROMANS :",0,0,0,0,0,0,0
"4","3,WAS SPITEFUL.",-0.530330085889911,-0.530330085889911,-0.707106781186547,0,-0.707106781186547,-0.289913780286484,-0.176776695296637
"5","4,Full of a baby's venom.",-0.335410196624968,-0.335410196624968,-0.447213595499958,0,-0.447213595499958,-0.42485291572496,-0.223606797749979
"6","5,The women in the house knew it and so did the children.",0,0,0,0,0,0.163101451046069,0
"7","6,""For years each put up with the spite in his own way, but by Sethe and her daughter Denver were its only victims.""",-0.0495221733385553,-0.0495221733385553,-0.208514414057075,-0.302345900382758,0.260643017571343,0.324500556876323,-0.430060978992717
"8","7,""The grandmother, Baby Suggs, was dead, and the sons, Howard and Buglar, had run away by the time they were thirteen years old--as soon as merely looking in a mirror shattered it (that was the signal for Buglar); as soon as two tiny hand prints appeared in the cake (that was it for Howard). Neither boy waited to see more; another kettleful of chickpeas smoking in a heap on the floor; soda crackers crumbled and strewn in a line next to the door sill. Nor did they wait for one of the relief periods: the weeks, months even, when nothing was disturbed. No. Each one fled at once--the moment the house committed what was for him the one insult not to be borne or witnessed a second time.""",0.00438529009653515,0.00438529009653515,-0.175411603861406,0.0877058019307029,0.0175411603861406,0.0377310359905884,0.109935046253378
"9","8,""Within two months, in the dead of winter, leaving their grandmother, Baby Suggs; Sethe, their mother; and their little sister, Denver, all by themselves in the gray and white house on Bluestone Road.""",0.104446593573419,0.104446593573419,-0.174077655955698,0,0.522232967867094,0.0928530216867692,-0.0725323566482074
"10","9,""It didn't have a number then, because Cincinnati didn't stretch that far.""",0,0,0,0,0,0.0943967690125038,0.0240562612162344
"11","10,""In fact, Ohio had been calling itself a state only seventy years when first one brother and then the next stuffed quilt packing into his hat, snatched up his shoes, and crept away from the lively spite the house felt for them.""",-0.165104584459438,-0.165104584459438,-0.154303349962092,0,-0.123442679969674,0.240836668620833,-0.0704009034202044
"12","11,Baby Suggs didn't even raise her head.",0,0,0,0,0,0.22488886144049,0.310245838261741
"13","12,From her sickbed she heard them go but that wasn't the reason she lay still.",-0.348568501158667,-0.348568501158667,0,0,-0.580947501931113,0.170398357288639,-0.190191146465543
"14","13,It was a wonder to her that her grandsons had taken so long to realize that every house wasn't like the one on Bluestone Road.",0.1,-0.1,0,0,0,0.413,-0.00625
"15","14,""Suspended between the nas tiness of life and the meanness of the dead, she couldn't get interested in leaving life or living it, let alone the fright of two creeping-off boys.""",-0.892722311248016,-0.892722311248016,-0.707106781186547,-0.176776695296637,-0.353553390593274,-0.647709811566877,-0.309359216769115
"16","15,""Her past had been like her present-- intolerable--and since she knew death was anything but forgetfulness, she used the little energy left her for pondering color.""",-0.346602611603505,-0.346602611603505,-0.433397602071679,0,-0.000192450089729875,-0.120627908692776,0.0575666330904489
"17","16,""""""Bring a little lavender in, if you got any. Pink, if you don't.""""""",0,0,0,0,0,0.0523636985236616,-0.0277350098112615
"18","17,And Sethe would oblige her with anything from fabric to her own tongue.",-0.0277350098112615,-0.0277350098112615,0,0,-0.277350098112615,0.231864682022146,0.0346687622640768
"19","18,Winter in Ohio was especially rough if you had an appetite for color.",-0.124807544150677,-0.124807544150677,-0.499230176602706,0,0,-0.122866093463888,-0.187211316226015
"20","19,Sky",0,0,0,0,0,0,0
"21","20,""provided the only drama, and counting on a Cincinnati horizon for life's principal joy was reckless indeed.""",0.1455213750218,0.1455213750218,0,-0.242535625036333,0.485071250072666,-0.0562682650084293,-0.0363803437554499
"22","21,""So Sethe and the girl Denver did what they could, and what the house permitted, for her.""",0,0,0,0,0,0.151827301272744,0
"23","22,""Together they waged a perfunctory battle against the outrageous behavior of that place; against turned-over slop jars, smacks on the behind, and gusts of sour air.""",-0.577350269189626,-0.577350269189626,-0.577350269189626,-0.384900179459751,-0.577350269189626,-0.00846780394811449,-0.242968238283967
"24","23,For they understood the source of the outrage as well as they knew the source of light.",-0.0485071250072666,-0.0485071250072666,0,0,-0.242535625036333,0.328393236299195,0.124141859674847
"25","24,""Baby Suggs died shortly after the brothers left, with no interest whatsoever in their leave-taking or hers, and right afterward Sethe and Denver decided to end the persecution by calling forth the ghost that tried them so.""",-0.0729996395088431,-0.0729996395088431,-0.162221421130763,0,0,0.154110350074224,-0.162221421130763
"26","25,""Perhaps a conversation, they thought, an exchange of views or something would help.""",0.0693375245281536,0.0693375245281536,0,0,0.277350098112615,0.358891026957723,-0.0115562540880256
"27","26,""So they held hands and said, """"Come on. Come on. You may as well just come on.""""""",0.194028500029066,0.194028500029066,0.242535625036333,0,0,0.0846449331376802,0.396994437840722
"28","27,The sideboard took a step forward but nothing else did.",0.000189736659610103,0.000189736659610103,0,0,0.000316227766016838,-1.04252704989367,7.90569415042096e-05
"29","28,""""""Grandma Baby must be stopping it,"""" said Denver.""",0.0707106781186547,0.0707106781186547,0,-0.353553390593274,0.353553390593274,0.110662211255695,0
"30","29,She was ten and still mad at Baby Suggs for dying.",-0.195982373975546,-0.195982373975546,-0.603022689155527,0,-0.301511344577764,-0.35457734122345,-0.170497486517188
"31","30,Sethe opened her eyes.",0,0,0,0,0,0,0
"32","31,""""""I doubt that,"""" she said.""",-0.335410196624968,-0.335410196624968,-0.447213595499958,-0.447213595499958,-0.447213595499958,-0.0804984471899924,0.223606797749979
"33","32,""""""Then why don't it come?""""""",0,0,0,0,0,-0.0500879226959953,-0.260874597374975
"34","33,""""""You forgetting how little it is,"""" said her mother.""",0,0,0,0,0,0.0193333333333333,0
"35","34,""""""She wasn't even two years old when she died. Too little to understand. Too little to talk much even.""""""",0.0226203913596374,0.0228498070935079,0.0456537310402418,0,-0.000229415733870562,0.140106941663558,0.0105196672968564
