,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,CANTO ONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"I was the shadow of the waxwing slain by the false azure in the windowpane; i was the smudge of ashen fluffand i lived on, flew on, in the reflected sky.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"and from the inside, too, id duplicate myself, my lamp, an apple on a plate: uncurtaining the night, id let dark glass hang all the furniture above the grass, and how delightful when a fall of snow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"Covered my glimpse of lawn and reached up so as to make chair and bed exactly stand upon that snow, out in that crystal land! retake the falling snow: each drifting flake shapeless and slow, unsteady and opaque, a dull dark white against the days pale white and abstract larches in the neutral light.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"and then the gradual and dual blue as night unites the viewer and the view, and in the morning, diamonds of frost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Express amazement: whose spurred feet have crossed from left to right the blank page of the road?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"reading from left to right in winters code: a dot, an arrow pointing back; repeat: dot, arrow pointing back a pheasants feet! torquated beauty, sublimated grouse, finding your china right behind my house.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"was he in sherlock holmes, the fellow whose tracks pointed back when he reversed his shoes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,all colors made me happy: even gray.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,My eyes were such that literally they took photographs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
