"","sent_raw","syuzhet","bing","afinn","nrc"
"1","0,CANTO ONE",0,0,0,0
"2","1,""I was the shadow of the waxwing slain By the false azure in the windowpane; I was the smudge of ashen fluff and I Lived on, flew on, in the reflected sky.""",-1.35,-2,-1,0
"3","2,""And from the inside, too, I d duplicate Myself, my lamp, an apple on a plate: Uncurtaining the night, I d let dark glass Hang all the furniture above the grass, And how delightful when a fall of snow Covered my glimpse of lawn and reached up so As to make chair and bed exactly stand Upon that snow, out in that crystal land!""",0.25,-2,4,2
"4","3,""Retake the falling snow: each drifting flake Shapeless and slow, unsteady and opaque, A dull dark white against the day s pale white And abstract larches in the neutral light.""",-3.35,-7,-3,-3
"5","4,""And then the gradual and dual blue As night unites the viewer and the view, And in the morning, diamonds of frost""",-0.25,-1,0,0
"6","5,Express amazement: Whose spurred feet have crossed From left to right the blank page of the road?",1.6,2,0,0
"7","6,""Reading from left to right in winter s code: A dot, an arrow pointing back; repeat: Dot, arrow pointing back A pheasant s feet!""",0.9,1,0,1
"8","7,""Torquated beauty, sublimated grouse, Finding your China right behind my house.""",1.3,1,3,1
"9","8,""Was he in Sherlock Holmes, the fellow whose Tracks pointed back when he reversed his shoes?""",0.4,0,0,1
"10","9,All colors made me happy: even gray.",0.75,1,2,1
"11","10,My eyes were such that literally they Took photographs.",0,0,0,0
"12","11,""Whenever I d permit, Or, with a silent shiver, order it, Whatever in my field of vision dwelt An indoor scene, hickory leaves, the svelte Stilettos of a frozen stillicide Was printed on my eyelids nether side Where it would tarry for an hour or two, And while this lasted all I had to do Was close my eyes to reproduce the leaves, Or indoor scene, or trophies of the eaves.""",-0.25,-1,1,-2
"13","12,""I cannot understand why from the lake I could make out our front porch when I d take Lake Road to school, whilst now, although no tree Has intervened, I look but fail to see Even the roof.""",-0.75,-1,-3,1
"14","13,""Maybe some quirk in space Has caused a fold or furrow to displace The fragile vista, the frame house between Goldsworth and Wordsmith on its square of green.""",-1,-2,0,-1
"15","14,I had a favorite young shagbark there",1.15,1,2,2
"16","15,""With ample dark jade leaves and a black, spare, Vermiculated trunk.""",0.15,0,0,-1
"17","16,""The setting sun Bronzed the black bark, around which, like undone Garlands, the shadows of the foliage fell.""",-0.15,-1,2,-2
"18","17,It is now stout and rough; it has done well.",0.55,0,2,0
"19","18,White butterflies turn lavender as they Pass through its shade where gently seems to sway The phantom of my little daughter s swing.",0.5,0,0,1
"20","19,The house itself is much the same.",0,0,0,0
"21","20,One wing We ve had revamped.",0,0,0,0
"22","21,There s a solarium.",0,0,0,0
"23","22,There s",0,0,0,0
"24","23,A picture window flanked with fancy chairs.",0.5,1,0,1
