,sent_clean
0,mrs  dalloway said she would buy the flowers herself 
1,for lucy had her work cut out for her 
2,the doors would be taken off their hinges  rumpelmayer own men were coming 
3,and then  thought clarissa dalloway  what a morning  fresh as if issued to children on a beach 
4,what a lark 
5,what a plunge 
6,for so it had always seemed to her  when  with a little squeak of the hinges  which she could hear now  she had burst open the french windows and plunged at bourton into the open air 
7,how fresh  how calm  stiller than this of course  the air was in the early morning  like the flap of a wave  the kiss of a wave  chill and sharp and yet  for a girl of eighteen as she then was  solemn  feeling as she did  standing there at the open window  that something awful was about to happen  looking at the flowers  at the trees with the smoke winding off them and the rooks rising  falling  standing and looking until peter walsh said   musing among the vegetables    was that it    i prefer men to cauliflowers   was that it  he must have said it at breakfast one morning when she had gone out on to the terrace  peter walsh 
8,he would be back from india one of these days  june or july  she forgot which  for his letters were awfully dull  it was his sayings one remembered  his eyes  his pocket knife  his smile  his grumpiness and  when millions of things had utterly vanished  how strange it was   a few sayings like this about cabbages 
9,she stiffened a little on the kerb  waiting for durtnall own van to pass 
10,a charming woman  scrope purvis thought her  knowing her as one does know people who live next door to one in westminster   a touch of the bird about her  of the jay  blue green  light  vivacious  though she was over fifty  and grown very white since her illness 
11,there she perched  never seeing him  waiting to cross  very upright 
12,for having lived in westminster  how many years now  over twenty   one feels even in the midst of the traffic  or waking at night  clarissa was positive  a particular hush  or solemnity  an indescribable pause  a suspense  but that might be her heart  affected  they said  by influenza  before big ben strikes 
13,there 
14,out it boomed 
15,first a warning  musical  then the hour  irrevocable 
16,the leaden circles dissolved in the air 
17,such fools we are  she thought  crossing victoria street 
18,for heaven only knows why one loves it so  how one sees it so  making it up  building it round one  tumbling it  creating it every moment afresh  but the veriest frumps  the most dejected of miseries sitting on doorsteps  drink their downfall  do the same  cannot be dealt with  she felt positive  by acts of parliament for that very reason  they love life 
19,in people own eyes  in the swing  tramp  and trudge  in the bellow and the uproar  the carriages  motor cars  omnibuses  vans  sandwich men shuffling and swinging  brass bands  barrel organs  in the triumph and the jingle and the strange high singing of some aeroplane overhead was what she loved  life  london  this moment of june 
20,for it was the middle of june 
21,the war was over  except for some one like mrs  foxcroft at the embassy last night eating her heart out because that nice boy was killed and now the old manor house must go to a cousin  or lady bexborough who opened a bazaar  they said  with the telegram in her hand  john  her favourite  killed  but it was over  thank heaven  over 
22,it was june 
23,the king and queen were at the palace 
