"","sent_raw","jockers_rinker","jockers","huliu","lmcd","nrc","senticnet","sentiword"
"1","mrs  dalloway said she would buy the flowers herself",0,0,0,0,0,0.0106666666666667,0.0416666666666667
"2","for lucy had her work cut out for her",0,0,0.333333333333333,-0.333333333333333,0,-0.0926666666666667,0.03125
"3","the doors would be taken off their hinges  rumpelmayer own men were coming",-0.291217603018245,0,-0.291217603018245,0,0,0.0529738687395094,-0.127118794968282
"4","and then  thought clarissa dalloway  what a morning  fresh as if issued to children on a beach",0.121267812518166,0.121267812518166,0.242535625036333,0,0,0.328878307549268,0.018190171877725
"5","what a lark",0,0,0,0,0,0,-0.0721687836487032
"6","what a plunge",-0.23094010767585,-0.23094010767585,0,0,-0.577350269189626,0.06177647880329,0
"7","for so it had always seemed to her  when  with a little squeak of the hinges  which she could hear now  she had burst open the french windows and plunged at bourton into the open air",-0.0333333333333333,0,-0.0333333333333333,0,0,0.118333333333333,-0.232638888888889
"8","how fresh  how calm  stiller than this of course  the air was in the early morning  like the flap of a wave  the kiss of a wave  chill and sharp and yet  for a girl of eighteen as she then was  solemn  feeling as she did  standing there at the open window  that something awful was about to happen  looking at the flowers  at the trees with the smoke winding off them and the rooks rising  falling  standing and looking until peter walsh said   musing among the vegetables    was that it    i prefer men to cauliflowers   was that it  he must have said it at breakfast one morning when she had gone out on to the terrace  peter walsh",0.192506684375924,0.100836834673103,0,0,0.366679398811285,0.0826862044319447,-0.145907844110324
"9","he would be back from india one of these days  june or july  she forgot which  for his letters were awfully dull  it was his sayings one remembered  his eyes  his pocket knife  his smile  his grumpiness and  when millions of things had utterly vanished  how strange it was   a few sayings like this about cabbages",-0.514477890681417,-0.374165738677394,-0.648108511637629,0,-0.133630620956212,-0.177862356492718,0.0922687620888132
"10","she stiffened a little on the kerb  waiting for durtnall own van to pass",-0.0320713490294909,-0.0320713490294909,0,0,0,0.121924578560448,-0.0489978943506111
"11","a charming woman  scrope purvis thought her  knowing her as one does know people who live next door to one in westminster   a touch of the bird about her  of the jay  blue green  light  vivacious  though she was over fifty  and grown very white since her illness",0.248260615751539,0.248260615751539,0.0288675134594813,0,0.577350269189626,-0.1502554075566,-0.140428424849768
"12","there she perched  never seeing him  waiting to cross  very upright",0.325632252143985,0.325632252143985,0,0,0.603022689155527,0.0477593969811178,0.0452267016866645
"13","for having lived in westminster  how many years now  over twenty   one feels even in the midst of the traffic  or waking at night  clarissa was positive  a particular hush  or solemnity  an indescribable pause  a suspense  but that might be her heart  affected  they said  by influenza  before big ben strikes",0.152542553961938,0.152542553961938,0.249615088301353,0.249615088301353,0.110940039245046,-0.0963916398485486,0.242375095115205
"14","there",0,0,0,0,0,0,0
"15","out it boomed",0,0,0,0,0,-0.404145188432738,-0.0721687836487032
"16","first a warning  musical  then the hour  irrevocable",-0.0530330085889911,-0.0530330085889911,-0.353553390593274,-0.353553390593274,0,0.0689429111656884,0.220970869120796
"17","the leaden circles dissolved in the air",-0.0944911182523068,-0.0944911182523068,0,0,0,0.238495582468822,0.0472455591261534
"18","such fools we are  she thought  crossing victoria street",-0.166666666666667,-0.166666666666667,0,0,0,0.598666666666667,0.0833333333333333
"19","for heaven only knows why one loves it so  how one sees it so  making it up  building it round one  tumbling it  creating it every moment afresh  but the veriest frumps  the most dejected of miseries sitting on doorsteps  drink their downfall  do the same  cannot be dealt with  she felt positive  by acts of parliament for that very reason  they love life",0.03,0.03,-0.175,0.125,0.45,0.06980625,0.27890625
"20","in people own eyes  in the swing  tramp  and trudge  in the bellow and the uproar  the carriages  motor cars  omnibuses  vans  sandwich men shuffling and swinging  brass bands  barrel organs  in the triumph and the jingle and the strange high singing of some aeroplane overhead was what she loved  life  london  this moment of june",-0.0868599036215379,-0.0868599036215379,-0.240535117721182,0,-0.133630620956212,0.26373339351918,0.0183742103814792
"21","for it was the middle of june",0,0,0,0,0,0.257393806119284,0
"22","the war was over  except for some one like mrs  foxcroft at the embassy last night eating her heart out because that nice boy was killed and now the old manor house must go to a cousin  or lady bexborough who opened a bazaar  they said  with the telegram in her hand  john  her favourite  killed  but it was over  thank heaven  over",0.368452367105162,0.368452367105162,0.692808879025913,0,-0.377964473009227,0.358259043232576,0.0446208058413671
"23","it was june",0,0,0,0,0,-0.0173205080756888,0
"24","the king and queen were at the palace",0.0353553390593274,0.0353553390593274,0,0,0.353553390593274,0.231931024229188,0.0441941738241592
"25","and everywhere  though it was still so early  there was a beating  a stirring of galloping ponies  tapping of cricket bats  lords  ascot  ranelagh and all the rest of it  wrapped in the soft mesh of the grey blue morning air  which  as the day wore on  would unwind them  and set down on their lawns and pitches the bouncing ponies  whose forefeet just struck the ground and up they sprung  the whirling young men  and laughing girls in their transparent muslins who  even now  after dancing all night  were taking their absurd woolly dogs for a run  and even now  at this hour  discreet old dowagers were shooting out in their motor cars on errands of mystery  and the shopkeepers were fidgeting in their windows with their paste and diamonds  their lovely old sea green brooches in eighteenth century settings to tempt americans  but one must economise  not buy things rashly for elizabeth   and she  too  loving it as she did with an absurd and faithful passion  being part of it  since her people were courtiers once in the time of the georges  she  too  was going that very night to kindle and illuminate  to give her party",0.106314458721125,0.106314458721125,0.269445746023668,0,0.552927339906502,0.425513032118304,0.185270744413009
"26","but how strange  on entering the park  the silence  the mist  the hum  the slow swimming happy ducks  the pouched birds waddling  and who should be coming along with his back against the government buildings  most appropriately  carrying a despatch box stamped with the royal arms  who but hugh whitbread  her old friend hugh  the admirable hugh",-0.0629152869605896,0.0695379487459148,-0.430473016046139,-0.132453235706504,0.324510427480936,0.0343649920040525,0.219375671638898
"27","good morning to you  clarissa   said hugh  rather extravagantly  for they had known each other as children",0.278915968791783,0.278915968791783,0,0.242535625036333,0.242535625036333,0.145763910646836,0.0530546679766978
"28","where are you off to",0,0,0,0,0,-0.330938060669969,-0.204972897937481
"29","i love walking in london   said mrs  dalloway",0.265165042944955,0.265165042944955,0.353553390593274,0,0.353553390593274,0.241123412384613,0.132582521472478
"30","really it is better than walking in the country",0.48,0.48,0.6,0.6,0,0.547,0.4125
