,sent_no,sent_raw,baseline_sentimentr_stdscaler_roll10,baseline_syuzhet_stdscaler_roll10,baseline_bing_stdscaler_roll10,baseline_sentiword_stdscaler_roll10,baseline_senticnet_stdscaler_roll10,baseline_nrc_stdscaler_roll10,baseline_afinn_stdscaler_roll10,baseline_vader_stdscaler_roll10,baseline_textblob_stdscaler_roll10,baseline_flair_stdscaler_roll10,baseline_pattern_stdscaler_roll10,baseline_stanza_stdscaler_roll10,sentimentr_jockers_rinker_stdscaler_roll10,sentimentr_jockers_stdscaler_roll10,sentimentr_huliu_stdscaler_roll10,sentimentr_senticnet_stdscaler_roll10,sentimentr_sentiword_stdscaler_roll10,sentimentr_nrc_stdscaler_roll10,sentimentr_lmcd_stdscaler_roll10,syuzhetr_syuzhet_stdscaler_roll10,syuzhetr_bing_stdscaler_roll10,syuzhetr_afinn_stdscaler_roll10,syuzhetr_nrc_stdscaler_roll10,transformer_roberta15lg_stdscaler_roll10,transformer_nlptown_stdscaler_roll10,transformer_yelp_stdscaler_roll10,transformer_hinglish_stdscaler_roll10,transformer_imdb2way_stdscaler_roll10,transformer_huggingface_stdscaler_roll10,transformer_t5imdb50k_stdscaler_roll10,transformer_robertaxml8lang_stdscaler_roll10
0,0,"He--for there could be no doubt of his sex, though the fashion of the time did something to disguise it--was in the act of slicing at the head of a Moor which swung from the rafters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,"It was the colour of an old football, and more or less the shape of one, save for the sunken cheeks and a strand or two of coarse, dry hair, like the hair on a cocoanut.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,"Orlando's father, or perhaps his grandfather, had struck it from the shoulders of a vast Pagan who had started up under the moon in the barbarian fields of Africa; and now it swung, gently, perpetually, in the breeze which never ceased blowing through the attic rooms of the gigantic house of the lord who had slain him.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,"Orlando's fathers had ridden in fields of asphodel, and stony fields, and fields watered by strange rivers, and they had struck many heads of many colours off many shoulders, and brought them back to hang from the rafters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,"So too would Orlando, he vowed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,"But since he was sixteen only, and too young to ride with them in Africa or France, he would steal away from his mother and the peacocks in the garden and go to his attic room and there lunge and plunge and slice the air with his blade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,"Sometimes he cut the cord so that the skull bumped on the floor and he had to string it up again, fastening it with some chivalry almost out of reach so that his enemy grinned at him through shrunk, black lips triumphantly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,"The skull swung to and fro, for the house, at the top of which he lived, was so vast that there seemed trapped in it the wind itself, blowing this way, blowing that way, winter and summer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,The green arras with the hunters on it moved perpetually.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,His fathers had been noble since they had been at all.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,They came out of the northern mists wearing coronets on their heads.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,"Were not the bars of darkness in the room, and the yellow pools which chequered the floor, made by the sun falling through the stained glass of a vast coat of arms in the window?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,Orlando stood now in the midst of the yellow body of an heraldic leopard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,"When he put his hand on the window-sill to push the window open, it was instantly coloured red, blue, and yellow like a butterfly's wing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,"Thus, those who like symbols, and have a turn for the deciphering of them, might observe that though the shapely legs, the handsome body, and the well-set shoulders were all of them decorated with various tints of heraldic light, Orlando's face, as he threw the window open, was lit solely by the sun itself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,"A more candid, sullen face it would be impossible to find.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,"Happy the mother who bears, happier still the biographer who records the life of such a one!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,"Never need she vex herself, nor he invoke the help of novelist or poet.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
