,sent_no,sent_raw,jockers_rinker,jockers,huliu,lmcd,nrc,senticnet,sentiword,sent_clean,char_len,token_len,jockers_rinker_stdscaler,jockers_rinker_medianiqr,jockers_rinker_lnorm_stdscaler,jockers_rinker_lnorm_medianiqr,jockers_stdscaler,jockers_medianiqr,jockers_lnorm_stdscaler,jockers_lnorm_medianiqr,huliu_stdscaler,huliu_medianiqr,huliu_lnorm_stdscaler,huliu_lnorm_medianiqr,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,lmcd_stdscaler,lmcd_medianiqr,lmcd_lnorm_stdscaler,lmcd_lnorm_medianiqr,jockers_rinker_stdscaler_roll10,jockers_stdscaler_roll10,huliu_stdscaler_roll10,senticnet_stdscaler_roll10,sentiword_stdscaler_roll10,nrc_stdscaler_roll10,lmcd_stdscaler_roll10,lmcd_stdscaler_roll10_mean,mean_stdscaler_roll10,jockers_rinker_roll100,jockers_roll100,huliu_roll100,senticnet_roll100,sentiword_roll100,nrc_roll100,lmcd_roll100
0,1,he  for there could be no doubt of his sex  though the fashion of the time did something to disguise it  was in the act of slicing at the head of a moor which swung from the rafters,0.064888568452305,0.064888568452305,0.162221421130763,0.162221421130763,0.0,0.134806000959664,-0.0709718717447086,he  for there could be no doubt of his sex  though the fashion of the time did something to disguise it  was in the act of slicing at the head of a moor which swung from the rafters,181,38,0.21465200043135407,0.2337398386500387,0.00034356241052458574,0.16726979133484507,0.20106754436136165,0.2531989944411821,-0.004977840749880059,0.18495043470916223,0.5670408857050255,0.49095008198106244,0.08578130537146521,0.5815993673771822,0.1065737575100437,0.14782620462796728,-0.039545338634846314,0.017060404533158036,-0.46773602591811,-0.3793290551514252,-0.09548314788405615,-0.23119306172270335,-0.15965231473622332,0.0,-0.06270037653059339,0.0,1.0945691294509265,0.162221421130763,0.24456670338895314,0.004268984766599026,,,,,,,,,,,,,,,,
1,2,it was the colour of an old football  and more or less the shape of one  save for the sunken cheeks and a strand or two of coarse  dry hair  like the hair on a cocoanut,-0.0333333333333333,-0.0333333333333333,-0.166666666666667,0.0,0.766666666666667,-0.131833333333333,0.1365,it was the colour of an old football  and more or less the shape of one  save for the sunken cheeks and a strand or two of coarse  dry hair  like the hair on a cocoanut,168,36,-0.160332681770263,-0.12007242786883386,-0.051030110751526914,-0.09070039183141722,-0.19503948214617667,-0.13006861890590712,-0.05768072529396307,-0.10028754602755001,-0.47608420314500843,-0.504403260020471,-0.08965337974003132,-0.6307330222516495,-0.7134657797618515,-0.5162984179621652,-0.1979416155555381,-0.4131298849929934,0.809144488937256,0.7295624978642323,0.1293067863382743,0.46935590336927707,2.1205849781943344,3.160030043901241,0.2887599507408435,2.7684061567750287,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
2,3,orlando own father  or perhaps his grandfather  had struck it from the shoulders of a vast pagan who had started up under the moon in the barbarian fields of africa  and now it swung  gently  perpetually  in the breeze which never ceased blowing through the attic rooms of the gigantic house of the lord who had slain him,-0.11161046793076401,-0.11161046793076401,-0.39391929857916796,0.13130643285972302,0.0,-0.259198898465092,0.000820665205373263,orlando own father  or perhaps his grandfather  had struck it from the shoulders of a vast pagan who had started up under the moon in the barbarian fields of africa  and now it swung  gently  perpetually  in the breeze which never ceased blowing through the attic rooms of the gigantic house of the lord who had slain him,321,58,-0.4591736317727463,-0.4020401958007041,-0.07050636024224861,-0.18849934875366867,-0.5107137102484496,-0.43551058257589587,-0.0776608914974472,-0.20842398508524024,-1.1968549779173019,-1.1921650703298552,-0.13227847065228593,-0.9252915258392244,-1.1051739250434165,-0.8335307126586419,-0.21566965982727815,-0.46127768648337053,-0.025890628888132164,0.004386275143900227,-0.020736634315563083,0.001751500078052449,-0.15965231473622332,0.0,-0.06270037653059339,0.0,0.9109161935461771,0.13130643285972302,0.1653908852388073,0.0022639040148228107,,,,,,,,,,,,,,,,
3,4,orlando own fathers had ridden in fields of asphodel  and stony fields  and fields watered by strange rivers  and they had struck many heads of many colours off many shoulders  and brought them back to hang from the rafters,-0.240192230707631,-0.240192230707631,-0.480384461415261,0.0,0.0,0.14523623550121398,-0.18348017623499602,orlando own fathers had ridden in fields of asphodel  and stony fields  and fields watered by strange rivers  and they had struck many heads of many colours off many shoulders  and brought them back to hang from the rafters,223,39,-0.9500640602337558,-0.8652139288888906,-0.1531104832750355,-0.6032915844935349,-1.029255285912479,-0.9372441516021184,-0.16240226370436978,-0.667060321639887,-1.4710941006227276,-1.4538449304062118,-0.24121944167202683,-1.6781225161357542,0.13865156302125642,0.17380502578277007,-0.03566802657556409,0.02759084142089504,-1.160165609528527,-0.9806612137917453,-0.20816669422465003,-0.5823668900566742,-0.15965231473622332,0.0,-0.06270037653059339,0.0,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
4,5,so too would orlando  he vowed,0.0,0.0,0.0,0.0,0.0,0.0,-0.0510310363079829,so too would orlando  he vowed,30,6,-0.03307502151848205,0.0,-0.032967510537710326,0.0,-0.06061358211558035,0.0,-0.03915078427471961,0.0,0.05252777133941538,0.0,0.0016189892032896316,0.0,-0.3080171765003286,-0.18793815192358318,-0.11748555987040775,-0.19461834821837495,-0.3450106463041295,-0.27274967265532846,-0.3591250894951203,-1.052822775657305,-0.15965231473622332,0.0,-0.06270037653059339,0.0,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
5,6,but since he was sixteen only  and too young to ride with them in africa or france  he would steal away from his mother and the peacocks in the garden and go to his attic room and there lunge and plunge and slice the air with his blade,-0.067838656629781,-0.067838656629781,-0.14433756729740602,0.0,-0.11547005383792501,-0.38061816496326095,0.0649519052838329,but since he was sixteen only  and too young to ride with them in africa or france  he would steal away from his mother and the peacocks in the garden and go to his attic room and there lunge and plunge and slice the air with his blade,235,48,-0.2920646830383793,-0.24436656614693927,-0.06053771754699789,-0.13844233659685753,-0.33419175634532733,-0.2647104112880306,-0.06743432616364703,-0.15307587898214242,-0.40526362730874493,-0.4368260369294134,-0.057664153423086416,-0.409673115206746,-1.478594445984413,-1.1359524268145083,-0.2917000519535348,-0.6677695121590312,0.3688035056037889,0.34715365758178873,0.032449207267585815,0.16750307791235775,-0.503085953403096,-0.47594196430269997,-0.1024012772053051,-0.3127187034470108,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
6,7,sometimes he cut the cord so that the skull bumped on the floor and he had to string it up again  fastening it with some chivalry almost out of reach so that his enemy grinned at him through shrunk  black lips triumphantly,-0.216024689946929,-0.0925820099772551,-0.12344267996967401,-0.154303349962092,-0.4320493798938571,-0.0853914738690217,0.10029717747536,sometimes he cut the cord so that the skull bumped on the floor and he had to string it up again  fastening it with some chivalry almost out of reach so that his enemy grinned at him through shrunk  black lips triumphantly,222,42,-0.8577989194963612,-0.7781582700461958,-0.1333038205303549,-0.5038334748886345,-0.43397618265060567,-0.361260425198235,-0.08326464901441655,-0.23875258080643905,-0.3389919014270931,-0.37358934121420284,-0.05632509792008136,-0.40041964086230825,-0.5706355366315885,-0.4006246278557602,-0.1621540450354953,-0.315934006259283,0.5863351110888645,0.5360663687007755,0.07355409832237084,0.295604849854545,-1.444663325720781,-1.7808117664088983,-0.2324685688404377,-1.337241424839861,-0.7857713380315166,-0.154303349962092,-0.06907829615877467,-0.003673889284811714,,,,,,,,,,,,,,,,
7,8,the skull swung to and fro  for the house  at the top of which he lived  was so vast that there seemed trapped in it the wind itself  blowing this way  blowing that way  winter and summer,0.0164398987305357,-0.14795908857482198,-0.13151918984428598,0.0,0.16439898730535699,0.4562071897723661,0.0308248101197545,the skull swung to and fro  for the house  at the top of which he lived  was so vast that there seemed trapped in it the wind itself  blowing this way  blowing that way  winter and summer,187,37,0.02968806989824392,0.059219356634795495,-0.024299859083890832,0.04352415343380218,-0.6572995915968959,-0.577345029165117,-0.11917800155354853,-0.43312243832684244,-0.3646079404176626,-0.39803224867625364,-0.06845881328363936,-0.48426905828184197,1.0950313789313082,0.9483474172473528,0.15340658178691963,0.541100767883536,0.15876914057310915,0.16475183492423998,0.01179229599657327,0.103126628571028,0.3293068614903316,0.6776161813980868,0.010627590134445647,0.5775946205800567,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
8,9,the green arras with the hunters on it moved perpetually,0.0,0.0,0.0,0.0,0.31622776601683805,0.00822192191643779,-0.0988211768802618,the green arras with the hunters on it moved perpetually,56,10,-0.03307502151848205,0.0,-0.032967510537710326,0.0,-0.06061358211558035,0.0,-0.03915078427471961,0.0,0.05252777133941538,0.0,0.0016189892032896316,0.0,-0.28273095583930447,-0.16745962498681982,-0.09942175000564084,-0.14555863705129832,-0.6391338871356814,-0.5281774699388053,-0.41381750220317026,-1.2232695229885817,0.7808794397834012,1.3034207495595387,0.45918151593688783,4.110794112760719,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
9,10,his fathers had been noble since they had been at all,0.22613350843332297,0.22613350843332297,0.30151134457776396,0.0,0.30151134457776396,0.20110806683336802,0.11306675421666099,his fathers had been noble since they had been at all,53,11,0.8302416141140505,0.814571981402596,0.36806193404421206,2.013748149709522,0.851332429831197,0.8823861939080896,0.3722546538746983,2.2266040551098665,1.0088228144596452,0.9124998308290764,0.5420049357038399,3.7343093552252085,0.3104833403306266,0.3129662601718138,0.28418759884202455,0.8962904521690422,0.6649251560274906,0.6043169496828454,0.38697630374451814,1.2723727928006296,0.7371095271957584,1.2427629227514694,0.38965858753525645,3.56317127146216,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
10,11,they came out of the northern mists wearing coronets on their heads,-0.288675134594813,0.0,-0.288675134594813,0.0,0.0,-0.42435244785437504,0.0,they came out of the northern mists wearing coronets on their heads,67,12,-1.1351586875605986,-1.0398577282848487,-0.5022476298447329,-2.3564653037763,-0.06061358211558035,0.0,-0.03915078427471961,0.0,-0.8630550259569083,-0.8736520738588297,-0.4726461518077203,-3.277384921653979,-1.6130976362209228,-1.244882394691622,-0.894414807840667,-2.304689523016296,-0.03094139264299101,0.0,-0.021298650115963446,0.0,-0.15965231473622332,0.0,-0.06270037653059339,0.0,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
11,12,were not the bars of darkness in the room  and the yellow pools which chequered the floor  made by the sun falling through the stained glass of a vast coat of arms in the window,0.101418510567422,0.101418510567422,0.0,0.0,0.16903085094570303,-0.0267068744494211,0.0140859042454753,were not the bars of darkness in the room  and the yellow pools which chequered the floor  made by the sun falling through the stained glass of a vast coat of arms in the window,177,35,0.3541134493124377,0.36532700384014066,0.023559134362657806,0.28384555826336644,0.3483846547680674,0.3957409680299623,0.018838396885273494,0.3138484180086281,0.05252777133941538,0.0,0.0016189892032896316,0.0,-0.3901531937670694,-0.2544575683529456,-0.13425007610742193,-0.24014929272017016,0.055749957436972794,0.0752860621685374,-0.0053131147433362,0.049818290576388265,0.3430830548057483,0.6967076965234094,0.017001796447958073,0.6278033941844059,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
12,13,orlando stood now in the midst of the yellow body of an heraldic leopard,0.0,0.0,0.0,0.0,0.0,-0.17665968090411202,-0.15033444857573902,orlando stood now in the midst of the yellow body of an heraldic leopard,72,14,-0.03307502151848205,0.0,-0.032967510537710326,0.0,-0.06061358211558035,0.0,-0.03915078427471961,0.0,0.05252777133941538,0.0,0.0016189892032896316,0.0,-0.8513275750479802,-0.627948416044686,-0.3947188705814376,-0.947559519056537,-0.9561710465889982,-0.8035045847469461,-0.4478201931336652,-1.3292375683288185,-0.15965231473622332,0.0,-0.06270037653059339,0.0,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
13,14,when he put his hand on the window sill to push the window open  it was instantly coloured red  blue  and yellow like a butterfly own wing,0.0481125224324688,0.0481125224324688,0.384900179459751,0.0,0.0,0.21246489906178198,-0.35683454137414394,when he put his hand on the window sill to push the window open  it was instantly coloured red  blue  and yellow like a butterfly own wing,138,27,0.15060558948853725,0.17330962138080802,0.0017939797813283657,0.17455298546491102,0.13341349180622603,0.187737880346121,-0.0034898961562925927,0.19300347231791007,1.2733048344011813,1.164869431811774,0.2826649986912958,1.9421540276468043,0.3454108631965121,0.3412529791493933,0.05540028336651135,0.2749243228780021,-2.227070771899993,-1.9072021928876057,-0.546243430048571,-1.635969704713289,-0.15965231473622332,0.0,-0.06270037653059339,0.0,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
14,15,thus  those who like symbols  and have a turn for the deciphering of them  might observe that though the shapely legs  the handsome body  and the well set shoulders were all of them decorated with various tints of heraldic light  orlando own face  as he threw the window open  was lit solely by the sun itself,0.494433297537985,0.494433297537985,0.400891862868637,0.0,0.26726124191242395,0.48507915407105,0.0821271524626721,thus  those who like symbols  and have a turn for the deciphering of them  might observe that though the shapely legs  the handsome body  and the well set shoulders were all of them decorated with various tints of heraldic light  orlando own face  as he threw the window open  was lit solely by the sun itself,309,56,1.8545377163392185,1.781034193637383,0.13926840133182308,0.8648735236944747,1.933325648683599,1.9293076845557768,0.13754145552233818,0.9562918259133139,1.3240252064537872,1.2132669752797183,0.142753196400615,0.9753006970153107,1.1838260509792324,1.0202594719490394,0.07282399343538665,0.32224557956954764,0.4745081405312158,0.4389515787043494,0.036953134694324416,0.18153939011898182,0.6352420993033124,1.1015915921916741,0.01606224880595322,0.6204027026272593,0.13087993131482922,0.0,0.07599475870963429,0.0,,,,,,,,,,,,,,,,
15,16,a more candid  sullen face it would be impossible to find,-0.937700281636845,-0.36784384038487206,-1.41408820606971,-0.30151134457776396,-0.30151134457776396,-0.385813916521706,-0.158293455903326,a more candid  sullen face it would be impossible to find,57,11,-3.612961337274714,-3.377758482882762,-1.6959029407374135,-8.350342327462144,-1.5440457615490049,-1.4353482087571592,-0.7083702969977729,-3.6219425963120493,-4.432495980894453,-4.279624206588359,-2.5327910998842857,-17.513910876006193,-1.4945737901988156,-1.1488936027740635,-0.8880717276191765,-2.287462277717236,-1.005154560781669,-0.846043729555987,-0.5928835855206399,-1.7813219099208883,-1.056414156668205,-1.2427629227514694,-0.5150593405964432,-3.56317127146216,-1.6602720870790022,-0.30151134457776396,-1.0063650672360493,-0.02741012223434218,,,,,,,,,,,,,,,,
