,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
0,1,he  for there could be no doubt of his sex  though the fashion of the time did something to disguise it  was in the act of slicing at the head of a moor which swung from the rafters,-0.9,-1,-3,0,181,38,he  for there could be no doubt of his sex  though the fashion of the time did something to disguise it  was in the act of slicing at the head of a moor which swung from the rafters,-0.9026101723502382,-0.8181818181818181,-0.36512176548068165,-0.5014138484547611,-0.6951685612482599,-0.5,-0.28231210974735516,-0.5959252971137521,-1.2978304684479764,-1.5,-0.5438081846369246,-1.2042487564350415,-0.1954803634844459,0.0,-0.12603856778590342,0.0,,,,,,,,,,,,,,,,,
1,2,it was the colour of an old football  and more or less the shape of one  save for the sunken cheeks and a strand or two of coarse  dry hair  like the hair on a cocoanut,-0.2,-1,4,3,168,36,it was the colour of an old football  and more or less the shape of one  save for the sunken cheeks and a strand or two of coarse  dry hair  like the hair on a cocoanut,-0.2784700713315879,-0.18181818181818182,-0.12885148430150503,-0.117615594081981,-0.6951685612482599,-0.5,-0.2993148246537557,-0.6290322580645161,1.4494670180260907,2.0,0.6460591616152824,1.694868620167836,1.6932513293426654,3.0,0.7274453537381075,1.8333333333333333,,,,,,,,,,,,,,,,,
2,3,orlando own father  or perhaps his grandfather  had struck it from the shoulders of a vast pagan who had started up under the moon in the barbarian fields of africa  and now it swung  gently  perpetually  in the breeze which never ceased blowing through the attic rooms of the gigantic house of the lord who had slain him,-0.65,-1,-3,0,321,58,orlando own father  or perhaps his grandfather  had struck it from the shoulders of a vast pagan who had started up under the moon in the barbarian fields of africa  and now it swung  gently  perpetually  in the breeze which never ceased blowing through the attic rooms of the gigantic house of the lord who had slain him,-0.6797029934150058,-0.5909090909090908,-0.20250526216631512,-0.23725904323434097,-0.6951685612482599,-0.5,-0.17677801722486927,-0.39043381535038935,-1.2978304684479764,-1.5,-0.37337625705703287,-0.7889905645608892,-0.1954803634844459,0.0,-0.12603856778590342,0.0,,,,,,,,,,,,,,,,,
3,4,orlando own fathers had ridden in fields of asphodel  and stony fields  and fields watered by strange rivers  and they had struck many heads of many colours off many shoulders  and brought them back to hang from the rafters,-1.5,-3,-2,0,223,39,orlando own fathers had ridden in fields of asphodel  and stony fields  and fields watered by strange rivers  and they had struck many heads of many colours off many shoulders  and brought them back to hang from the rafters,-1.4375874017947954,-1.3636363636363635,-0.5577142899654448,-0.8142618051829453,-2.153755051609265,-1.5,-0.8708676257381422,-1.741935483870968,-0.9053593989516812,-1.0,-0.3706085590877867,-0.7822470554620782,-0.1954803634844459,0.0,-0.12603856778590342,0.0,,,,,,,,,,,,,,,,,
4,5,so too would orlando  he vowed,0.0,0,0,0,30,6,so too would orlando  he vowed,-0.10014432818340212,0.0,-0.056446075553047675,0.0,0.03412468393224277,0.0,0.02373675856785399,0.0,-0.12041725995909061,0.0,-0.04955559465523858,0.0,-0.1954803634844459,0.0,-0.12603856778590342,0.0,,,,,,,,,,,,,,,,,
5,6,but since he was sixteen only  and too young to ride with them in africa or france  he would steal away from his mother and the peacocks in the garden and go to his attic room and there lunge and plunge and slice the air with his blade,-0.15,-1,-2,0,235,48,but since he was sixteen only  and too young to ride with them in africa or france  he would steal away from his mother and the peacocks in the garden and go to his attic room and there lunge and plunge and slice the air with his blade,-0.23388863554454145,-0.13636363636363635,-0.09717411797405494,-0.06615877167111431,-0.6951685612482599,-0.5,-0.2185519288483533,-0.47177419354838707,-0.9053593989516812,-1.0,-0.31041112825668393,-0.6355757325629385,-0.1954803634844459,0.0,-0.12603856778590342,0.0,,,,,,,,,,,,,,,,,
6,7,sometimes he cut the cord so that the skull bumped on the floor and he had to string it up again  fastening it with some chivalry almost out of reach so that his enemy grinned at him through shrunk  black lips triumphantly,-0.6,0,-2,-2,222,42,sometimes he cut the cord so that the skull bumped on the floor and he had to string it up again  fastening it with some chivalry almost out of reach so that his enemy grinned at him through shrunk  black lips triumphantly,-0.6351215576279594,-0.5454545454545454,-0.24263141233479518,-0.3024400990679511,0.03412468393224277,0.0,0.02373675856785399,0.0,-0.9053593989516812,-1.0,-0.3476762044854619,-0.7263722657862155,-1.4546348253691868,-2.0,-0.6137436657996239,-1.0476190476190474,,,,,,,,,,,,,,,,,
7,8,the skull swung to and fro  for the house  at the top of which he lived  was so vast that there seemed trapped in it the wind itself  blowing this way  blowing that way  winter and summer,-0.5,0,0,1,187,37,the skull swung to and fro  for the house  at the top of which he lived  was so vast that there seemed trapped in it the wind itself  blowing this way  blowing that way  winter and summer,-0.5459586860538665,-0.45454545454545453,-0.23256734007632232,-0.28609198560481863,0.03412468393224277,0.0,0.02373675856785399,0.0,-0.12041725995909061,0.0,-0.04955559465523858,0.0,0.43409686745792453,1.0,0.1507670283840461,0.5945945945945946,,,,,,,,,,,,,,,,,
8,9,the green arras with the hunters on it moved perpetually,0.0,0,0,1,56,10,the green arras with the hunters on it moved perpetually,-0.10014432818340212,0.0,-0.056446075553047675,0.0,0.03412468393224277,0.0,0.02373675856785399,0.0,-0.12041725995909061,0.0,-0.04955559465523858,0.0,0.43409686745792453,1.0,0.8981421380429099,2.2,,,,,,,,,,,,,,,,,
9,10,his fathers had been noble since they had been at all,0.75,1,2,1,53,11,his fathers had been noble since they had been at all,0.5685772086222945,0.6818181818181818,0.8321657590871108,1.4434641091879483,0.7634179291127455,0.5,1.0809964854749403,2.058651026392962,0.6645248790335,1.0,1.0887230974237958,2.7734213784564594,0.43409686745792453,1.0,0.8050348011493813,2.0,,,,,,,,,,,,,,,,,
