,sent_no,sent_raw,roberta15lg,yelp,nlptown,huggingface,hinglish,imdb2way,t5imdb50k,robertaxml8lang
0,0,"He--for there could be no doubt of his sex, though the fashion of the time did something to disguise it--was in the act of slicing at the head of a Moor which swung from the rafters.",0.9917736053466797,1.2948718965053558,1.3487813472747803,-0.9945334792137146,-1.6744362711906433,0.5568960905075073,-1,-0.43921878933906555
1,1,"It was the colour of an old football, and more or less the shape of one, save for the sunken cheeks and a strand or two of coarse, dry hair, like the hair on a cocoanut.",-0.9943985939025879,0.7811391949653625,2.4024902284145355,-0.9973043203353882,0.8379225730895996,-0.9967040419578552,-1,-0.4967208802700043
2,2,"Orlando's father, or perhaps his grandfather, had struck it from the shoulders of a vast Pagan who had started up under the moon in the barbarian fields of Africa; and now it swung, gently, perpetually, in the breeze which never ceased blowing through the attic rooms of the gigantic house of the lord who had slain him.",0.9978246092796326,4.6009721755981445,4.499544203281403,0.9993546605110168,0.6085408329963684,0.9986291527748108,1,-0.34508445858955383
3,3,"Orlando's fathers had ridden in fields of asphodel, and stony fields, and fields watered by strange rivers, and they had struck many heads of many colours off many shoulders, and brought them back to hang from the rafters.",0.9902436137199402,4.426078230142593,3.236290529370308,0.9821077585220337,0.8149440288543701,0.9941463470458984,1,-1.4007869958877563
4,4,"So too would Orlando, he vowed.",0.997916042804718,3.500217080116272,2.2559500634670258,-0.6181937456130981,1.9125427603721619,0.9768619537353516,1,-0.49267512559890747
5,5,"But since he was sixteen only, and too young to ride with them in Africa or France, he would steal away from his mother and the peacocks in the garden and go to his attic room and there lunge and plunge and slice the air with his blade.",-0.9892434477806091,2.2698263227939606,2.3871791660785675,0.9959960579872131,0.5093943476676941,0.9524911046028137,-1,-0.41197147965431213
6,6,"Sometimes he cut the cord so that the skull bumped on the floor and he had to string it up again, fastening it with some chivalry almost out of reach so that his enemy grinned at him through shrunk, black lips triumphantly.",-0.9794825911521912,3.4294301569461823,2.364141136407852,-0.7407606840133667,0.5977538228034973,0.9748038053512573,-1,-1.3858129382133484
7,7,"The skull swung to and fro, for the house, at the top of which he lived, was so vast that there seemed trapped in it the wind itself, blowing this way, blowing that way, winter and summer.",0.5954099893569946,2.4143404364585876,1.387255698442459,-0.9607175588607788,0.6141263246536255,0.9955410957336426,1,-0.38982048630714417
8,8,The green arras with the hunters on it moved perpetually.,-0.9987381100654602,2.367406278848648,4.604203701019287,0.9974011778831482,0.8959465026855469,-0.8253418803215027,1,-0.46219661831855774
9,9,His fathers had been noble since they had been at all.,-0.7059797048568726,2.2687266767024994,3.245809957385063,0.9939547181129456,1.722433626651764,0.7918755412101746,1,1.5952122211456299
10,10,They came out of the northern mists wearing coronets on their heads.,-0.9860818982124329,0.7239458560943604,3.2139912545681,-0.9774132966995239,-1.643078625202179,0.9009512662887573,1,-1.5310293436050415
11,11,"Were not the bars of darkness in the room, and the yellow pools which chequered the floor, made by the sun falling through the stained glass of a vast coat of arms in the window?",0.984588086605072,2.463661342859268,1.464009940624237,-0.9622557163238525,0.7772605419158936,0.9926071166992188,-1,0.5108801126480103
12,12,Orlando stood now in the midst of the yellow body of an heraldic leopard.,-0.9968559145927429,0.38557228446006775,0.2719550132751465,-0.7092317938804626,0.925812840461731,0.5441367626190186,1,0.5304704904556274
13,13,"When he put his hand on the window-sill to push the window open, it was instantly coloured red, blue, and yellow like a butterfly's wing.",-0.9978784322738647,0.526145875453949,0.4473308026790619,0.9501491189002991,0.8418694138526917,0.9933692812919617,1,0.5216917991638184
14,14,"Thus, those who like symbols, and have a turn for the deciphering of them, might observe that though the shapely legs, the handsome body, and the well-set shoulders were all of them decorated with various tints of heraldic light, Orlando's face, as he threw the window open, was lit solely by the sun itself.",0.9930054545402527,2.378690153360367,2.3764780461788177,0.8706955313682556,0.7550674676895142,0.9955216646194458,1,-0.38049042224884033
15,15,"A more candid, sullen face it would be impossible to find.",-0.9853565096855164,1.5092493891716003,2.4393310248851776,0.9559460282325745,-1.474505215883255,0.99843829870224,-1,-1.9085575938224792
16,16,"Happy the mother who bears, happier still the biographer who records the life of such a one!",0.9986846446990967,4.7178226709365845,4.72706538438797,0.9998064041137695,1.970767080783844,0.9932394623756409,1,1.84373140335083
17,17,"Never need she vex herself, nor he invoke the help of novelist or poet.",-0.9903667569160461,0.42725738883018494,0.34174248576164246,0.5072192549705505,-1.5928106307983398,0.9761113524436951,-1,-1.455412209033966
18,18,"From deed to deed, from glory to glory, from office to office he must go, his scribe following after, till they reach whatever seat it may be that is the height of their desire.",0.9941540956497192,4.979903042316437,4.603884518146515,0.9957972764968872,1.9633299708366394,0.9901112914085388,1,-0.49472182989120483
19,19,"Orlando, to look at, was cut out precisely for some such career.",-0.9982749819755554,3.4168070256710052,2.3410169184207916,-0.9996587634086609,0.5717504024505615,0.9231588840484619,-1,-0.4413166046142578
20,20,The red of the cheeks was covered with peach down; the down on the lips was only a little thicker than the down on the cheeks.,-0.9961562156677246,2.4287276566028595,2.4402143955230713,-0.9855831861495972,0.7197695374488831,0.9970317482948303,-1,-0.45498454570770264
21,21,The lips themselves were short and slightly drawn back over teeth of an exquisite and almond whiteness.,0.9973152279853821,4.4026919305324554,2.3836269080638885,-0.8276442289352417,0.6743648648262024,0.9989216923713684,1,-0.49588194489479065
22,22,"Nothing disturbed the arrowy nose in its short, tense flight; the hair was dark, the ears small, and fitted closely to the head.",0.9986382126808167,0.8505343198776245,1.4545082747936249,-0.9839420318603516,-1.4704560339450836,0.9978424310684204,-1,-1.5236359238624573
23,23,"But, alas, that these catalogues of youthful beauty cannot end without mentioning forehead and eyes.",-0.9979467391967773,2.4576662480831146,2.328122317790985,0.9983781576156616,1.8382653594017029,0.9983941912651062,-1,-0.3553506135940552
24,24,"Alas, that people are seldom born devoid of all three; for directly we glance at Orlando standing by the window, we must admit that he had eyes like drenched violets, so large that the water seemed to have brimmed in them and widened them; and a brow like the swelling of a marble dome pressed between the two blank medallions which were his temples.",-0.992407500743866,3.3689745664596558,1.3992249965667725,0.7148199677467346,0.8350940942764282,-0.9447184801101685,-1,-1.3738736510276794
25,25,"Directly we glance at eyes and forehead, thus do we rhapsodize.",-0.9906319379806519,0.44168344140052795,4.422497630119324,0.9939746260643005,0.8240488171577454,0.9888741970062256,-1,0.5741417407989502
26,26,"Directly we glance at eyes and forehead, we have to admit a thousand disagreeables which it is the aim of every good biographer to ignore.",-0.9982429146766663,0.3729219138622284,4.253798544406891,-0.9058542847633362,0.6420536637306213,0.9852746725082397,-1,-1.5456852316856384
27,27,"Sights disturbed him, like that of his mother, a very beautiful lady in green walking out to feed the peacocks with Twitchett, her maid, behind her; sights exalted him--the birds and the trees; and made him in love with death--the evening sky, the homing rooks; and so, mounting up the spiral stairway into his brain--which was a roomy one--all these sights, and the garden sounds too, the hammer beating, the wood chopping, began that riot and confusion of the passions and emotions which every good biographer detests, But to continue--Orlando slowly drew in his head, sat down at the table, and, with the half-conscious air of one doing what they do every day of their lives at this hour, took out a writing book labelled 'Aethelbert: A Tragedy in Five Acts,' and dipped an old stained goose quill in the ink.",0.9986563920974731,3.4022286534309387,4.402478337287903,0.9956087470054626,-1.4867448806762695,0.9992358684539795,-1,-0.3404031991958618
28,28,Soon he had covered ten pages and more with poetry.,-0.8874311447143555,4.680599272251129,1.27483069896698,0.9772689342498779,0.860104501247406,0.9984197616577148,1,0.6852257251739502
