"","sent_raw","syuzhet","bing","afinn","nrc"
"1","the sun had not yet risen",0.6,0,0,1
"2","the sea was indistinguishable from the sky  except that the sea was slightly creased as if a cloth had wrinkles in it",-1.1,-2,0,2
"3","gradually as the sky whitened a dark line lay on the horizon dividing the sea from the sky and the grey cloth became barred with thick strokes moving  one after another  beneath the surface  following each other  pursuing each other  perpetually",-0.45,-1,-1,2
"4","as they neared the shore each bar rose  heaped itself  broke and swept a thin veil of white water across the sand",-0.35,-1,0,0
"5","the wave paused  and then drew out again  sighing like a sleeper whose breath comes and goes unconsciously",0.5,1,2,0
"6","gradually the dark bar on the horizon became clear as if the sediment in an old wine bottle had sunk and left the glass green",-0.35,-1,1,1
"7","behind it  too  the sky cleared as if the white sediment there had sunk  or as if the arm of a woman couched beneath the horizon had raised a lamp and flat bars of white  green and yellow spread across the sky like the blades of a fan",1.15,1,6,3
"8","then she raised her lamp higher and the air seemed to become fibrous and to tear away from the green surface flickering and flaming in red and yellow fibres like the smoky fire that roars from a bonfire",0.25,0,0,1
"9","gradually the fibres of the burning bonfire were fused into one haze  one incandescence which lifted the weight of the woollen grey sky on top of it and turned it to a million atoms of soft blue",-0.3,0,1,1
"10","the surface of the sea slowly became transparent and lay rippling and sparkling until the dark stripes were almost rubbed out",-0.6,0,3,1
"11","slowly the arm that held the lamp raised it higher and then higher until a broad flame became visible  an arc of fire burnt on the rim of the horizon  and all round it the sea blazed gold",-0.25,0,0,2
"12","the light struck upon the trees in the garden  making one leaf transparent and then another",-0.15,0,-1,1
"13","one bird chirped high up  there was a pause  another chirped lower down",0,0,0,-1
"14","the sun sharpened the walls of the house  and rested like the tip of a fan upon a white blind and made a blue finger print of shadow under the leaf by the bedroom window",0.75,0,4,1
"15","the blind stirred slightly  but all within was dim and unsubstantial",-0.75,-2,-1,-1
"16","the birds sang their blank melody outside",0,0,0,0
"17","i see a ring   said bernard   hanging above me  it quivers and hangs in a loop of light",-0.5,-1,0,-1
"18","i see a slab of pale yellow   said susan   ownpreading away until it meets a purple stripe",-0.6,-1,0,-1
"19","i hear a sound   said rhoda   cheep  chirp  cheep chirp  going up and down",0,0,0,1
"20","i see a globe   said neville   hanging down in a drop against the enormous flanks of some hill",-0.25,0,-1,-1
"21","i see a crimson tassel   said jinny   twisted with gold threads",0.25,0,2,1
"22","i hear something stamping   said louis",0,0,0,0
"23","a great beast own foot is chained  it stamps  and stamps  and stamps",-0.6,1,3,-1
"24","look at the spider own web on the corner of the balcony   said bernard",0,0,0,0
"25","it has beads of water on it  drops of white light",0.4,0,0,1
"26","the leaves are gathered round the window like pointed ears   said susan",0.5,1,2,0
"27","a shadow falls on the path   said louis   like an elbow bent",-0.15,-1,2,0
"28","islands of light are swimming on the grass   said rhoda",0,0,0,0
"29","they have fallen through the trees",-0.5,-1,-2,0
"30","the birds  eyes are bright in the tunnels between the leaves   said neville",0.5,1,1,0
"31","the stalks are covered with harsh  short hairs   said jinny   and drops of water have stuck to them",-1.25,-2,-4,0
"32","a caterpillar is curled in a green ring   said susan   notched with blunt feet",-0.5,-1,0,1
"33","the grey shelled snail draws across the path and flattens the blades behind him   said rhoda",0,0,-1,0
"34","and burning lights from the window panes flash in and out on the grasses   said louis",-0.4,-1,0,0
"35","owntones are cold to my feet   said neville",-0.5,-1,0,-1
"36","i feel each one  round or pointed  separately",0,0,0,0
"37","the back of my hand burns   said jinny   but the palm is clammy and damp with dew",-0.4,-1,0,0
"38","now the cock crows like a spurt of hard  red water in the white tide   said bernard",0.4,0,-4,1
"39","birds are singing up and down and in and out all round us   said susan",0,0,0,0
"40","the beast stamps  the elephant with its foot chained  the great brute on the beach stamps   said louis",-1.1,0,3,-2
"41","look at the house   said jinny   with all its windows white with blinds",0.4,0,0,1
"42","cold water begins to run from the scullery tap   said rhoda   over the mackerel in the bowl",-0.5,-1,0,-1
"43","the walls are cracked with gold cracks   said bernard   and there are blue  finger shaped shadows of leaves beneath the windows",-0.6,-1,2,0
"44","now mrs constable pulls up her thick black stockings   said susan",-0.25,0,0,-1
"45","when the smoke rises  sleep curls off the roof like a mist   said louis",0,-1,3,0
"46","the birds sang in chorus first   said rhoda",0.25,0,0,1
"47","now the scullery door is unbarred  off they fly  off they fly like a fling of seed  but one sings by the bedroom window alone",-0.1,1,0,0
"48","bubbles form on the floor of the saucepan   said jinny",0,0,0,0
"49","then they rise  quicker and quicker  in a silver chain to the top",0.4,2,3,1
"50","now billy scrapes the fish scales with a jagged knife on to a wooden board   said neville",-1.6,-2,0,0
"51","the dining room window is dark blue now   said bernard   and the air ripples above the chimneys",-0.6,-1,0,0
"52","a swallow is perched on the lightning conductor   said susan",0,0,0,0
"53","and biddy has smacked down the bucket on the kitchen flags",0,0,0,0
"54","that is the first stroke of the church bell   said louis",-0.15,0,0,0
"55","then the others follow  one  two  one  two  one  two",0,0,0,0
"56","look at the table cloth  flying white along the table   said rhoda",0.5,0,0,2
"57","now there are rounds of white china  and silver streaks beside each plate",0.4,0,0,1
"58","ownuddenly a bee booms in my ear   said neville",0,0,0,0
"59","it is here  it is past",0,0,0,0
"60","i burn  i shiver   said jinny   out of this sun  into this shadow",-0.3,-2,0,0
"61","now they have all gone   said louis",0,0,0,0
"62","i am alone",-0.6,0,-2,0
"63","they have gone into the house for breakfast  and i am left standing by the wall among the flowers",0.6,0,0,2
"64","it is very early  before lessons",0,0,0,0
"65","flower after flower is specked on the depths of green",0,0,0,1
"66","the petals are harlequins",0,0,0,0
"67","stalks rise from the black hollows beneath",-0.25,0,1,-1
"68","the flowers swim like fish made of light upon the dark  green waters",-0.1,0,2,2
"69","i hold a stalk in my hand",-0.8,0,0,-1
"70","i am the stalk",-0.8,0,0,-1
"71","my roots go down to the depths of the world  through earth dry with brick  and damp earth  through veins of lead and silver",0.25,1,0,1
"72","i am all fibre",0,0,0,0
"73","all tremors shake me  and the weight of the earth is pressed to my ribs",-0.6,-1,-2,0
"74","up here my eyes are green leaves  unseeing",0,0,0,1
"75","i am a boy in grey flannels with a belt fastened by a brass snake up here",0,0,-1,-3
"76","down there my eyes are the lidless eyes of a stone figure in a desert by the nile",-0.5,-1,0,-2
"77","i see women passing with red pitchers to the river  i see camels swaying and men in turbans",0,0,0,0
"78","i hear tramplings  tremblings  stirrings round me",0,0,0,0
"79","up here bernard  neville  jinny and susan  but not rhoda  skim the flower beds with their nets",0,0,0,0
"80","they skim the butterflies from the nodding tops of the flowers",0,1,2,0
"81","they brush the surface of the world",0,0,0,0
"82","their nets are full of fluttering wings",0,0,0,1
"83","louis  louis  louis   they shout",0,0,0,0
"84","but they cannot see me  i am on the other side of the hedge",0,-1,0,0
"85","there are only little eye holes among the leaves",0,0,0,0
"86","oh lord  let them pass",0,0,0,0
"87","lord  let them lay their butterflies on a pocket handkerchief on the gravel",0,0,0,0
"88","let them count out their tortoise shells  their red admirals and cabbage whites",0,0,0,1
"89","but let me be unseen",0,0,0,0
"90","i am green as a yew tree in the shade of the hedge",0,-1,0,2
"91","my hair is made of leaves",0,0,0,0
"92","i am rooted to the middle of the earth",0,0,0,1
"93","my body is a stalk",-0.8,0,0,-1
"94","i press the stalk",-0.8,0,0,-1
"95","a drop oozes from the hole at the mouth and slowly  thickly  grows larger and larger",-0.25,-1,-1,0
"96","now something pink passes the eyehole",0,0,0,0
"97","now an eye beam is slid through the chink",0,0,0,1
"98","its beam strikes me  i am a boy in a grey flannel suit",0.25,0,-2,0
"99","she has found me  i am struck on the nape of the neck",0.1,-1,-1,1
"100","she has kissed me",0,0,0,0
"101","all is shattered",-0.5,0,-2,-1
"102","i was running   said jinny   after breakfast  i saw leaves moving in a hole in the hedge  i thought  that is a bird on its nest",0.6,-1,0,1
"103","i parted them and looked  but there was no bird on a nest  the leaves went on moving  i was frightened  i ran past susan  past rhoda  and neville and bernard in the tool house talking  i cried as i ran  faster and faster  what moved the leaves  what moves my heart  my legs  and i dashed in here  seeing you green as a bush  like a branch  very still  louis  with your eyes fixed   is he dead",-1.15,1,-6,-1
"104","i thought  and kissed you  with my heart jumping under my pink frock like the leaves  which go on moving  though there is nothing to move them  now i smell geraniums  i smell earth mould  i dance  i ripple  i am thrown over you like a net of light  i lie quivering flung over you",-0.25,-1,2,-2
"105","through the chink in the hedge   said susan   i saw her kiss him  i raised my head from my flower pot and looked through a chink in the hedge  i saw her kiss him  i saw them  jinny and louis  kissing  now i will wrap my agony inside my pocket handkerchief  it shall be screwed tight into a ball  i will go to the beech wood alone  before lessons  i will not sit at a table  doing sums  i will not sit next jinny and next louis  i will take my anguish and lay it upon the roots under the beech trees  i will examine it and take it between my fingers  they will not find me  i shall eat nuts and peer for eggs through the brambles and my hair will be matted and i shall sleep under hedges and drink water from ditches and die there",-3.15,-5,-11,-2
"106","ownusan has passed us   said bernard",0,0,0,0
"107","ownhe has passed the tool house door with her handkerchief screwed into a ball  she was not crying  but her eyes  which are so beautiful  were narrow as cats  eyes before they spring",-0.5,0,-1,-1
"108","i shall follow her  neville",0,0,0,0
"109","i shall go gently behind her  to be at hand  with my curiosity  to comfort her when she bursts out in a rage and thinks   i am alone",-0.35,0,-2,1
"110","now she walks across the field with a swing  nonchalantly  to deceive us",-0.75,-1,-3,-1
"111","then she comes to the dip  she thinks she is unseen  she begins to run with her fists clenched in front of her",0,0,0,0
"112","her nails meet in the ball of her pocket handkerchief",0,0,0,0
"113","she is making for the beech woods out of the light",0,0,0,0
"114","she spreads her arms as she comes to them and takes to the shade like a swimmer",0.5,1,2,0
"115","but she is blind after the light and trips and flings herself down on the roots under the trees  where the light seems to pant in and out  in and out",-0.75,-1,-1,-1
"116","the branches heave up and down",0,0,0,0
"117","there is agitation and trouble here",-1.5,-1,-2,-1
"118","there is gloom",-0.75,-1,-1,-1
"119","the light is fitful",0,0,0,0
"120","there is anguish here",-1,-1,-3,-1
"121","the roots make a skeleton on the ground  with dead leaves heaped in the angles",-1,-1,-3,0
"122","susan has spread her anguish out",-1,-1,-3,-1
"123","her pocket handkerchief is laid on the roots of the beech trees and she sobs  sitting crumpled where she has fallen",-1.9,-2,-2,0
"124","i saw her kiss him   said susan",0.5,0,2,1
"125","i looked between the leaves and saw her  she danced in flecked with diamonds light as dust  and i am squat  bernard  i am short  i have eyes that look close to the ground and see insects in the grass  the yellow warmth in my side turned to stone when i saw jinny kiss louis  i shall eat grass and die in a ditch in the brown water where dead leaves have rotted",-1.65,-2,-2,-1
"126","i saw you go   said bernard",0,0,0,0
"127","as you passed the door of the tool house i heard you cry  i am unhappy",-1.5,-2,-3,-2
"128","i put down my knife  i was making boats out of firewood with neville  and my hair is untidy  because when mrs constable told me to brush it there was a fly in a web  and i asked   shall i free the fly  shall i let the fly be eaten",-0.9,0,1,-1
"129","so i am late always  my hair is unbrushed and these chips of wood stick in it  when i heard you cry i followed you  and saw you put down your handkerchief  screwed up  with its rage  with its hate  knotted in it  but soon that will cease  our bodies are close now  you hear me breathe  you see the beetle too carrying off a leaf on its back  it runs this way  then that way  so that even your desire while you watch the beetle  to possess one single thing  it is louis now  must waver  like the light in and out of the beech leaves  and then words  moving darkly  in the depths of your mind will break up this knot of hardness  screwed in your pocket handkerchief",-3.7,-5,-5,-8
"130","i love   said susan   and i hate  i desire one thing only  my eyes are hard  jinny own eyes break into a thousand lights  rhoda own are like those pale flowers to which moths come in the evening  yours grow full and brim and never break  but i am already set on my pursuit  i see insects in the grass  though my mother still knits white socks for me and hems pinafores and i am a child  i love and i hate",1.4,-2,2,4
"131","but when we sit together  close   said bernard   we melt into each other with phrases  we are edged with mist  we make an unsubstantial territory",-0.5,-1,0,0
"132","i see the beetle   said susan",0,0,0,0
"133","it is black  i see  it is green  i see  i am tied down with single words  but you wander off  you slip away  you rise up higher  with words and words in phrases",-0.5,0,0,-2
"134","now   said bernard   let us explore",0,0,0,0
"135","there is the white house lying among the trees",-0.1,-1,0,0
"136","it lies down there ever so far beneath us",-1,-1,0,0
"137","we shall sink like swimmers just touching the ground with the tips of their toes",0.25,0,2,0
"138","we shall sink through the green air of the leaves  susan",-0.25,-1,0,1
"139","we sink as we run",-0.25,-1,0,0
"140","the waves close over us  the beech leaves meet above our heads",0,0,0,0
"141","there is the stable clock with its gilt hands shining",1.6,1,2,2
"142","those are the flats and heights of the roofs of the great house",0.5,1,3,0
"143","there is the stable boy clattering in the yard in rubber boots",1.25,1,2,0
"144","that is elvedon",0,0,0,0
"145","now we have fallen through the tree tops to the earth",-0.5,0,0,1
"146","the air no longer rolls its long  unhappy  purple waves over us",-0.75,-1,-3,-1
"147","we touch earth  we tread ground",0,0,0,0
"148","that is the close clipped hedge of the ladies  garden",0.6,-1,0,1
"149","there they walk at noon  with scissors  clipping roses",0,0,0,0
"150","now we are in the ringed wood with the wall round it",0,0,0,0
"151","this is elvedon",0,0,0,0
"152","i have seen signposts at the cross roads with one arm pointing  to elvedon",0,0,0,-1
"153","no one has been there",0,0,-1,0
"154","the ferns smell very strong  and there are red funguses growing beneath them",1.05,0,3,-1
"155","now we wake the sleeping daws who have never seen a human form  now we tread on rotten oak apples  red with age and slippery",-0.5,-1,-3,1
"156","there is a ring of wall round this wood  nobody comes here",0,0,0,0
"157","listen",0,0,0,0
"158","that is the flop of a giant toad in the undergrowth  that is the patter of some primeval fir cone falling to rot among the ferns",-1.5,-2,-3,-5
"159","put your foot on this brick",0,0,0,0
"160","look over the wall",0,0,0,0
