,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
0,0,0,0,"""Yes, of course, if it's fine tomorrow,"" said Mrs. Ramsay.", yes  of course  if it is fine tomorrow   said mrs  ramsay ,58,10
1,1,0,0,"""But you'll have to be up with the lark,"" she added.", but you will have to be up with the lark   she added ,52,11
2,2,1,0,"To her son these words conveyed an extraordinary joy, as if it were settled, the expedition were bound to take place, and the wonder to which he had looked forward, for years and years it seemed, was, after a night's darkness and a day's sail, within touch.",to her son these words conveyed an extraordinary joy  as if it were settled  the expedition were bound to take place  and the wonder to which he had looked forward  for years and years it seemed  was  after a night own darkness and a day own sail  within touch ,257,47
3,3,1,0,"Since he belonged, even at the age of six, to that great clan which cannot keep this feeling separate from that, but must let future prospects, with their joys and sorrows, cloud what is actually at hand, since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests, James Ramsay, sitting on the floor cutting out pictures from the illustrated catalogue of the Army and Navy stores, endowed the picture of a refrigerator, as his mother spoke, with heavenly bliss.",since he belonged  even at the age of six  to that great clan which cannot keep this feeling separate from that  but must let future prospects  with their joys and sorrows  cloud what is actually at hand  since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests  james ramsay  sitting on the floor cutting out pictures from the illustrated catalogue of the army and navy stores  endowed the picture of a refrigerator  as his mother spoke  with heavenly bliss ,577,100
4,4,1,0,It was fringed with joy.,it was fringed with joy ,24,5
5,5,1,0,"The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing, brooms knocking, dresses rustling - all these were so coloured and distinguished in his mind that he had already his private code, his secret language, though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.",the wheelbarrow  the lawnmower  the sound of poplar trees  leaves whitening before rain  rooks cawing  brooms knocking  dresses rustling   all these were so coloured and distinguished in his mind that he had already his private code  his secret language  though he appeared the image of stark and uncompromising severity  with his high forehead and his fierce blue eyes  impeccably candid and pure  frowning slightly at the sight of human frailty  so that his mother  watching him guide his scissors neatly round the refrigerator  imagined him all red and ermine on the bench or directing a stern and momentous enterprise in some crisis of public affairs ,655,106
6,6,2,0,"""But,"" said his father, stopping in front of the drawing-room window, ""it won't be fine.""", but   said his father  stopping in front of the drawing room window   it will not be fine  ,89,15
7,7,3,0,"Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it.",had there been an axe handy  a poker  or any weapon that would have gashed a hole in his father own breast and killed him  there and then  james would have seized it ,164,32
8,8,3,0,"Such were the extremes of emotion that Mr. Ramsay excited in his children's breasts by his mere presence; standing, as now, lean as a knife, narrow as the blade of one, grinning sarcastically, not only with the pleasure of disillusioning his son and casting ridicule upon his wife, who was ten thousand times better in every way than he was (James thought), but also with some secret conceit at his own accuracy of judgement.",such were the extremes of emotion that mr  ramsay excited in his children own breasts by his mere presence  standing  as now  lean as a knife  narrow as the blade of one  grinning sarcastically  not only with the pleasure of disillusioning his son and casting ridicule upon his wife  who was ten thousand times better in every way than he was  james thought   but also with some secret conceit at his own accuracy of judgement ,425,74
9,9,3,0,What he said was true.,what he said was true ,22,5
