,sent_clean
0,yes of course if it is fine tomorrow said mrs ramsay
1,but you will have to be up with the lark she added
2,to her son these words conveyed an extraordinary joy as if it were settled the expedition were bound to take place and the wonder to which he had looked forward for years and years it seemed was after a night own darkness and a day own sail within touch
3,since he belonged even at the age of six to that great clan which cannot keep this feeling separate from that but must let future prospects with their joys and sorrows cloud what is actually at hand since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests james ramsay sitting on the floor cutting out pictures from the illustrated catalogue of the army and navy stores endowed the picture of a refrigerator as his mother spoke with heavenly bliss
4,it was fringed with joy
5,the wheelbarrow the lawnmower the sound of poplar trees leaves whitening before rain rooks cawing brooms knocking dresses rustling   ”all these were so coloured and distinguished in his mind that he had already his private code his secret language though he appeared the image of stark and uncompromising severity with his high forehead and his fierce blue eyes impeccably candid and pure frowning slightly at the sight of human frailty so that his mother watching him guide his scissors neatly round the refrigerator imagined him all red and ermine on the bench or directing a stern and momentous enterprise in some crisis of public affairs
6,but said his father stopping in front of the drawing room window it will not be fine
7,had there been an axe handy a poker or any weapon that would have gashed a hole in his father own breast and killed him there and then james would have seized it
8,such were the extremes of emotion that mr ramsay excited in his children own breasts by his mere presence standing as now lean as a knife narrow as the blade of one grinning sarcastically not only with the pleasure of disillusioning his son and casting ridicule upon his wife who was ten thousand times better in every way than he was james thought but also with some secret conceit at his own accuracy of judgement
9,what he said was true
10,it was always true
11,he was incapable of untruth never tampered with a fact never altered a disagreeable word to suit the pleasure or convenience of any mortal being least of all of his own children who sprung from his loins should be aware from childhood that life is difficult facts uncompromising and the passage to that fabled land where our brightest hopes are extinguished our frail barks founder in darkness here mr ramsay would straighten his back and narrow his little blue eyes upon the horizon one that needs above all courage truth and the power to endure
12,but it may be fine   ”i expect it will be fine said mrs ramsay making some little twist of the reddish brown stocking she was knitting impatiently
13,if she finished it tonight if they did go to the lighthouse after all it was to be given to the lighthouse keeper for his little boy who was threatened with a tuberculous hip together with a pile of old magazines and some tobacco indeed whatever she could find lying about not really wanted but only littering the room to give those poor fellows who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden something to amuse them
14,for how would you like to be shut up for a whole month at a time and possibly more in stormy weather upon a rock the size of a tennis lawn
15,she would ask and to have no letters or newspapers and to see nobody if you were married not to see your wife not to know how your children were   ”if they were ill if they had fallen down and broken their legs or arms to see the same dreary waves breaking week after week and then a dreadful storm coming and the windows covered with spray and birds dashed against the lamp and the whole place rocking and not be able to put your nose out of doors for fear of being swept into the sea
16,how would you like that
17,she asked addressing herself particularly to her daughters
18,so she added rather differently one must take them whatever comforts one can
19,it is due west said the atheist tansley holding his bony fingers spread so that the wind blew through them for he was sharing mr ramsay own evening walk up and down up and down the terrace
20,that is to say the wind blew from the worst possible direction for landing at the lighthouse
21,yes he did say disagreeable things mrs ramsay admitted it was odious of him to rub this in and make james still more disappointed but at the same time she would not let them laugh at him
22,the atheist they called him the little atheist
23,rose mocked him prue mocked him andrew jasper roger mocked him even old badger without a tooth in his head had bit him for being as nancy put it the hundred and tenth young man to chase them all the way up to the hebrides when it was ever so much nicer to be alone
24,nonsense said mrs ramsay with great severity
25,apart from the habit of exaggeration which they had from her and from the implication which was true that she asked too many people to stay and had to lodge some in the town she could not bear incivility to her guests to young men in particular who were poor as churchmice exceptionally able her husband said his great admirers and come there for a holiday
26,indeed she had the whole of the other sex under her protection for reasons she could not explain for their chivalry and valour for the fact that they negotiated treaties ruled india controlled finance finally for an attitude towards herself which no woman could fail to feel or to find agreeable something trustful childlike reverential which an old woman could take from a young man without loss of dignity and woe betide the girl   ”pray heaven it was none of her daughters
27,  ”who did not feel the worth of it and all that it implied to the marrow of her bones
28,she turned with severity upon nancy
29,he had not chased them she said
30,he had been asked
31,they must find a way out of it all
32,there might be some simpler way some less laborious way she sighed
33,when she looked in the glass and saw her hair grey her cheek sunk at fifty she thought possibly she might have managed things better   ”her husband money his books
34,but for her own part she would never for a single second regret her decision evade difficulties or slur over duties
