"","sent_raw","syuzhet","bing","afinn","nrc"
"1","yes  of course  if it is fine tomorrow   said mrs  ramsay",1.05,1,3,0
"2","but you will have to be up with the lark   she added",0,0,0,0
"3","to her son these words conveyed an extraordinary joy  as if it were settled  the expedition were bound to take place  and the wonder to which he had looked forward  for years and years it seemed  was  after a night own darkness and a day own sail  within touch",1.7,2,2,1
"4","since he belonged  even at the age of six  to that great clan which cannot keep this feeling separate from that  but must let future prospects  with their joys and sorrows  cloud what is actually at hand  since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests  james ramsay  sitting on the floor cutting out pictures from the illustrated catalogue of the army and navy stores  endowed the picture of a refrigerator  as his mother spoke  with heavenly bliss",4.4,3,10,2
"5","it was fringed with joy",0.75,1,3,1
"6","the wheelbarrow  the lawnmower  the sound of poplar trees  leaves whitening before rain  rooks cawing  brooms knocking  dresses rustling   all these were so coloured and distinguished in his mind that he had already his private code  his secret language  though he appeared the image of stark and uncompromising severity  with his high forehead and his fierce blue eyes  impeccably candid and pure  frowning slightly at the sight of human frailty  so that his mother  watching him guide his scissors neatly round the refrigerator  imagined him all red and ermine on the bench or directing a stern and momentous enterprise in some crisis of public affairs",-0.25,-1,-1,-2
"7","but   said his father  stopping in front of the drawing room window   it will not be fine",-0.15,1,1,0
"8","had there been an axe handy  a poker  or any weapon that would have gashed a hole in his father own breast and killed him  there and then  james would have seized it",-2,0,-4,1
"9","such were the extremes of emotion that mr  ramsay excited in his children own breasts by his mere presence  standing  as now  lean as a knife  narrow as the blade of one  grinning sarcastically  not only with the pleasure of disillusioning his son and casting ridicule upon his wife  who was ten thousand times better in every way than he was  james thought   but also with some secret conceit at his own accuracy of judgement",1.05,0,8,1
"10","what he said was true",0.5,0,2,1
"11","it was always true",0.5,0,2,1
"12","he was incapable of untruth  never tampered with a fact  never altered a disagreeable word to suit the pleasure or convenience of any mortal being  least of all of his own children  who  sprung from his loins  should be aware from childhood that life is difficult  facts uncompromising  and the passage to that fabled land where our brightest hopes are extinguished  our frail barks founder in darkness  here mr  ramsay would straighten his back and narrow his little blue eyes upon the horizon   one that needs  above all  courage  truth  and the power to endure",1.8,-1,3,7
"13","but it may be fine   i expect it will be fine   said mrs  ramsay  making some little twist of the reddish brown stocking she was knitting  impatiently",-0.15,-1,2,1
"14","if she finished it tonight  if they did go to the lighthouse after all  it was to be given to the lighthouse keeper for his little boy  who was threatened with a tuberculous hip  together with a pile of old magazines  and some tobacco  indeed  whatever she could find lying about  not really wanted  but only littering the room  to give those poor fellows  who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden  something to amuse them",-1.4,-4,-5,0
"15","for how would you like to be shut up for a whole month at a time  and possibly more in stormy weather  upon a rock the size of a tennis lawn",0,0,2,0
"16","she would ask  and to have no letters or newspapers  and to see nobody  if you were married  not to see your wife  not to know how your children were    if they were ill  if they had fallen down and broken their legs or arms  to see the same dreary waves breaking week after week  and then a dreadful storm coming  and the windows covered with spray  and birds dashed against the lamp  and the whole place rocking  and not be able to put your nose out of doors for fear of being swept into the sea",-4.6,-6,-13,-6
"17","how would you like that",0.5,1,2,0
"18","she asked  addressing herself particularly to her daughters",0,0,0,0
"19","so she added  rather differently  one must take them whatever comforts one can",1,0,2,0
"20","it is due west   said the atheist tansley  holding his bony fingers spread so that the wind blew through them  for he was sharing mr  ramsay own evening walk up and down  up and down the terrace",0,0,0,0
"21","that is to say  the wind blew from the worst possible direction for landing at the lighthouse",0.1,-1,-3,1
"22","yes  he did say disagreeable things  mrs  ramsay admitted  it was odious of him to rub this in  and make james still more disappointed  but at the same time  she would not let them laugh at him",-1.1,-2,-3,-1
"23","the atheist   they called him   the little atheist",0,0,0,0
"24","rose mocked him  prue mocked him  andrew  jasper  roger mocked him  even old badger without a tooth in his head had bit him  for being  as nancy put it  the hundred and tenth young man to chase them all the way up to the hebrides when it was ever so much nicer to be alone",-0.2,0,-3,-1
"25","nonsense   said mrs  ramsay  with great severity",-0.85,-1,1,-1
"26","apart from the habit of exaggeration which they had from her  and from the implication  which was true  that she asked too many people to stay  and had to lodge some in the town  she could not bear incivility to her guests  to young men in particular  who were poor as churchmice   exceptionally able   her husband said  his great admirers  and come there for a holiday",1.2,-2,3,3
"27","indeed  she had the whole of the other sex under her protection  for reasons she could not explain  for their chivalry and valour  for the fact that they negotiated treaties  ruled india  controlled finance  finally for an attitude towards herself which no woman could fail to feel or to find agreeable  something trustful  childlike  reverential  which an old woman could take from a young man without loss of dignity  and woe betide the girl   pray heaven it was none of her daughters",2.45,2,1,6
"28","who did not feel the worth of it  and all that it implied  to the marrow of her bones",0.35,1,2,2
"29","she turned with severity upon nancy",-0.6,-1,0,0
"30","he had not chased them  she said",0,0,0,0
"31","he had been asked",0,0,0,0
"32","they must find a way out of it all",0,0,0,0
"33","there might be some simpler way  some less laborious way  she sighed",-0.4,1,0,-1
"34","when she looked in the glass and saw her hair grey  her cheek sunk  at fifty  she thought  possibly she might have managed things better   her husband  money  his books",0.9,0,1,0
"35","but for her own part she would never for a single second regret her decision  evade difficulties  or slur over duties",-2.25,-4,-2,-4
"36","she was now formidable to behold  and it was only in silence  looking up from their plates  after she had spoken so severely about charles tansley  that her daughters  prue  nancy  rose   could sport with infidel ideas which they had brewed for themselves of a life different from hers  in paris  perhaps  a wilder life  not always taking care of some man or other  for there was in all their minds a mute questioning of deference and chivalry  of the bank of england and the indian empire  of ringed fingers and lace  though to them all there was something in this of the essence of beauty  which called out the manliness in their girlish hearts  and made them  as they sat at table beneath their mother own eyes  honour her strange severity  her extreme courtesy  like a queen own raising from the mud to wash a beggar own dirty foot  when she admonished them so very severely about that wretched atheist who had chased them   or  speaking accurately  been invited to stay with them   in the isle of skye",-1.2,0,4,-1
"37","there will be no landing at the lighthouse tomorrow   said charles tansley  clapping his hands together as he stood at the window with her husband",0.6,0,-1,1
"38","surely  he had said enough",-0.25,1,0,0
"39","she wished they would both leave her and james alone and go on talking",-0.85,0,-3,-1
"40","she looked at him",0,0,0,0
"41","he was such a miserable specimen  the children said  all humps and hollows",-1,-1,-3,-1
"42","he could not play cricket  he poked  he shuffled",0,0,0,0
"43","he was a sarcastic brute  andrew said",-1,-2,-2,-1
"44","they knew what he liked best   to be for ever walking up and down  up and down  with mr  ramsay  and saying who had won this  who had won that  who was a  first rate man  at latin verses  who was  brilliant but i think fundamentally unsound   who was undoubtedly the  ablest fellow in balliol   who had buried his light temporarily at bristol or bedford  but was bound to be heard of later when his prolegomena  of which mr  tansley had the first pages in proof with him if mr  ramsay would like to see them  to some branch of mathematics or philosophy saw the light of day",1.55,4,12,0
"45","that was what they talked about",0,0,0,0
"46","she could not help laughing herself sometimes",0.6,0,3,1
"47","she said  the other day  something about  waves mountains high",0,0,0,0
"48","yes  said charles tansley  it was a little rough",0.55,-1,1,0
"49","are not you drenched to the skin   she had said",0,0,0,0
"50","damp  not wet through   said mr  tansley  pinching his sleeve  feeling his socks",0.25,0,1,0
"51","but it was not that they minded  the children said",0,0,0,0
"52","it was not his face  it was not his manners",0.1,0,0,1
"53","it was him   his point of view",0,0,0,0
"54","when they talked about something interesting  people  music  history  anything  even said it was a fine evening so why not sit out of doors  then what they complained of about charles tansley was that until he had turned the whole thing round and made it somehow reflect himself and disparage them   he was not satisfied",1.1,1,2,2
"55","and he would go to picture galleries they said  and he would ask one  did one like his tie",0.5,1,2,0
"56","god knows  said rose  one did not",0,0,2,1
"57","disappearing as stealthily as stags from the dinner table directly the meal was over  the eight sons and daughters of mr  and mrs  ramsay sought their bedrooms  their fastness in a house where there was no other privacy to debate anything  everything  tansley own tie  the passing of the reform bill  sea birds and butterflies  people  while the sun poured into those attics  which a plank alone separated from each other so that every footstep could be plainly heard and the swiss girl sobbing for her father who was dying of cancer in a valley of the grisons  and lit up bats  flannels  straw hats  ink pots  paint pots  beetles  and the skulls of small birds  while it drew from the long frilled strips of seaweed pinned to the wall a smell of salt and weeds  which was in the towels too  gritty with sand from bathing",-2.3,-3,-7,0
"58","strife  divisions  difference of opinion  prejudices twisted into the very fibre of being  oh  that they should begin so early  mrs  ramsay deplored",-1.75,-3,-3,-1
"59","they were so critical  her children",-0.6,-1,0,0
"60","they talked such nonsense",-0.75,-1,-2,-1
"61","she went from the dining room  holding james by the hand  since he would not go with the others",0,0,0,0
"62","it seemed to her such nonsense   inventing differences  when people  heaven knows  were different enough without that",-0.2,1,0,-1
"63","the real differences  she thought  standing by the drawing room window  are enough  quite enough",0,1,0,2
"64","she had in mind at the moment  rich and poor  high and low  the great in birth receiving from her  half grudging  some respect  for had she not in her veins the blood of that very noble  if slightly mythical  italian house  whose daughters  scattered about english drawing rooms in the nineteenth century  had lisped so charmingly  had stormed so wildly  and all her wit and her bearing and her temper came from them  and not from the sluggish english  or the cold scotch  but more profoundly  she ruminated the other problem  of rich and poor  and the things she saw with her own eyes  weekly  daily  here or in london  when she visited this widow  or that struggling wife in person with a bag on her arm  and a note book and pencil with which she wrote down in columns carefully ruled for the purpose wages and spendings  employment and unemployment  in the hope that thus she would cease to be a private woman whose charity was half a sop to her own indignation  half a relief to her own curiosity  and become what with her untrained mind she greatly admired  an investigator  elucidating the social problem",2.9,-2,7,5
